Host:,pi00,,,,User:,daniel,,,,,,,,,,
Cmdline:,dstat -cdlsm --output 4W32B4R.log,,,,Date:,14 Jun 2015 03:08:44 PDT,,,,,,,,,,
,,,,,,,,,,,,,,,,
total cpu usage,,,,,,dsk/total,,load avg,,,swap,,memory usage,,,
usr,sys,idl,wai,hiq,siq,read,writ,1m,5m,15m,used,free,used,buff,cach,free
3.878,2.49,88.141,4.196,0,1.295,225819.431,3846135.565,0.31,0.52,0.56,0,104853504,198696960,6967296,75513856,690933760
1.489,0,98.263,0.248,0,0,0,0,0.29,0.51,0.56,0,104853504,198766592,6967296,75497472,690880512
1.235,0.247,98.519,0,0,0,0,0,0.29,0.51,0.56,0,104853504,198766592,6967296,75497472,690880512
0.995,0.498,98.507,0,0,0,0,0,0.29,0.51,0.56,0,104853504,198766592,6967296,75497472,690880512
1.496,0.249,98.254,0,0,0,0,0,0.29,0.51,0.56,0,104853504,198766592,6967296,75497472,690880512
2.451,0.49,97.059,0,0,0,0,32768,0.29,0.51,0.56,0,104853504,198766592,6975488,75489280,690880512
1.238,0.743,98.02,0,0,0,0,0,0.26,0.5,0.55,0,104853504,198758400,6975488,75497472,690880512
1.25,0.25,98.5,0,0,0,0,0,0.26,0.5,0.55,0,104853504,198758400,6975488,75497472,690880512
1.247,0,98.753,0,0,0,0,65536,0.26,0.5,0.55,0,104853504,198754304,6975488,75501568,690880512
1.493,0.498,98.01,0,0,0,0,0,0.26,0.5,0.55,0,104853504,198754304,6975488,75501568,690880512
19.598,3.518,76.131,0.754,0,0,983040,0,0.26,0.5,0.55,0,104853504,204726272,7012352,75894784,684478464
32.25,0.75,67,0,0,0,0,196608,0.4,0.53,0.56,0,104853504,211185664,7020544,76013568,677892096
26.781,0.737,72.482,0,0,0,0,0,0.4,0.53,0.56,0,104853504,211185664,7020544,76013568,677892096
26.952,3.275,68.766,0.756,0,0.252,417792,196608,0.4,0.53,0.56,0,104853504,207757312,7024640,76177408,681152512
27.114,2.239,70.647,0,0,0,425984,0,0.4,0.53,0.56,0,104853504,216449024,7024640,76427264,672210944
27.543,1.985,70.471,0,0,0,0,0,0.4,0.53,0.56,0,104853504,224350208,7024640,76431360,664305664
25.616,3.202,70.936,0.246,0,0,40960,0,0.45,0.53,0.56,0,104853504,232189952,7024640,76431360,656465920
29.28,1.241,68.983,0.496,0,0,16384,114688,0.45,0.53,0.56,0,104853504,239259648,7032832,76464128,649355264
31.111,1.728,67.16,0,0,0,0,0,0.45,0.53,0.56,0,104853504,246521856,7032832,76464128,642093056
32.759,2.463,64.532,0.246,0,0,172032,0,0.45,0.53,0.56,0,104853504,255008768,7032832,76484608,633585664
34.889,1.229,63.882,0,0,0,0,0,0.45,0.53,0.56,0,104853504,261918720,7032832,76550144,626610176
28.856,2.488,68.408,0.249,0,0,32768,0,0.65,0.57,0.58,0,104853504,271060992,7032832,76566528,617451520
33.498,3.695,62.808,0,0,0,0,0,0.65,0.57,0.58,0,104853504,281919488,7032832,76566528,606593024
30.198,2.97,66.832,0,0,0,16384,32768,0.65,0.57,0.58,0,104853504,301363200,7041024,76558336,587149312
36.75,2.75,60,0.25,0,0.25,131072,0,0.65,0.57,0.58,0,104853504,304021504,7041024,76574720,584474624
36.124,3.828,58.852,0.957,0,0.239,1679360,0,0.65,0.57,0.58,0,104853504,306028544,7049216,77385728,581648384
30.569,4.976,63.744,0.711,0,0,319488,0,0.68,0.58,0.58,0,104853504,310378496,7049216,77479936,577204224
32.394,4.46,61.502,1.643,0,0,2146304,0,0.68,0.58,0.58,0,104853504,313585664,7049216,78655488,572821504
27.818,5.755,62.11,4.077,0,0.24,4407296,237568,0.68,0.58,0.58,0,104853504,317964288,7385088,80666624,566095872
19.952,2.375,76.96,0.713,0,0,1662976,0,0.68,0.58,0.58,0,104853504,349908992,7385088,81510400,533307392
27.338,3.118,66.667,2.398,0,0.48,3735552,0,0.68,0.58,0.58,0,104853504,354037760,7393280,83214336,527466496
37.5,4.953,56.132,1.415,0,0,1441792,0,0.95,0.64,0.6,0,104853504,385953792,7397376,84045824,494714880
33.333,2.899,62.077,1.691,0,0,2220032,0,0.95,0.64,0.6,0,104853504,386478080,7397376,85172224,493064192
37.767,4.513,52.732,4.988,0,0,4472832,393216,0.95,0.64,0.6,0,104853504,387985408,7401472,87343104,489381888
27.57,3.972,66.355,2.103,0,0,3301376,155648,0.95,0.64,0.6,0,104853504,389922816,7409664,88952832,485826560
30.282,3.521,65.493,0.704,0,0,1622016,0,0.95,0.64,0.6,0,104853504,392024064,7409664,89772032,482906112
34.368,5.251,59.189,1.193,0,0,1646592,0,1.03,0.66,0.6,0,104853504,393576448,7409664,90656768,480468992
29.877,3.704,31.852,34.074,0,0.494,25362432,0,1.03,0.66,0.6,0,104853504,395751424,7540736,103309312,465510400
80.253,8.101,1.013,9.873,0,0.759,31195136,0,1.03,0.66,0.6,0,104853504,428855296,7540736,119078912,416636928
93.5,2,4.5,0,0,0,4194304,0,1.03,0.66,0.6,0,104853504,433758208,7540736,121081856,409731072
94,4,2,0,0,0,6029312,32768,1.03,0.66,0.6,0,104853504,434024448,7548928,124006400,406532096
94.264,3.242,2.494,0,0,0,4718592,0,1.27,0.72,0.62,0,104853504,437010432,7548928,126369792,401182720
90.773,4.239,4.738,0,0,0.249,5783552,0,1.27,0.72,0.62,0,104853504,437063680,7548928,129261568,398237696
89.673,3.526,6.297,0,0,0.504,5767168,0,1.27,0.72,0.62,0,104853504,441790464,7548928,132034560,390737920
93,2.75,4,0,0,0.25,4718592,0,1.27,0.72,0.62,0,104853504,443281408,7548928,134615040,386666496
93.5,3,3.5,0,0,0,6029312,0,1.27,0.72,0.62,0,104853504,445501440,7548928,137428992,381632512
92.768,3.242,3.491,0,0,0.499,5767168,32768,1.57,0.79,0.65,0,104853504,448737280,7557120,140374016,375443456
89.303,3.731,6.965,0,0,0,4718592,0,1.57,0.79,0.65,0,104853504,450662400,7557120,142630912,371261440
93.484,3.008,3.509,0,0,0,5505024,0,1.57,0.79,0.65,0,104853504,452132864,7557120,145403904,367017984
93.035,3.98,2.985,0,0,0,5505024,0,1.57,0.79,0.65,0,104853504,453525504,7557120,148135936,362893312
92.231,4.01,3.509,0,0,0.251,5283840,0,1.57,0.79,0.65,0,104853504,455241728,7557120,151040000,358273024
90.819,2.233,6.948,0,0,0,5890048,0,1.84,0.86,0.67,0,104853504,458792960,7557120,153743360,352018432
92.768,3.242,3.741,0,0,0.249,5505024,24576,1.84,0.86,0.67,0,104853504,459960320,7565312,156758016,347828224
93.5,2.75,3.75,0,0,0,5242880,0,1.84,0.86,0.67,0,104853504,461664256,7565312,159117312,343764992
93.25,3.75,2.75,0,0,0.25,5242880,0,1.84,0.86,0.67,0,104853504,462872576,7565312,161779712,339894272
88.806,3.483,7.214,0.249,0,0.249,5505024,0,1.84,0.86,0.67,0,104853504,465707008,7565312,164601856,334237696
91.022,4.489,4.239,0,0,0.249,4194304,0,2.02,0.91,0.69,0,104853504,467320832,7565312,166658048,330567680
91.75,5,3,0,0,0.25,6029312,0,2.02,0.91,0.69,0,104853504,468860928,7565312,169754624,325931008
87.032,4.738,7.98,0,0,0.249,5505024,24576,2.02,0.91,0.69,0,104853504,471740416,7573504,172486656,320311296
93.5,2.75,3.75,0,0,0,4456448,0,2.02,0.91,0.69,0,104853504,473276416,7573504,174784512,316477440
93.484,3.258,3.258,0,0,0,5767168,0,2.02,0.91,0.69,0,104853504,474566656,7573504,177549312,312422400
93.734,3.008,3.008,0.251,0,0,6291456,0,2.34,0.99,0.72,0,104853504,476274688,7573504,180592640,307671040
87.5,5,7.25,0,0,0.25,4456448,0,2.34,0.99,0.72,0,104853504,479244288,7573504,182951936,302342144
90.773,5.237,3.741,0,0,0.249,5767168,106496,2.34,0.99,0.72,0,104853504,480710656,7573504,185724928,298102784
92.75,3.25,4,0,0,0,5767168,40960,2.34,0.99,0.72,0,104853504,482258944,7581696,188628992,293642240
90.547,3.98,5.473,0,0,0,5242880,0,2.34,0.99,0.72,0,104853504,484077568,7581696,191270912,289181696
90.347,1.98,7.673,0,0,0,4718592,0,2.47,1.04,0.73,0,104853504,489672704,7581696,193699840,281157632
93.233,4.01,2.506,0,0,0.251,5767168,0,2.47,1.04,0.73,0,104853504,489746432,7581696,196472832,278310912
91.709,5.528,2.513,0,0,0.251,4718592,114688,2.47,1.04,0.73,0,104853504,489951232,7581696,198811648,275767296
90.025,1.496,8.229,0.249,0,0,5505024,0,2.47,1.04,0.73,0,104853504,492736512,7581696,201605120,270188544
91.98,2.005,5.764,0.251,0,0,5242880,57344,2.47,1.04,0.73,0,104853504,497156096,7589888,204185600,263180288
92.768,4.239,2.993,0,0,0,4718592,0,2.59,1.09,0.75,0,104853504,497250304,7589888,206655488,260616192
93.985,2.757,3.008,0,0,0.251,5242880,0,2.59,1.09,0.75,0,104853504,498642944,7589888,209055744,256823296
89.082,2.978,7.94,0,0,0,4980736,0,2.59,1.09,0.75,0,104853504,501809152,7589888,211902464,250810368
93,2.5,4,0,0,0.5,5242880,0,2.59,1.09,0.75,0,104853504,503447552,7589888,214482944,246591488
92.537,3.483,3.483,0,0,0.498,6029312,0,2.59,1.09,0.75,0,104853504,504954880,7589888,217317376,242249728
93,3.25,3.75,0,0,0,5505024,24576,2.7,1.14,0.77,0,104853504,506388480,7598080,220200960,237924352
89.776,2.494,7.481,0,0,0.249,5242880,0,2.7,1.14,0.77,0,104853504,509476864,7598080,222691328,232345600
94.221,2.513,3.266,0,0,0,4980736,0,2.7,1.14,0.77,0,104853504,510763008,7598080,225140736,228610048
93.035,3.234,3.731,0,0,0,2621440,0,2.7,1.14,0.77,0,104853504,512155648,7598080,226611200,225746944
89.082,4.218,6.7,0,0,0,0,0,2.7,1.14,0.77,0,104853504,515096576,7598080,226590720,222826496
91.5,4.75,3.75,0,0,0,0,0,2.81,1.19,0.79,0,104853504,516493312,7598080,226590720,221429760
92.269,3.99,3.741,0,0,0,0,24576,2.81,1.19,0.79,0,104853504,517881856,7606272,226590720,220033024
91.563,3.97,4.467,0,0,0,0,0,2.81,1.19,0.79,0,104853504,519532544,7606272,226590720,218382336
91,3.25,5.75,0,0,0,0,0,2.81,1.19,0.79,0,104853504,522260480,7606272,226590720,215654400
91.045,4.975,3.98,0,0,0,0,0,2.81,1.19,0.79,0,104853504,523657216,7606272,226590720,214257664
91.98,3.759,4.261,0,0,0,0,0,3.22,1.3,0.83,0,104853504,524988416,7606272,226590720,212926464
89.082,3.474,7.444,0,0,0,0,0,3.22,1.3,0.83,0,104853504,528003072,7606272,226590720,209911808
92.462,4.02,3.518,0,0,0,0,24576,3.22,1.3,0.83,0,104853504,529424384,7614464,226590720,208482304
65.777,5.583,25.971,2.67,0,0,4087808,0,3.22,1.3,0.83,0,104853504,532168704,7614464,228503552,203825152
20.581,3.874,69.492,6.053,0,0,4210688,0,3.22,1.3,0.83,0,104853504,533344256,7614464,230649856,200503296
22.837,2.163,70.673,4.327,0,0,3956736,0,3.05,1.3,0.83,0,104853504,534728704,7614464,232693760,197074944
67.98,3.202,27.094,1.724,0,0,1695744,0,3.05,1.3,0.83,0,104853504,535187456,7614464,233537536,195772416
64.734,3.865,29.71,1.449,0,0.242,2154496,106496,3.05,1.3,0.83,0,104853504,535756800,7643136,238186496,190525440
76.75,9.75,5.25,7.75,0,0.5,36438016,196608,3.05,1.3,0.83,0,104853504,575361024,7651328,256839680,132259840
89.277,4.239,2.244,3.741,0,0.499,23068672,0,3.05,1.3,0.83,0,104853504,584126464,7651328,267472896,112861184
93.532,2.736,3.483,0,0,0.249,4718592,0,3.12,1.34,0.84,0,104853504,584183808,7651328,269922304,110354432
89,7,3.75,0,0,0.25,5242880,0,3.12,1.34,0.84,0,104853504,584036352,7651328,272240640,108183552
92.231,4.511,2.757,0,0,0.501,5767168,0,3.12,1.34,0.84,0,104853504,584151040,7651328,275062784,105246720
92,4,3.75,0,0,0.25,5242880,0,3.12,1.34,0.84,0,104853504,585543680,7651328,277725184,101191680
92.732,3.759,3.509,0,0,0,6553600,24576,3.12,1.34,0.84,0,104853504,587087872,7659520,281214976,96149504
87.909,4.534,7.557,0,0,0,4980736,0,3.19,1.39,0.86,0,104853504,590114816,7659520,283492352,90845184
88.442,3.769,7.789,0,0,0,4456448,0,3.19,1.39,0.86,0,104853504,593358848,7659520,285790208,85303296
92.695,3.526,3.526,0,0,0.252,4980736,180224,3.19,1.39,0.86,0,104853504,596733952,7659520,288493568,79224832
92.804,4.467,2.73,0,0,0,5242880,0,3.19,1.39,0.86,0,104853504,596774912,7659520,290832384,76845056
89.75,3.75,6,0.25,0,0.25,5505024,49152,3.19,1.39,0.86,0,104853504,598097920,7667712,293761024,72585216
93.035,2.985,3.234,0.498,0,0.249,6635520,0,3.26,1.43,0.88,0,104853504,600084480,7667712,296988672,67371008
93.233,3.258,3.258,0,0,0.251,4800512,0,3.26,1.43,0.88,0,104853504,601649152,7667712,299458560,63336448
92.519,1.995,5.237,0,0,0.249,5767168,0,3.26,1.43,0.88,0,104853504,603250688,7667712,302231552,58961920
91.022,2.494,6.484,0,0,0,4718592,0,3.26,1.43,0.88,0,104853504,606183424,7667712,304660480,53600256
92.481,3.258,4.01,0,0,0.251,5767168,24576,3.26,1.43,0.88,0,104853504,609136640,7675904,307474432,47824896
92.982,4.01,3.008,0,0,0,5242880,0,3.56,1.52,0.91,0,104853504,609124352,7675904,310095872,45215744
91.75,2.75,5.5,0,0,0,4980736,0,3.56,1.52,0.91,0,104853504,610758656,7675904,312565760,41111552
88.636,4.293,6.818,0,0,0.253,4980736,0,3.56,1.52,0.91,0,104853504,613662720,7675904,315187200,35586048
92.308,2.978,4.715,0,0,0,5767168,0,3.56,1.52,0.91,0,104853504,615153664,7675904,318070784,31211520
93.017,3.242,3.491,0.249,0,0,4980736,24576,3.56,1.52,0.91,0,104853504,618180608,7684096,320512000,25735168
90.524,2.743,6.733,0,0,0,5505024,0,3.59,1.56,0.93,0,104853504,618250240,7684096,323354624,22822912
88.471,3.759,7.519,0,0,0.251,5505024,0,3.59,1.56,0.93,0,104853504,621170688,7684096,325804032,17453056
93.484,3.258,3.008,0,0,0.251,4980736,0,3.59,1.56,0.93,0,104853504,622714880,7557120,324894720,16945152
92,4.25,3.75,0,0,0,5242880,0,3.59,1.56,0.93,0,104853504,624414720,7557120,323420160,16719872
88.75,3.75,6.75,0.25,0,0.5,5767168,24576,3.59,1.56,0.93,0,104853504,626872320,7565312,322621440,15052800
91.111,2.963,5.679,0,0,0.247,4980736,0,3.62,1.6,0.94,0,104853504,628379648,7565312,319905792,16261120
92.822,3.218,3.713,0.248,0,0,4456448,0,3.62,1.6,0.94,0,104853504,631173120,7565312,314777600,18595840
91.25,4.25,3.75,0,0,0.75,3153920,2990080,3.62,1.6,0.94,0,104853504,631349248,7569408,317349888,15843328
87.97,5.013,5.013,2.005,0,0,7602176,3055616,3.62,1.6,0.94,0,104853504,634220544,7569408,312680448,17641472
94.03,1.741,4.229,0,0,0,5767168,90112,3.62,1.6,0.94,0,104853504,636268544,7577600,311627776,16637952
92.269,4.239,3.491,0,0,0,5505024,0,3.66,1.64,0.96,0,104853504,637886464,7577600,311042048,15605760
91.771,4.239,3.99,0,0,0,5767168,0,3.66,1.64,0.96,0,104853504,639287296,7577600,309821440,15425536
89.474,3.258,7.268,0,0,0,4718592,32768,3.66,1.64,0.96,0,104853504,641839104,7577600,308928512,13766656
92.519,3.741,3.491,0,0,0.249,5505024,0,3.66,1.64,0.96,0,104853504,643489792,7577600,304107520,16936960
93.233,3.509,3.258,0,0,0,5505024,57344,3.66,1.64,0.96,0,104853504,645394432,7585792,299737088,19394560
93.284,3.483,3.234,0,0,0,4980736,0,3.76,1.7,0.98,0,104853504,646303744,7585792,302153728,16068608
88.279,3.491,8.229,0,0,0,5505024,0,3.76,1.7,0.98,0,104853504,649265152,7585792,301510656,13750272
93.199,3.023,3.778,0,0,0,5505024,0,3.76,1.7,0.98,0,104853504,651235328,7585792,297009152,16281600
93.75,2.5,3.5,0,0,0.25,4980736,0,3.76,1.7,0.98,0,104853504,652333056,7585792,299520000,12673024
92.732,3.258,3.759,0,0,0.251,2621440,24576,3.76,1.7,0.98,0,104853504,653647872,7593984,297504768,13365248
89.975,2.506,7.268,0,0,0.251,0,0,3.94,1.77,1.01,0,104853504,657027072,7593984,293998592,13492224
93.233,3.258,3.509,0,0,0,0,0,3.94,1.77,1.01,0,104853504,658513920,7593984,294002688,12001280
91.771,4.489,3.491,0,0,0.249,0,81920,3.94,1.77,1.01,0,104853504,660074496,7593984,287182848,17260544
88.308,3.98,7.711,0,0,0,0,0,3.94,1.77,1.01,0,104853504,662925312,7593984,287178752,14413824
92.231,4.01,3.759,0,0,0,16384,49152,3.94,1.77,1.01,0,104853504,664313856,7602176,287178752,13017088
91.315,3.474,5.211,0,0,0,0,0,4.03,1.82,1.03,0,104853504,674029568,7602176,274153472,16326656
49.628,1.489,48.883,0,0,0,0,0,4.03,1.82,1.03,0,104853504,673955840,7602176,274173952,16379904
53.713,0.99,45.297,0,0,0,0,0,4.03,1.82,1.03,0,104853504,673955840,7602176,274173952,16379904
96.25,2.25,1.5,0,0,0,0,0,4.03,1.82,1.03,0,104853504,673923072,7602176,274173952,16412672
92.556,3.226,4.218,0,0,0,0,32768,4.03,1.82,1.03,0,104853504,673939456,7610368,274173952,16388096
94.987,2.005,2.757,0,0,0.251,0,0,4.02,1.86,1.05,0,104853504,674058240,7610368,274173952,16269312
86,5.5,6.25,2.25,0,0,10059776,0,4.02,1.86,1.05,0,104853504,673984512,7622656,274837504,15667200
83.459,5.514,1.003,8.772,0,1.253,23339008,6070272,4.02,1.86,1.05,0,104853504,674238464,7634944,275955712,14282752
93.719,2.513,2.513,1.005,0,0.251,29425664,24576,4.02,1.86,1.05,0,104853504,674607104,7634944,275386368,14483456
90.05,5.224,4.726,0,0,0,5767168,221184,4.02,1.86,1.05,0,104853504,674652160,7643136,274948096,14868480
92.481,3.759,3.759,0,0,0,5685248,0,4.1,1.91,1.07,0,104853504,675692544,7643136,274575360,14200832
89.552,7.214,3.234,0,0,0,7921664,0,4.1,1.91,1.07,0,104853504,677457920,9113600,271822848,13717504
