sep=,
t,value
1434060293,198
1434060295,198
1434060297,198
1434060299,198
1434060301,198
1434060303,198
1434060305,198
1434060307,198
1434060309,1000
1434060311,1000
1434060313,1000
1434060315,1000
1434060317,1000
1434060319,1000
1434060321,1000
1434060323,1000
1434060325,1000
1434060327,1000
1434060329,1000
1434060331,1000
1434060333,1000
1434060335,1000
1434060337,1000
1434060339,1000
1434060341,970
1434060343,913
1434060345,869
1434060347,869
1434060349,869
1434060351,869
1434060353,869
1434060355,869
1434060357,867
1434060359,867
