t,value
1434062768,198
1434062770,198
1434062772,198
1434062774,198
1434062776,198
1434062778,198
1434062780,198
1434062782,1000
1434062784,1000
1434062786,1000
1434062788,1000
1434062790,1000
1434062792,1000
1434062794,1000
1434062796,1000
1434062798,1000
1434062800,1000
1434062802,1000
1434062804,1000
1434062806,1000
1434062808,1000
1434062810,1000
1434062812,1000
1434062814,1000
1434062816,1000
1434062818,1000
1434062820,1000
1434062822,1000
1434062824,1000
1434062826,1000
1434062828,1000
1434062830,1000
1434062832,1000
