t,value
1434062768,58
1434062770,142
1434062772,142
1434062774,142
1434062776,142
1434062778,142
1434062780,142
1434062782,142
1434062784,142
1434062786,142
1434062788,142
1434062790,142
1434062792,142
1434062794,142
1434062796,142
1434062798,142
1434062800,142
1434062802,142
1434062804,142
1434062806,142
1434062808,142
1434062810,142
1434062812,142
1434062814,142
1434062816,142
1434062818,142
1434062820,142
1434062822,249
1434062824,249
1434062826,362
1434062828,924
1434062830,971
1434062832,1015
