t,value
1434062768,385875968
1434062770,385875968
1434062772,385875968
1434062774,385875968
1434062776,385875968
1434062778,385875968
1434062780,385875968
1434062782,385875968
1434062784,385875968
1434062786,385875968
1434062788,385875968
1434062790,385875968
1434062792,385875968
1434062794,385875968
1434062796,385875968
1434062798,385875968
1434062800,385875968
1434062802,385875968
1434062804,385875968
1434062806,385875968
1434062808,385875968
1434062810,385875968
1434062812,385875968
1434062814,385875968
1434062816,385875968
1434062818,385875968
1434062820,385875968
1434062822,385875968
1434062824,385875968
1434062826,385875968
1434062828,365166592
1434062830,370409472
1434062832,330039296
