t,value
1434062768,402653184
1434062770,402653184
1434062772,402653184
1434062774,402653184
1434062776,402653184
1434062778,402653184
1434062780,402653184
1434062782,402653184
1434062784,402653184
1434062786,402653184
1434062788,402653184
1434062790,402653184
1434062792,402653184
1434062794,402653184
1434062796,402653184
1434062798,402653184
1434062800,402653184
1434062802,402653184
1434062804,402653184
1434062806,402653184
1434062808,402653184
1434062810,402653184
1434062812,402653184
1434062814,402653184
1434062816,402653184
1434062818,402653184
1434062820,402653184
1434062822,402653184
1434062824,402653184
1434062826,402653184
1434062828,402653184
1434062830,402653184
1434062832,402653184
