t,value
1434062768,104412736
1434062770,44339008
1434062772,44746408
1434062774,45906560
1434062776,46433280
1434062778,46838600
1434062780,53237896
1434062782,56990000
1434062784,99536456
1434062786,100967912
1434062788,102393216
1434062790,102789752
1434062792,103299088
1434062794,103695728
1434062796,106670528
1434062798,107075360
1434062800,107584616
1434062802,107981256
1434062804,108381128
1434062806,108777664
1434062808,110024288
1434062810,110420928
1434062812,110820824
1434062814,111217360
1434062816,112414504
1434062818,115940816
1434062820,117777576
1434062822,61220496
1434062824,61705744
1434062826,143024016
1434062828,261497720
1434062830,191218480
1434062832,217663720
