t,value
1434062768,31195136
1434062770,35651584
1434062772,35651584
1434062774,35651584
1434062776,35651584
1434062778,35651584
1434062780,35913728
1434062782,36175872
1434062784,36962304
1434062786,36962304
1434062788,36962304
1434062790,36962304
1434062792,36962304
1434062794,36962304
1434062796,37224448
1434062798,37224448
1434062800,37224448
1434062802,37224448
1434062804,37224448
1434062806,37224448
1434062808,37224448
1434062810,37224448
1434062812,37224448
1434062814,37224448
1434062816,37224448
1434062818,37486592
1434062820,37486592
1434062822,37486592
1434062824,37486592
1434062826,37748736
1434062828,40108032
1434062830,44040192
1434062832,47972352
