t,value
1434062768,19136512
1434062770,19136512
1434062772,19136512
1434062774,19136512
1434062776,19136512
1434062778,19136512
1434062780,19136512
1434062782,19136512
1434062784,19136512
1434062786,19136512
1434062788,19136512
1434062790,19136512
1434062792,19136512
1434062794,19136512
1434062796,19136512
1434062798,19136512
1434062800,19136512
1434062802,19136512
1434062804,19136512
1434062806,19136512
1434062808,19136512
1434062810,19136512
1434062812,19136512
1434062814,19136512
1434062816,19136512
1434062818,19136512
1434062820,19136512
1434062822,19136512
1434062824,19136512
1434062826,19136512
1434062828,19136512
1434062830,19136512
1434062832,19136512
