t,value
1434062768,184549376
1434062770,184549376
1434062772,184549376
1434062774,184549376
1434062776,184549376
1434062778,184549376
1434062780,184549376
1434062782,184549376
1434062784,184549376
1434062786,184549376
1434062788,184549376
1434062790,184549376
1434062792,184549376
1434062794,184549376
1434062796,184549376
1434062798,184549376
1434062800,184549376
1434062802,184549376
1434062804,184549376
1434062806,184549376
1434062808,184549376
1434062810,184549376
1434062812,184549376
1434062814,184549376
1434062816,184549376
1434062818,184549376
1434062820,184549376
1434062822,184549376
1434062824,184549376
1434062826,184549376
1434062828,184549376
1434062830,184549376
1434062832,184549376
