t,value
1434062768,29690736
1434062770,34203192
1434062772,34205776
1434062774,34216008
1434062776,34217544
1434062778,34219512
1434062780,34537448
1434062782,34757904
1434062784,35619208
1434062786,35636880
1434062788,35641056
1434062790,35644256
1434062792,35644808
1434062794,35646640
1434062796,35809936
1434062798,35817400
1434062800,35827168
1434062802,35830520
1434062804,35834136
1434062806,35839264
1434062808,35845184
1434062810,35851440
1434062812,35854352
1434062814,35864960
1434062816,35888008
1434062818,36115048
1434062820,36129256
1434062822,36246368
1434062824,36250208
1434062826,36437280
1434062828,38943760
1434062830,43033968
1434062832,47141824
