t,value
1434062768,417071104
1434062770,421527552
1434062772,421527552
1434062774,421527552
1434062776,421527552
1434062778,421527552
1434062780,421789696
1434062782,422051840
1434062784,422838272
1434062786,422838272
1434062788,422838272
1434062790,422838272
1434062792,422838272
1434062794,422838272
1434062796,423100416
1434062798,423100416
1434062800,423100416
1434062802,423100416
1434062804,423100416
1434062806,423100416
1434062808,423100416
1434062810,423100416
1434062812,423100416
1434062814,423100416
1434062816,423100416
1434062818,423362560
1434062820,423362560
1434062822,423362560
1434062824,423362560
1434062826,423624704
1434062828,405274624
1434062830,414449664
1434062832,378011648
