t,value
1434062768,421789696
1434062770,421789696
1434062772,421789696
1434062774,421789696
1434062776,421789696
1434062778,421789696
1434062780,421789696
1434062782,421789696
1434062784,421789696
1434062786,421789696
1434062788,421789696
1434062790,421789696
1434062792,421789696
1434062794,421789696
1434062796,421789696
1434062798,421789696
1434062800,421789696
1434062802,421789696
1434062804,421789696
1434062806,421789696
1434062808,421789696
1434062810,421789696
1434062812,421789696
1434062814,421789696
1434062816,421789696
1434062818,421789696
1434062820,421789696
1434062822,421789696
1434062824,421789696
1434062826,421789696
1434062828,421789696
1434062830,421789696
1434062832,421789696
