t,value
1434062768,570425344
1434062770,570425344
1434062772,570425344
1434062774,570425344
1434062776,570425344
1434062778,570425344
1434062780,570425344
1434062782,570425344
1434062784,570425344
1434062786,570425344
1434062788,570425344
1434062790,570425344
1434062792,570425344
1434062794,570425344
1434062796,570425344
1434062798,570425344
1434062800,570425344
1434062802,570425344
1434062804,570425344
1434062806,570425344
1434062808,570425344
1434062810,570425344
1434062812,570425344
1434062814,570425344
1434062816,570425344
1434062818,570425344
1434062820,570425344
1434062822,570425344
1434062824,570425344
1434062826,570425344
1434062828,549715968
1434062830,554958848
1434062832,542638080
