t,value
1434062768,134343216
1434062770,78687984
1434062772,79226712
1434062774,80381360
1434062776,80788064
1434062778,81195352
1434062780,87913064
1434062782,92014400
1434062784,135284752
1434062786,136742368
1434062788,138300512
1434062790,138692176
1434062792,139081144
1434062794,139471488
1434062796,142756632
1434062798,143150944
1434062800,143549064
1434062802,143941040
1434062804,144481808
1434062806,144875096
1434062808,146006896
1434062810,146401488
1434062812,146941640
1434062814,147340320
1434062816,148568784
1434062818,152193072
1434062820,154045400
1434062822,97620120
1434062824,98110776
1434062826,180351112
1434062828,300767528
1434062830,234409864
1434062832,264983712
