"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dell01",,,,"User:","daniel"
"Cmdline:","dstat --output model_run.log",,,,"Date:","12 Jun 2015 08:04:50 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
7.518,1.221,88.530,2.604,0.003,0.124,255627.420,361468.018,0.0,0.0,795.384,3794.472,552.617,830.596
0.505,0.505,98.990,0.0,0.0,0.0,0.0,0.0,2066.0,1732.0,0.0,0.0,530.0,773.0
1.020,0.0,98.980,0.0,0.0,0.0,0.0,0.0,64.0,452.0,0.0,0.0,491.0,791.0
44.724,9.045,46.231,0.0,0.0,0.0,0.0,32768.0,2164.0,888.0,0.0,0.0,1093.0,1602.0
53.500,7.0,38.0,1.500,0.0,0.0,0.0,98304.0,234.0,558.0,0.0,0.0,763.0,1088.0
78.283,2.525,19.192,0.0,0.0,0.0,0.0,0.0,192.0,914.0,0.0,0.0,981.0,1178.0
67.839,8.543,23.618,0.0,0.0,0.0,0.0,0.0,2580.0,2163.0,0.0,0.0,1027.0,1264.0
68.0,10.500,20.500,0.0,0.0,1.0,0.0,0.0,128.0,776.0,0.0,0.0,1165.0,1768.0
89.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,704.0,3342.0,0.0,0.0,1121.0,1703.0
71.717,6.061,21.212,0.0,0.0,1.010,0.0,0.0,2700.0,2534.0,0.0,0.0,1335.0,2145.0
75.879,7.035,14.573,1.508,0.0,1.005,0.0,106496.0,8862.0,15358.0,0.0,0.0,1161.0,1600.0
71.500,8.500,19.0,0.0,0.0,1.0,0.0,0.0,320.0,1738.0,0.0,0.0,2562.0,1518.0
42.857,7.143,37.245,12.755,0.0,0.0,1171456.0,0.0,2356.0,1930.0,0.0,0.0,1516.0,2204.0
18.974,2.051,73.333,5.641,0.0,0.0,417792.0,0.0,192.0,808.0,0.0,0.0,1111.0,1630.0
3.061,1.020,95.918,0.0,0.0,0.0,0.0,0.0,874.0,4166.0,0.0,0.0,862.0,1248.0
1.015,1.523,95.431,2.030,0.0,0.0,0.0,135168.0,2100.0,782.0,0.0,0.0,835.0,1199.0
3.553,1.523,94.924,0.0,0.0,0.0,0.0,0.0,1428.0,1318.0,0.0,0.0,915.0,1282.0
2.030,0.508,96.954,0.0,0.0,0.508,0.0,0.0,478.0,1538.0,0.0,0.0,809.0,1206.0
2.538,1.523,95.939,0.0,0.0,0.0,0.0,0.0,2292.0,888.0,0.0,0.0,868.0,1256.0
0.518,0.518,98.964,0.0,0.0,0.0,0.0,0.0,64.0,452.0,0.0,0.0,782.0,1180.0
13.568,1.508,84.925,0.0,0.0,0.0,0.0,0.0,64.0,452.0,0.0,0.0,1059.0,1356.0
6.122,0.510,93.367,0.0,0.0,0.0,0.0,49152.0,9187.0,6548.0,0.0,0.0,980.0,1750.0
5.699,0.518,93.782,0.0,0.0,0.0,0.0,0.0,592.0,4736.0,0.0,0.0,963.0,1508.0
16.244,2.030,81.726,0.0,0.0,0.0,0.0,0.0,1440.0,1592.0,0.0,0.0,1435.0,2352.0
6.533,1.508,91.960,0.0,0.0,0.0,0.0,0.0,15965.0,18853.0,0.0,0.0,872.0,1356.0
14.872,0.513,83.590,1.026,0.0,0.0,36864.0,0.0,896.0,939.0,0.0,0.0,1214.0,1810.0
25.888,1.015,67.513,4.569,0.0,1.015,40960.0,53248.0,16942.0,40040.0,0.0,0.0,1315.0,1864.0
13.918,4.639,74.742,6.186,0.0,0.515,237568.0,0.0,33648.0,116902.0,0.0,0.0,1533.0,1855.0
4.040,1.010,94.949,0.0,0.0,0.0,0.0,0.0,6820.0,19480.0,0.0,0.0,898.0,1325.0
6.633,0.510,92.347,0.0,0.0,0.510,0.0,0.0,170.0,516.0,0.0,0.0,1156.0,1591.0
10.101,2.020,87.879,0.0,0.0,0.0,0.0,49152.0,16464.0,160462.0,0.0,0.0,1013.0,1516.0
14.500,0.500,83.500,1.500,0.0,0.0,0.0,65536.0,8169.0,8726.0,0.0,0.0,781.0,1275.0
22.727,1.010,75.758,0.0,0.0,0.505,0.0,0.0,128.0,452.0,0.0,0.0,1136.0,1585.0
6.154,0.513,93.333,0.0,0.0,0.0,0.0,0.0,8905.0,8882.0,0.0,0.0,1060.0,1570.0
24.623,1.005,73.367,1.005,0.0,0.0,4096.0,0.0,6354.0,44930.0,0.0,0.0,1179.0,1573.0
1.546,0.515,97.938,0.0,0.0,0.0,0.0,339968.0,4885.0,10701.0,0.0,0.0,801.0,1191.0
9.091,2.020,88.889,0.0,0.0,0.0,28672.0,0.0,2164.0,888.0,0.0,0.0,823.0,1166.0
17.259,1.015,81.218,0.0,0.0,0.508,0.0,61440.0,4575.0,10245.0,0.0,0.0,1042.0,1570.0
4.061,1.015,94.924,0.0,0.0,0.0,0.0,0.0,6714.0,5561.0,0.0,0.0,904.0,1386.0
2.030,1.523,96.447,0.0,0.0,0.0,0.0,0.0,2164.0,888.0,0.0,0.0,930.0,1448.0
4.103,0.513,95.385,0.0,0.0,0.0,0.0,65536.0,64.0,452.0,0.0,0.0,878.0,1276.0
2.538,1.015,96.447,0.0,0.0,0.0,0.0,0.0,64.0,452.0,0.0,0.0,877.0,1303.0
3.077,0.513,94.872,1.538,0.0,0.0,0.0,77824.0,2164.0,782.0,0.0,0.0,877.0,1298.0
2.564,0.0,97.436,0.0,0.0,0.0,0.0,0.0,64.0,452.0,0.0,0.0,862.0,1258.0
7.576,1.515,90.404,0.0,0.0,0.505,0.0,0.0,64.0,452.0,0.0,0.0,1164.0,2057.0
5.025,0.503,94.472,0.0,0.0,0.0,0.0,319488.0,9620.0,15662.0,0.0,0.0,780.0,1257.0
4.082,1.020,94.898,0.0,0.0,0.0,0.0,0.0,4547.0,1090.0,0.0,0.0,905.0,1413.0
4.082,0.510,93.367,2.041,0.0,0.0,0.0,86016.0,2948.0,810.0,0.0,0.0,894.0,1329.0
3.590,0.513,95.897,0.0,0.0,0.0,0.0,0.0,7761.0,1668.0,0.0,0.0,825.0,1348.0
2.525,1.010,96.465,0.0,0.0,0.0,0.0,0.0,134.0,798.0,0.0,0.0,752.0,1243.0
4.545,1.010,94.444,0.0,0.0,0.0,0.0,0.0,64.0,452.0,0.0,0.0,896.0,1401.0
1.026,1.026,97.949,0.0,0.0,0.0,0.0,0.0,2164.0,888.0,0.0,0.0,825.0,1221.0
8.081,1.515,90.404,0.0,0.0,0.0,0.0,0.0,64.0,452.0,0.0,0.0,1041.0,1819.0
1.538,0.513,96.923,1.026,0.0,0.0,0.0,49152.0,7024.0,15534.0,0.0,0.0,852.0,1289.0
4.592,1.020,94.388,0.0,0.0,0.0,0.0,0.0,2164.0,888.0,0.0,0.0,818.0,1322.0
9.231,4.615,86.154,0.0,0.0,0.0,0.0,0.0,64.0,452.0,0.0,0.0,1428.0,1360.0
7.143,1.531,91.327,0.0,0.0,0.0,0.0,0.0,8621.0,11297.0,0.0,0.0,1044.0,1561.0
