Host:,pi00,,,,User:,daniel,,,,,,,
Cmdline:,dstat --output 1W32B1R.log,,,,Date:,12 Jun 2015 18:30:52 PDT,,,,,,,
,,,,,,,,,,,,,
total cpu usage,,,,,,dsk/total,,net/total,,paging,,system,
usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
10.395,0.383,88.595,0.507,0,0.12,505425.663,324315.619,0,0,0,4.595,584.378,354.97
0,0,100,0,0,0,0,0,46,0,0,0,496,437
0,0,100,0,0,0,0,0,46,0,0,0,482,447
0.503,0,99.497,0,0,0,0,0,190,909,0,0,507,464
0,0,100,0,0,0,0,57344,0,0,0,0,498,427
0,0,100,0,0,0,0,49152,0,0,0,0,503,438
1.269,1.269,97.208,0.254,0,0,237568,0,2149,2489,0,0,634,605
28.141,3.266,67.839,0.754,0,0,2007040,0,0,0,0,0,787,713
25.25,0.25,74.5,0,0,0,0,0,0,0,0,0,628,510
22.278,2.532,74.177,0.506,0,0.506,229376,0,92,543,0,0,804,811
26.396,2.284,70.558,0.761,0,0,761856,0,0,0,0,0,864,804
24.235,1.786,72.959,1.02,0,0,1196032,212992,0,0,0,0,892,795
21.914,3.023,73.048,1.763,0,0.252,2818048,0,92,543,0,0,987,885
25.57,1.772,71.139,1.519,0,0,2023424,0,0,0,0,0,923,802
27.068,1.003,63.659,7.769,0,0.501,311296,286720,0,0,0,0,838,698
23.929,1.511,72.544,2.015,0,0,2293760,0,234,636,0,0,1092,1000
29.825,3.008,65.915,1.253,0,0,1171456,0,0,0,0,0,935,825
33.668,2.764,63.065,0.503,0,0,483328,65536,0,0,0,0,837,748
27.525,1.515,70.455,0.505,0,0,589824,0,144,909,0,0,1052,1250
29.873,3.291,65.823,1.013,0,0,933888,155648,0,0,0,0,1222,1379
30.923,2.494,66.085,0.499,0,0,565248,0,46,50,0,0,1079,1200
34.937,3.544,60,1.266,0,0.253,1925120,0,1422,1497,0,0,1327,1603
31.818,2.525,64.646,1.01,0,0,1204224,0,1245,1307,0,0,1512,1962
26.992,2.571,69.152,1.285,0,0,1343488,131072,9498,2283,0,0,1254,1347
31.122,1.531,66.327,1.02,0,0,557056,0,1045,9093,0,0,1276,1594
26.817,2.757,68.922,1.504,0,0,2162688,57344,27299,2446,0,0,1459,1905
19.898,2.296,76.531,1.02,0,0.255,1286144,0,3929,1256,0,0,998,1070
31.313,2.778,64.899,1.01,0,0,1531904,0,92,543,0,0,1655,2219
32.75,1.25,65.25,0.75,0,0,385024,188416,39354,4336,0,0,1154,1337
41.266,3.797,53.671,1.266,0,0,1597440,0,0,0,0,0,1688,2098
25.189,1.259,73.3,0.252,0,0,393216,0,92,543,0,0,950,980
27.273,2.778,69.192,0.758,0,0,933888,0,0,0,0,0,1230,1447
32.746,2.771,58.186,6.045,0,0.252,2818048,0,45200,4681,0,0,1634,2251
52.821,3.59,3.846,39.744,0,0,28966912,0,144,909,0,0,1598,1773
85.965,2.506,4.01,7.268,0,0.251,24215552,32768,0,0,0,0,1733,2097
94.472,0.754,4.774,0,0,0,3932160,0,52,156,0,0,1114,1000
97.257,0.998,1.746,0,0,0,5373952,0,92,543,0,0,1151,1037
92.231,1.754,5.764,0,0,0.251,4980736,0,0,0,0,0,1120,979
95.522,1.741,2.736,0,0,0,6553600,0,0,0,0,0,1144,1026
95.5,0.5,3.5,0,0,0.5,5505024,24576,92,543,0,0,1148,1047
95.477,1.256,3.266,0,0,0,5505024,0,0,0,0,0,1140,997
90.476,0.752,8.772,0,0,0,5242880,0,368,3079,0,0,1158,1135
95.25,0.75,4,0,0,0,6774784,0,144,699,0,0,1213,1123
94.975,1.256,3.518,0,0,0.251,4194304,0,0,0,0,0,1136,1042
95.489,0.501,3.759,0.251,0,0,6029312,24576,46,0,0,0,1193,1119
92.75,1.25,6,0,0,0,4718592,0,92,543,0,0,1127,1068
94.264,0.998,4.738,0,0,0,6070272,0,0,0,0,0,1139,1054
95.226,1.005,3.769,0,0,0,5242880,0,0,0,0,0,1138,1060
94.737,0.752,4.261,0,0,0.251,5767168,0,144,909,0,0,1161,1085
90.977,1.003,7.769,0,0,0.251,4734976,122880,0,0,0,0,1176,1092
95,0.25,4.75,0,0,0,4718592,0,0,0,0,0,1152,1029
94.987,1.003,4.01,0,0,0,5505024,0,414,3622,0,0,1165,1085
96.75,0,3,0,0,0.25,5505024,0,0,0,0,0,1123,1018
92.947,0,7.053,0,0,0,5242880,0,46,0,0,0,1146,1069
96.509,0.499,2.993,0,0,0,5505024,253952,92,543,0,0,1284,1141
95.25,0.75,4,0,0,0,4718592,0,0,0,0,0,1103,1012
94.486,2.005,3.509,0,0,0,4980736,0,0,0,0,0,1127,1022
91.709,0.754,7.538,0,0,0,6029312,0,92,543,0,0,1144,1031
