"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dell01",,,,"User:","daniel"
"Cmdline:","dstat --output 2W64B2R.log",,,,"Date:","12 Jun 2015 14:15:53 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
6.050,1.460,91.038,1.130,0.004,0.318,560391.701,238889.073,0.0,0.0,4665.140,16373.693,820.678,1072.202
51.759,8.040,38.693,1.005,0.0,0.503,4096.0,0.0,7611.0,11331.0,0.0,0.0,852.0,1255.0
66.667,9.091,1.515,22.222,0.0,0.505,7344128.0,778240.0,0.0,0.0,7344128.0,778240.0,1202.0,1837.0
77.0,5.0,17.500,0.0,0.0,0.500,0.0,0.0,655.0,571.0,0.0,0.0,975.0,1260.0
58.376,8.629,31.980,0.508,0.0,0.508,0.0,81920.0,879.0,1066.0,0.0,0.0,995.0,1265.0
68.844,9.548,19.598,0.503,0.0,1.508,49152.0,0.0,128.0,414.0,0.0,0.0,1306.0,1841.0
91.414,5.556,2.020,0.0,0.0,1.010,0.0,0.0,1039.0,2845.0,0.0,0.0,1104.0,1631.0
83.920,5.528,10.050,0.0,0.0,0.503,4096.0,0.0,1063.0,1967.0,0.0,0.0,1236.0,1951.0
72.500,6.500,21.0,0.0,0.0,0.0,32768.0,0.0,4264.0,7846.0,32768.0,0.0,1092.0,1326.0
68.342,11.558,20.101,0.0,0.0,0.0,0.0,577536.0,719.0,975.0,0.0,577536.0,2394.0,1316.0
66.332,8.543,23.618,0.503,0.0,1.005,4096.0,913408.0,783.0,1571.0,0.0,761856.0,1545.0,2152.0
18.593,2.513,78.894,0.0,0.0,0.0,0.0,0.0,1290.0,2716.0,0.0,0.0,732.0,1279.0
3.500,1.0,95.500,0.0,0.0,0.0,0.0,0.0,783.0,1439.0,0.0,0.0,572.0,948.0
10.204,1.531,88.265,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,964.0,1368.0
2.051,0.513,97.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797.0,1209.0
2.551,0.510,93.878,3.061,0.0,0.0,0.0,163840.0,527.0,109.0,0.0,0.0,729.0,1136.0
3.046,0.508,95.431,1.015,0.0,0.0,4096.0,0.0,527.0,109.0,4096.0,0.0,780.0,1264.0
3.077,0.513,96.410,0.0,0.0,0.0,0.0,57344.0,128.0,0.0,0.0,0.0,777.0,1218.0
2.551,0.510,96.429,0.0,0.0,0.510,0.0,0.0,527.0,109.0,0.0,0.0,775.0,1162.0
2.538,1.015,96.447,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,764.0,1162.0
2.591,0.0,95.855,1.554,0.0,0.0,0.0,53248.0,0.0,0.0,0.0,0.0,732.0,1184.0
5.102,1.020,93.878,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,830.0,1343.0
11.917,0.518,87.047,0.0,0.0,0.518,0.0,380928.0,2011.0,2771.0,0.0,0.0,1014.0,1646.0
3.061,0.510,96.429,0.0,0.0,0.0,0.0,0.0,2766.0,2888.0,0.0,0.0,818.0,1253.0
10.417,0.521,89.062,0.0,0.0,0.0,0.0,0.0,4911.0,21912.0,0.0,0.0,1035.0,1581.0
10.256,2.051,87.179,0.0,0.0,0.513,0.0,0.0,10518.0,2501.0,0.0,0.0,978.0,1490.0
16.244,7.614,74.112,1.523,0.0,0.508,0.0,86016.0,11526.0,54918.0,0.0,0.0,1349.0,1611.0
3.077,0.513,96.410,0.0,0.0,0.0,0.0,0.0,4421.0,10251.0,0.0,0.0,770.0,1250.0
6.533,1.005,92.462,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,1059.0,1464.0
2.551,0.510,96.939,0.0,0.0,0.0,0.0,0.0,7054.0,42243.0,0.0,0.0,833.0,1244.0
3.553,0.508,95.939,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,787.0,1234.0
2.564,0.513,95.897,1.026,0.0,0.0,0.0,40960.0,527.0,109.0,0.0,0.0,813.0,1256.0
9.694,1.020,87.755,1.531,0.0,0.0,4096.0,36864.0,0.0,0.0,4096.0,0.0,975.0,1404.0
17.766,0.0,82.234,0.0,0.0,0.0,0.0,0.0,6797.0,78949.0,0.0,0.0,852.0,1128.0
8.122,0.508,91.371,0.0,0.0,0.0,0.0,0.0,2323.0,1265.0,0.0,0.0,756.0,1095.0
2.062,0.515,97.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842.0,1236.0
7.143,0.510,90.306,2.041,0.0,0.0,0.0,53248.0,807.0,249.0,0.0,0.0,939.0,1397.0
2.551,0.510,96.939,0.0,0.0,0.0,0.0,45056.0,6763.0,823.0,0.0,0.0,856.0,1229.0
4.082,0.510,95.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.0,1280.0
5.446,0.495,94.059,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,787.0,1223.0
4.569,0.0,95.431,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,714.0,1104.0
3.030,0.505,96.465,0.0,0.0,0.0,0.0,0.0,714.0,140.0,0.0,0.0,708.0,1075.0
4.040,0.0,93.939,2.020,0.0,0.0,0.0,385024.0,527.0,109.0,0.0,0.0,788.0,1143.0
3.046,0.508,94.924,1.523,0.0,0.0,4096.0,0.0,655.0,249.0,4096.0,0.0,856.0,1211.0
4.592,1.020,94.388,0.0,0.0,0.0,0.0,0.0,280.0,140.0,0.0,0.0,855.0,1301.0
3.518,0.503,95.477,0.0,0.0,0.503,0.0,0.0,527.0,109.0,0.0,0.0,801.0,1238.0
3.608,0.515,95.876,0.0,0.0,0.0,0.0,0.0,527.0,173.0,0.0,0.0,859.0,1328.0
2.051,0.513,95.385,1.538,0.0,0.513,0.0,110592.0,6108.0,714.0,0.0,0.0,821.0,1252.0
3.553,0.0,96.447,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,802.0,1222.0
3.518,1.005,95.477,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,797.0,1245.0
2.551,1.531,95.918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.0,1146.0
4.061,0.508,95.431,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,1023.0,1164.0
2.062,0.515,95.876,1.546,0.0,0.0,0.0,53248.0,622.0,109.0,0.0,0.0,901.0,1186.0
2.538,1.015,96.447,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,828.0,1224.0
3.535,1.010,95.455,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,855.0,1221.0
2.564,1.026,96.410,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,884.0,1220.0
6.633,0.0,93.367,0.0,0.0,0.0,0.0,0.0,970.0,420.0,0.0,0.0,934.0,1274.0
2.551,1.020,94.898,1.020,0.0,0.510,45056.0,49152.0,6858.0,823.0,45056.0,0.0,1040.0,1272.0
2.020,1.010,86.869,10.101,0.0,0.0,0.0,163840.0,527.0,109.0,0.0,0.0,778.0,1068.0
3.553,0.0,96.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0,1049.0
3.077,0.513,96.410,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,779.0,1216.0
2.551,0.510,96.939,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,767.0,1244.0
3.590,0.0,96.410,0.0,0.0,0.0,0.0,0.0,128.0,128.0,0.0,0.0,821.0,1283.0
1.546,0.0,96.392,1.546,0.0,0.515,0.0,81920.0,655.0,237.0,0.0,0.0,772.0,1262.0
2.551,1.020,96.429,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,769.0,1273.0
3.590,0.0,96.410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.0,1260.0
5.528,0.503,93.970,0.0,0.0,0.0,0.0,0.0,527.0,173.0,0.0,0.0,831.0,1300.0
3.046,0.508,96.447,0.0,0.0,0.0,0.0,0.0,6635.0,823.0,0.0,0.0,786.0,1288.0
2.564,0.513,95.897,1.026,0.0,0.0,0.0,40960.0,95.0,0.0,0.0,0.0,811.0,1353.0
2.577,0.515,90.206,6.701,0.0,0.0,270336.0,0.0,622.0,109.0,155648.0,0.0,880.0,1454.0
3.590,0.513,95.897,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,908.0,1322.0
2.062,1.031,96.907,0.0,0.0,0.0,0.0,0.0,714.0,140.0,0.0,0.0,897.0,1248.0
3.077,0.513,96.410,0.0,0.0,0.0,0.0,0.0,1006.0,529.0,0.0,0.0,845.0,1260.0
3.061,0.0,96.429,0.0,0.0,0.510,0.0,12288.0,527.0,109.0,0.0,0.0,875.0,1357.0
22.111,1.005,74.874,2.010,0.0,0.0,0.0,69632.0,0.0,0.0,0.0,0.0,709.0,1214.0
2.513,1.005,96.482,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,567.0,989.0
12.626,0.505,86.869,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,897.0,1529.0
4.615,0.0,95.385,0.0,0.0,0.0,0.0,0.0,6236.0,714.0,0.0,0.0,737.0,1183.0
2.577,0.515,96.907,0.0,0.0,0.0,0.0,188416.0,527.0,173.0,0.0,0.0,801.0,1295.0
3.061,0.510,94.898,1.531,0.0,0.0,4096.0,57344.0,527.0,109.0,4096.0,0.0,764.0,1233.0
4.040,1.010,94.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.0,1226.0
5.0,1.0,94.0,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,819.0,1268.0
2.564,0.513,96.923,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,883.0,1285.0
3.535,0.505,95.960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774.0,1178.0
2.030,0.508,95.939,1.523,0.0,0.0,0.0,45056.0,527.0,109.0,0.0,0.0,661.0,1067.0
2.041,0.510,97.449,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,706.0,1092.0
5.556,0.505,93.939,0.0,0.0,0.0,0.0,0.0,714.0,140.0,0.0,0.0,849.0,1362.0
6.091,1.015,92.893,0.0,0.0,0.0,0.0,0.0,6635.0,823.0,0.0,0.0,829.0,1225.0
3.046,0.0,96.954,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,807.0,1268.0
1.531,1.020,96.939,0.0,0.0,0.510,0.0,0.0,0.0,0.0,0.0,0.0,790.0,1192.0
