"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dell01",,,,"User:","daniel"
"Cmdline:","dstat --output 4W04B3R.log",,,,"Date:","12 Jun 2015 11:08:39 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
7.102,1.550,89.455,1.539,0.005,0.350,610488.127,381635.096,0.0,0.0,3398.772,19335.218,850.923,1083.601
53.807,6.599,38.071,1.015,0.0,0.508,8192.0,0.0,1578.0,330.0,32768.0,0.0,820.0,1279.0
77.612,7.463,2.488,11.940,0.0,0.498,9166848.0,0.0,654.0,636.0,9134080.0,0.0,1361.0,2125.0
66.0,7.500,24.500,1.0,0.0,1.0,4096.0,0.0,480.0,1339.0,0.0,0.0,952.0,1404.0
71.287,7.921,20.297,0.0,0.0,0.495,0.0,167936.0,1962.0,2258.0,0.0,0.0,1193.0,1672.0
87.374,8.081,3.030,0.505,0.0,1.010,8192.0,946176.0,1190.0,2690.0,0.0,946176.0,1405.0,1945.0
84.925,6.030,7.538,0.0,0.0,1.508,0.0,0.0,7908.0,10168.0,0.0,0.0,1347.0,2311.0
74.0,3.500,20.0,1.500,0.0,1.0,4096.0,0.0,2474.0,5044.0,0.0,0.0,1318.0,1585.0
73.737,7.071,18.687,0.0,0.0,0.505,0.0,0.0,974.0,2332.0,0.0,0.0,1915.0,1560.0
49.0,7.500,31.0,11.0,0.0,1.500,57344.0,966656.0,0.0,0.0,57344.0,0.0,1582.0,2170.0
74.0,4.0,18.500,2.500,0.0,1.0,40960.0,0.0,2090.0,2210.0,24576.0,0.0,1259.0,2053.0
10.204,1.020,88.776,0.0,0.0,0.0,0.0,0.0,2338.0,2490.0,0.0,0.0,966.0,1359.0
3.015,1.005,95.980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.0,1217.0
2.041,1.020,96.939,0.0,0.0,0.0,0.0,0.0,1578.0,330.0,0.0,0.0,905.0,1214.0
1.515,2.020,96.465,0.0,0.0,0.0,0.0,0.0,526.0,110.0,0.0,0.0,847.0,1203.0
2.020,2.020,93.939,2.020,0.0,0.0,0.0,122880.0,0.0,0.0,0.0,0.0,851.0,1243.0
1.531,0.510,97.449,0.0,0.0,0.510,0.0,0.0,1642.0,330.0,0.0,0.0,816.0,1196.0
2.551,0.510,96.939,0.0,0.0,0.0,0.0,0.0,526.0,110.0,0.0,0.0,793.0,1231.0
1.531,1.020,97.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.0,1210.0
3.061,1.531,95.408,0.0,0.0,0.0,0.0,4096.0,1578.0,330.0,0.0,0.0,834.0,1387.0
2.051,1.538,94.872,1.538,0.0,0.0,0.0,110592.0,802.0,188.0,0.0,0.0,843.0,1319.0
13.065,3.015,83.417,0.0,0.0,0.503,0.0,0.0,2783.0,4383.0,0.0,0.0,1232.0,1932.0
6.667,3.077,90.256,0.0,0.0,0.0,0.0,0.0,6733.0,6367.0,0.0,0.0,1152.0,1727.0
16.751,2.030,81.218,0.0,0.0,0.0,0.0,0.0,6034.0,22698.0,0.0,0.0,1150.0,1931.0
14.359,1.026,84.615,0.0,0.0,0.0,0.0,0.0,17127.0,52158.0,0.0,0.0,1299.0,1866.0
12.500,4.500,82.500,0.0,0.0,0.500,0.0,790528.0,30653.0,84412.0,0.0,790528.0,1227.0,1710.0
5.612,3.061,89.286,2.041,0.0,0.0,0.0,106496.0,7309.0,14787.0,0.0,0.0,1031.0,1571.0
7.653,1.531,90.816,0.0,0.0,0.0,0.0,0.0,4760.0,44232.0,0.0,0.0,1211.0,1772.0
4.545,1.010,93.939,0.0,0.0,0.505,0.0,0.0,13774.0,121010.0,0.0,0.0,960.0,1491.0
10.553,2.010,78.894,8.543,0.0,0.0,0.0,0.0,526.0,110.0,0.0,0.0,938.0,1506.0
1.546,0.515,97.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.0,1408.0
14.646,1.010,84.343,0.0,0.0,0.0,4096.0,0.0,1578.0,330.0,4096.0,0.0,836.0,1277.0
68.182,5.556,1.515,24.242,0.0,0.505,487424.0,1351680.0,9426.0,91910.0,503808.0,1257472.0,1412.0,2406.0
70.707,6.566,9.091,12.626,0.0,1.010,1011712.0,0.0,5250.0,145758.0,991232.0,0.0,2024.0,2302.0
93.467,3.518,0.503,1.005,0.0,1.508,8192.0,0.0,40334.0,3104426.0,8192.0,0.0,1893.0,1905.0
42.929,0.505,56.061,0.0,0.0,0.505,4096.0,0.0,2742.0,1546.0,4096.0,0.0,969.0,1548.0
1.538,1.538,96.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952.0,1375.0
2.551,2.041,95.408,0.0,0.0,0.0,4096.0,0.0,1578.0,330.0,4096.0,0.0,974.0,1416.0
1.031,1.031,96.392,1.546,0.0,0.0,0.0,94208.0,526.0,110.0,0.0,0.0,871.0,1375.0
7.576,1.010,91.414,0.0,0.0,0.0,0.0,73728.0,3055.0,358.0,0.0,0.0,952.0,1452.0
3.077,1.026,95.897,0.0,0.0,0.0,0.0,0.0,1706.0,330.0,0.0,0.0,915.0,1435.0
4.082,0.510,95.408,0.0,0.0,0.0,0.0,0.0,5009.0,812.0,0.0,0.0,946.0,1421.0
4.523,2.010,91.457,1.508,0.0,0.503,4096.0,0.0,0.0,0.0,4096.0,0.0,1021.0,1503.0
7.143,1.020,91.837,0.0,0.0,0.0,0.0,0.0,11871.0,8560.0,0.0,0.0,1117.0,1638.0
1.531,2.551,92.857,3.061,0.0,0.0,0.0,839680.0,4661.0,608.0,0.0,0.0,1136.0,1460.0
2.538,2.030,95.431,0.0,0.0,0.0,0.0,0.0,280.0,140.0,0.0,0.0,1005.0,1388.0
60.0,7.0,32.0,0.0,0.0,1.0,4096.0,1101824.0,115878.0,1707476.0,4096.0,1101824.0,2352.0,2905.0
23.469,1.020,75.0,0.510,0.0,0.0,16384.0,0.0,53432.0,1683756.0,16384.0,0.0,1270.0,1575.0
1.546,1.031,97.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.0,1376.0
2.551,2.041,93.878,1.531,0.0,0.0,0.0,122880.0,4633.0,688.0,0.0,0.0,918.0,1412.0
2.030,2.538,95.431,0.0,0.0,0.0,0.0,0.0,526.0,110.0,0.0,0.0,1004.0,1440.0
3.518,1.508,94.975,0.0,0.0,0.0,0.0,0.0,3055.0,428.0,0.0,0.0,1001.0,1350.0
2.564,1.026,96.410,0.0,0.0,0.0,0.0,0.0,1578.0,330.0,0.0,0.0,970.0,1389.0
8.163,1.020,90.306,0.0,0.0,0.510,0.0,0.0,4948.0,1884.0,0.0,0.0,1136.0,1654.0
21.717,4.040,68.182,5.556,0.0,0.505,94208.0,94208.0,75290.0,1701508.0,94208.0,0.0,1966.0,2435.0
34.518,1.523,45.178,17.766,0.0,1.015,536576.0,0.0,63740.0,1277494.0,536576.0,0.0,1523.0,2044.0
2.525,1.515,95.960,0.0,0.0,0.0,0.0,0.0,3634.0,418072.0,0.0,0.0,886.0,1350.0
3.571,2.551,93.878,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,899.0,1370.0
2.041,1.531,96.429,0.0,0.0,0.0,0.0,0.0,1578.0,470.0,0.0,0.0,987.0,1377.0
4.545,1.010,94.444,0.0,0.0,0.0,0.0,0.0,3581.0,538.0,0.0,0.0,958.0,1430.0
2.564,1.026,94.359,2.051,0.0,0.0,0.0,94208.0,128.0,0.0,0.0,0.0,906.0,1376.0
17.347,3.061,78.571,0.0,0.0,1.020,0.0,0.0,22797.0,235091.0,0.0,0.0,1535.0,2076.0
20.603,2.513,75.879,0.0,0.0,1.005,0.0,0.0,88139.0,2106914.0,0.0,0.0,1751.0,2173.0
27.919,1.523,70.558,0.0,0.0,0.0,0.0,0.0,21478.0,633796.0,0.0,0.0,1368.0,1770.0
2.551,0.510,96.429,0.0,0.0,0.510,0.0,4096.0,20561.0,424304.0,0.0,0.0,963.0,1381.0
3.061,1.020,95.918,0.0,0.0,0.0,0.0,0.0,526.0,110.0,0.0,0.0,877.0,1324.0
2.513,1.508,93.467,2.010,0.0,0.503,0.0,90112.0,0.0,0.0,0.0,0.0,937.0,1361.0
2.551,1.531,95.918,0.0,0.0,0.0,0.0,0.0,1578.0,330.0,0.0,0.0,897.0,1375.0
3.553,1.523,94.924,0.0,0.0,0.0,0.0,0.0,1346.0,1054.0,0.0,0.0,997.0,1440.0
32.161,2.010,64.824,0.0,0.0,1.005,0.0,65536.0,57287.0,1217883.0,0.0,0.0,1758.0,2393.0
8.854,0.0,90.625,0.0,0.0,0.521,0.0,0.0,53191.0,1329804.0,0.0,0.0,1452.0,1759.0
7.614,1.523,89.848,0.508,0.0,0.508,0.0,102400.0,31191.0,637028.0,0.0,0.0,1205.0,1664.0
4.145,0.518,95.337,0.0,0.0,0.0,0.0,0.0,8753.0,212351.0,0.0,0.0,991.0,1445.0
4.124,1.031,94.845,0.0,0.0,0.0,0.0,0.0,4633.0,688.0,0.0,0.0,963.0,1297.0
2.051,1.026,96.923,0.0,0.0,0.0,0.0,0.0,3581.0,468.0,0.0,0.0,1118.0,1260.0
3.030,2.020,94.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929.0,1368.0
4.103,1.026,93.333,1.538,0.0,0.0,0.0,90112.0,1578.0,330.0,0.0,0.0,946.0,1411.0
18.0,2.0,79.500,0.0,0.0,0.500,0.0,0.0,28393.0,637698.0,0.0,0.0,1394.0,1889.0
11.675,0.508,87.310,0.0,0.0,0.508,0.0,0.0,35091.0,848718.0,0.0,0.0,1099.0,1666.0
10.714,1.531,87.755,0.0,0.0,0.0,0.0,499712.0,30686.0,637544.0,0.0,0.0,1170.0,1679.0
4.082,1.020,94.388,0.0,0.0,0.510,0.0,0.0,9407.0,212461.0,0.0,0.0,1003.0,1437.0
12.690,2.538,83.756,1.015,0.0,0.0,24576.0,0.0,12902.0,213877.0,24576.0,0.0,1322.0,1852.0
