Host:,dell01,,,,User:,daniel,,,,,,,
Cmdline:,dstat --output 4W128B3R.log,,,,Date:,12 Jun 2015 13:11:24 PDT,,,,,,,
,,,,,,,,,,,,,
total cpu usage,,,,,,dsk/total,,net/total,,paging,,system,
usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
5.674,1.403,91.466,1.173,0.004,0.28,474775.365,268932.857,0,0,3830.684,14683.374,798.769,1051.999
47.208,9.645,40.102,3.046,0,0,4096,151552,11925,19652,0,0,1026,1603
64.5,6.5,29,0,0,0,0,0,2108,436,0,0,850,1286
79.293,4.545,16.162,0,0,0,0,0,128,462,0,0,964,1366
61.194,7.96,30.348,0,0,0.498,0,0,416,1275,0,0,1095,1613
76.142,7.614,16.244,0,0,0,0,0,2236,956,0,0,1258,2062
93.532,4.478,1.493,0,0,0.498,0,188416,576,2948,0,0,1176,1864
68.342,7.035,24.623,0,0,0,0,0,536,1858,0,0,1393,2039
91.96,8.04,0,0,0,0,0,0,11104,15272,0,0,1985,1781
78.607,8.458,12.438,0,0,0.498,0,0,320,1604,0,0,2502,1675
62.5,7,29,1,0,0.5,8192,0,320,1530,0,0,1671,2408
5.076,1.015,92.386,1.523,0,0,0,241664,3046,3928,0,0,909,1290
1.531,1.02,96.939,0,0,0.51,0,0,1524,280,0,0,812,1139
2.041,0.51,97.449,0,0,0,0,0,0,0,0,0,814,1084
1.508,1.508,95.98,0,0.503,0.503,0,0,2108,436,0,0,793,1153
2.041,1.02,96.939,0,0,0,0,0,0,0,0,0,860,1160
2.03,1.015,96.954,0,0,0,0,0,64,0,0,0,915,1238
2.01,2.01,93.97,2.01,0,0,0,98304,2172,436,0,0,972,1199
0.515,1.031,97.938,0,0,0.515,0,0,0,0,0,0,998,1170
2.041,1.02,96.939,0,0,0,0,0,0,0,0,0,853,1189
2.577,1.031,96.392,0,0,0,0,0,2108,436,0,0,814,1316
9.137,0.508,89.848,0,0,0.508,0,0,742,1301,0,0,950,1435
4.124,1.031,94.845,0,0,0,0,53248,1383,1446,0,0,977,1412
14.433,2.062,83.505,0,0,0,0,110592,5437,3935,0,0,1235,1956
8.122,3.046,88.832,0,0,0,0,0,14061,17171,0,0,987,1496
12.69,4.061,83.249,0,0,0,0,0,4556,38114,0,0,1014,1675
4.615,1.538,93.846,0,0,0,0,0,9339,18628,0,0,943,1441
5.612,3.061,90.816,0,0,0.51,0,573440,21175,56791,0,0,1113,1476
1.562,1.042,95.833,1.562,0,0,0,151552,7488,49706,0,0,925,1256
5.076,2.03,92.893,0,0,0,0,0,2108,436,0,0,989,1457
1.031,0.515,98.454,0,0,0,0,0,5786,4036,0,0,787,1161
3.061,2.041,94.898,0,0,0,0,0,0,0,0,0,877,1363
1.546,0.515,97.938,0,0,0,0,36864,4683,29664,0,0,903,1283
4.145,0.518,93.264,2.073,0,0,16384,114688,828,642,16384,0,859,1410
9.645,2.03,88.325,0,0,0,0,0,4100,36856,0,0,1048,1423
1.554,0.518,97.927,0,0,0,0,0,8727,27017,0,0,846,1197
0.515,1.031,97.938,0,0,0.515,0,0,0,0,0,0,897,1450
5.128,0.513,94.359,0,0,0,0,36864,280,140,0,0,746,1191
7.179,2.051,90.256,0.513,0,0,0,131072,5163,794,0,0,815,1278
4.082,0.51,95.408,0,0,0,0,0,3055,358,0,0,740,1247
1.531,1.02,97.449,0,0,0,0,0,0,0,0,0,859,1199
3.046,1.015,95.939,0,0,0,0,0,2108,436,0,0,881,1287
2.551,1.531,95.918,0,0,0,0,339968,1428,280,0,0,943,1369
2.083,0.521,97.396,0,0,0,0,0,140,70,0,0,976,1318
2.051,1.538,94.872,1.538,0,0,0,126976,2108,436,0,0,949,1374
2.591,0.518,96.891,0,0,0,0,0,3900,786,0,0,870,1292
1.538,1.026,97.436,0,0,0,0,0,0,0,0,0,901,1293
2.073,1.036,96.891,0,0,0,0,0,2108,436,0,0,930,1333
1.531,1.531,96.939,0,0,0,0,0,3183,358,0,0,924,1285
3.061,1.02,94.388,1.531,0,0,0,98304,3055,358,0,0,964,1305
1.554,0.518,97.927,0,0,0,0,0,2108,436,0,0,802,1301
1.546,1.031,97.423,0,0,0,0,0,0,64,0,0,797,1291
1.036,1.036,97.927,0,0,0,0,45056,0,0,0,0,919,1289
2.051,1.026,96.923,0,0,0,0,0,2108,436,0,0,906,1297
2.041,1.02,95.408,1.531,0,0,0,110592,0,0,0,0,916,1338
2.051,1.026,96.923,0,0,0,0,0,3620,646,0,0,891,1309
2.041,1.02,96.939,0,0,0,0,0,2108,436,0,0,859,1327
2.551,2.041,94.898,0,0,0.51,0,0,1428,280,0,0,889,1297
2.525,2.02,94.949,0,0,0.505,0,0,3055,358,0,0,1082,1328
2.591,0.518,95.337,1.554,0,0,0,98304,5163,794,0,0,908,1276
1.538,1.026,97.436,0,0,0,0,0,0,0,0,0,839,1275
3.061,0.51,96.429,0,0,0,0,0,0,0,0,0,876,1340
1.042,0,98.958,0,0,0,0,466944,2108,436,0,0,894,1232
2.051,0.513,97.436,0,0,0,0,0,0,0,0,0,825,1306
2.564,1.538,94.359,1.538,0,0,0,126976,0,0,0,0,1017,1460
2.041,1.531,95.918,0,0,0.51,0,0,5658,794,0,0,884,1342
2.051,0.513,97.436,0,0,0,0,0,70,288,0,0,839,1286
3.59,1.026,95.385,0,0,0,0,8192,0,0,0,0,886,1399
2.564,1.026,96.41,0,0,0,0,0,5291,794,0,0,902,1343
1.546,1.031,97.423,0,0,0,0,0,3055,358,0,0,898,1288
2.073,0,96.373,1.554,0,0,0,114688,0,0,0,0,926,1347
2.564,1.026,96.41,0,0,0,0,0,2108,436,0,0,927,1327
2.051,1.026,96.41,0,0,0.513,0,4096,1428,280,0,0,917,1366
11.34,1.546,87.113,0,0,0,0,0,0,0,0,0,895,1379
10.204,1.02,88.776,0,0,0,0,0,2108,436,0,0,776,1311
2.551,1.02,94.388,2.041,0,0,0,106496,565,288,0,0,878,1364
1.538,1.026,97.436,0,0,0,0,0,3055,422,0,0,838,1298
4.639,0.515,94.33,0,0,0.515,0,143360,2108,436,0,0,1002,1336
2.073,0.518,97.409,0,0,0,0,0,3055,358,0,0,862,1310
3.061,0.51,95.918,0,0,0.51,0,0,3055,358,0,0,905,1259
3.046,0.508,96.447,0,0,0,0,0,2108,436,0,0,772,1261
1.554,0.518,96.373,1.554,0,0,0,98304,0,0,0,0,899,1307
1.036,1.036,97.927,0,0,0,0,49152,0,0,0,0,893,1319
3.046,0.508,96.447,0,0,0,0,0,2108,436,0,0,854,1299
3.03,1.515,95.455,0,0,0,0,0,0,0,0,0,941,1365
2.551,0.51,96.429,0,0.51,0,0,0,565,288,0,0,947,1358
1.538,1.026,97.436,0,0,0,0,0,5163,794,0,0,993,1313
2.551,1.02,94.898,1.531,0,0,0,110592,1428,280,0,0,923,1339
