"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dell01",,,,"User:","daniel"
"Cmdline:","dstat -cdlsm --output 4W32B1R.log",,,,"Date:","14 Jun 2015 03:28:32 PDT"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"swap",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","free","used","buff","cach","free"
2.452,0.828,95.163,1.432,0.003,0.123,199172.239,122719.353,0.110,0.360,0.370,162484224.0,1972412416.0,736149504.0,27312128.0,1101910016.0,241942528.0,
24.607,4.712,8.377,62.304,0.0,0.0,6389760.0,0.0,0.110,0.360,0.370,156631040.0,1978265600.0,747614208.0,27312128.0,1108021248.0,224366592.0,
51.741,5.473,15.920,26.866,0.0,0.0,3547136.0,0.0,0.110,0.360,0.370,153554944.0,1981341696.0,765865984.0,27312128.0,1111334912.0,202801152.0,
76.884,5.025,16.080,2.010,0.0,0.0,8192.0,0.0,0.180,0.370,0.380,153554944.0,1981341696.0,785756160.0,27316224.0,1111339008.0,182902784.0,
59.799,7.035,32.161,0.503,0.0,0.503,32768.0,98304.0,0.180,0.370,0.380,153554944.0,1981341696.0,829427712.0,27320320.0,1111371776.0,139194368.0,
65.152,13.131,18.182,3.030,0.0,0.505,229376.0,0.0,0.180,0.370,0.380,153554944.0,1981341696.0,863895552.0,27324416.0,1059893248.0,156200960.0,
82.915,5.025,4.020,8.040,0.0,0.0,360448.0,0.0,0.180,0.370,0.380,153554944.0,1981341696.0,874782720.0,27324416.0,1060597760.0,144609280.0,
80.100,5.473,12.438,1.493,0.0,0.498,307200.0,0.0,0.180,0.370,0.380,153554944.0,1981341696.0,878424064.0,27324416.0,1060937728.0,140627968.0,
67.005,4.061,25.381,3.553,0.0,0.0,376832.0,0.0,0.250,0.380,0.380,153554944.0,1981341696.0,882876416.0,27332608.0,1061285888.0,135819264.0,
45.771,6.965,34.328,12.935,0.0,0.0,696320.0,0.0,0.250,0.380,0.380,153546752.0,1981349888.0,885690368.0,27336704.0,1062068224.0,132218880.0,
50.0,5.446,28.713,15.347,0.0,0.495,651264.0,167936.0,0.250,0.380,0.380,153546752.0,1981349888.0,889679872.0,27369472.0,1062834176.0,127430656.0,
40.609,6.599,39.086,13.706,0.0,0.0,860160.0,0.0,0.250,0.380,0.380,153546752.0,1981349888.0,916086784.0,27377664.0,1025564672.0,138285056.0,
23.116,3.015,70.854,3.015,0.0,0.0,217088.0,0.0,0.250,0.380,0.380,153546752.0,1981349888.0,916013056.0,27377664.0,1021685760.0,142237696.0,
5.641,0.513,93.846,0.0,0.0,0.0,0.0,0.0,0.230,0.370,0.380,153546752.0,1981349888.0,916340736.0,27377664.0,1021685760.0,141910016.0,
2.538,1.015,96.447,0.0,0.0,0.0,0.0,61440.0,0.230,0.370,0.380,153546752.0,1981349888.0,916340736.0,27377664.0,1021685760.0,141910016.0,
2.020,0.505,95.455,2.020,0.0,0.0,0.0,204800.0,0.230,0.370,0.380,153546752.0,1981349888.0,916717568.0,27385856.0,1021681664.0,141529088.0,
4.103,0.513,95.385,0.0,0.0,0.0,0.0,0.0,0.230,0.370,0.380,153546752.0,1981349888.0,916729856.0,27385856.0,1021685760.0,141512704.0,
2.500,1.0,96.0,0.0,0.0,0.500,0.0,0.0,0.230,0.370,0.380,153546752.0,1981349888.0,916762624.0,27385856.0,1021685760.0,141479936.0,
3.980,1.493,94.527,0.0,0.0,0.0,0.0,0.0,0.290,0.380,0.380,153546752.0,1981349888.0,916762624.0,27385856.0,1021685760.0,141479936.0,
3.015,1.508,95.477,0.0,0.0,0.0,0.0,0.0,0.290,0.380,0.380,153546752.0,1981349888.0,916881408.0,27385856.0,1021685760.0,141361152.0,
3.518,1.005,95.477,0.0,0.0,0.0,0.0,0.0,0.290,0.380,0.380,153546752.0,1981349888.0,916848640.0,27385856.0,1021685760.0,141393920.0,
2.538,0.508,95.939,1.015,0.0,0.0,0.0,61440.0,0.290,0.380,0.380,153546752.0,1981349888.0,916959232.0,27394048.0,1021685760.0,141275136.0,
5.025,1.005,93.970,0.0,0.0,0.0,0.0,0.0,0.290,0.380,0.380,153546752.0,1981349888.0,917213184.0,27394048.0,1021685760.0,141021184.0,
14.356,1.485,81.188,2.970,0.0,0.0,20480.0,0.0,0.270,0.380,0.380,153546752.0,1981349888.0,917479424.0,27394048.0,1021706240.0,140734464.0,
11.340,2.062,86.082,0.515,0.0,0.0,12288.0,0.0,0.270,0.380,0.380,153546752.0,1981349888.0,917647360.0,27394048.0,1021665280.0,140607488.0,
17.822,2.475,79.208,0.495,0.0,0.0,20480.0,0.0,0.270,0.380,0.380,153546752.0,1981349888.0,918384640.0,27394048.0,1021693952.0,139841536.0,
9.548,2.010,84.925,3.015,0.0,0.503,4096.0,61440.0,0.270,0.380,0.380,153546752.0,1981349888.0,918532096.0,27398144.0,1021702144.0,139681792.0,
6.186,1.546,91.753,0.515,0.0,0.0,12288.0,0.0,0.270,0.380,0.380,153546752.0,1981349888.0,918773760.0,27398144.0,1021718528.0,139423744.0,
20.812,7.614,69.543,2.030,0.0,0.0,176128.0,0.0,0.330,0.390,0.380,153546752.0,1981349888.0,952532992.0,27398144.0,983592960.0,143790080.0,
4.523,2.513,92.965,0.0,0.0,0.0,0.0,401408.0,0.330,0.390,0.380,153546752.0,1981349888.0,952696832.0,27398144.0,983724032.0,143495168.0,
8.205,1.026,90.769,0.0,0.0,0.0,0.0,0.0,0.330,0.390,0.380,153546752.0,1981349888.0,952631296.0,27398144.0,983724032.0,143560704.0,
3.518,0.503,93.970,2.010,0.0,0.0,0.0,73728.0,0.330,0.390,0.380,153546752.0,1981349888.0,952782848.0,27406336.0,983724032.0,143400960.0,
3.500,2.500,94.0,0.0,0.0,0.0,0.0,0.0,0.330,0.390,0.380,153546752.0,1981349888.0,952782848.0,27406336.0,983724032.0,143400960.0,
2.030,1.523,96.447,0.0,0.0,0.0,0.0,0.0,0.300,0.380,0.380,153546752.0,1981349888.0,953036800.0,27406336.0,983724032.0,143147008.0,
8.673,1.531,89.796,0.0,0.0,0.0,0.0,53248.0,0.300,0.380,0.380,153546752.0,1981349888.0,953298944.0,27406336.0,983724032.0,142884864.0,
10.769,0.513,88.718,0.0,0.0,0.0,0.0,0.0,0.300,0.380,0.380,153546752.0,1981349888.0,953397248.0,27406336.0,983724032.0,142786560.0,
5.051,1.515,93.434,0.0,0.0,0.0,0.0,65536.0,0.300,0.380,0.380,153546752.0,1981349888.0,953516032.0,27414528.0,983724032.0,142659584.0,
4.0,0.500,95.0,0.0,0.0,0.500,0.0,0.0,0.300,0.380,0.380,153546752.0,1981349888.0,953516032.0,27414528.0,983724032.0,142659584.0,
12.245,1.020,85.714,1.020,0.0,0.0,20480.0,0.0,0.280,0.380,0.380,153546752.0,1981349888.0,953589760.0,27414528.0,983744512.0,142565376.0,
1.031,0.515,97.938,0.515,0.0,0.0,4096.0,241664.0,0.280,0.380,0.380,153546752.0,1981349888.0,953577472.0,27418624.0,983752704.0,142565376.0,
5.528,1.508,92.965,0.0,0.0,0.0,0.0,0.0,0.280,0.380,0.380,153546752.0,1981349888.0,953729024.0,27418624.0,983752704.0,142413824.0,
2.513,1.508,93.970,2.010,0.0,0.0,0.0,77824.0,0.280,0.380,0.380,153546752.0,1981349888.0,953761792.0,27426816.0,983744512.0,142381056.0,
3.061,1.020,95.918,0.0,0.0,0.0,0.0,0.0,0.280,0.380,0.380,153546752.0,1981349888.0,953696256.0,27426816.0,983752704.0,142438400.0,
3.046,0.508,96.447,0.0,0.0,0.0,0.0,0.0,0.330,0.390,0.380,153546752.0,1981349888.0,953696256.0,27426816.0,983752704.0,142438400.0,
4.545,1.515,93.939,0.0,0.0,0.0,0.0,184320.0,0.330,0.390,0.380,153546752.0,1981349888.0,953839616.0,27426816.0,983752704.0,142295040.0,
2.538,2.030,95.431,0.0,0.0,0.0,0.0,0.0,0.330,0.390,0.380,153546752.0,1981349888.0,953782272.0,27426816.0,983752704.0,142352384.0,
4.082,0.510,95.408,0.0,0.0,0.0,0.0,0.0,0.330,0.390,0.380,153546752.0,1981349888.0,953749504.0,27426816.0,983752704.0,142385152.0,
3.590,0.513,94.359,1.538,0.0,0.0,0.0,69632.0,0.330,0.390,0.380,153546752.0,1981349888.0,953774080.0,27435008.0,983752704.0,142352384.0,
3.571,1.020,95.408,0.0,0.0,0.0,0.0,0.0,0.310,0.380,0.380,153546752.0,1981349888.0,953901056.0,27435008.0,983752704.0,142225408.0,
3.030,1.010,95.960,0.0,0.0,0.0,0.0,4096.0,0.310,0.380,0.380,153546752.0,1981349888.0,953958400.0,27435008.0,983752704.0,142168064.0,
4.592,0.510,94.898,0.0,0.0,0.0,0.0,0.0,0.310,0.380,0.380,153546752.0,1981349888.0,953901056.0,27435008.0,983752704.0,142225408.0,
4.061,1.523,94.416,0.0,0.0,0.0,0.0,0.0,0.310,0.380,0.380,153546752.0,1981349888.0,953774080.0,27435008.0,983752704.0,142352384.0,
3.030,1.515,94.444,1.010,0.0,0.0,0.0,49152.0,0.310,0.380,0.380,153546752.0,1981349888.0,953765888.0,27443200.0,983752704.0,142352384.0,
