Dstat 0.7.2 CSV output,,,,,,,,,,,,,,,
Author:,Dag Wieers <dag@wieers.com>,,,,URL:,http://dag.wieers.com/home-made/dstat/,,,,,,,,,
Host:,pi00,,,,User:,daniel,,,,,,,,,
Cmdline:,dstat -cdlsm --output 4W32B1R.log,,,,Date:,14 Jun 2015 03:28:28 PDT,,,,,,,,,
,,,,,,,,,,,,,,,
total cpu usage,,,,,,dsk/total,,load avg,,,swap,,memory usage,,
usr,sys,idl,wai,hiq,siq,read,writ,1m,5m,15m,used,free,used,cached,free
9.055,1.798,85.773,2.587,0,0.787,502592.228,2327762.584,0.22,0.36,0.62,0,104853504,197459968,45907968,723152896
0.748,0.249,99.002,0,0,0,0,0,0.22,0.36,0.62,0,104853504,197365760,45961216,723193856
0.748,0,99.252,0,0,0,0,0,0.22,0.36,0.62,0,104853504,197365760,45961216,723193856
1.485,0,98.267,0.248,0,0,0,73728,0.22,0.36,0.62,0,104853504,197263360,45989888,723259392
0.752,0,99.248,0,0,0,0,0,0.2,0.36,0.62,0,104853504,197255168,45998080,723259392
1.733,0,98.267,0,0,0,0,0,0.2,0.36,0.62,0,104853504,197255168,45998080,723259392
0.5,0.25,99.25,0,0,0,0,0,0.2,0.36,0.62,0,104853504,197255168,45998080,723259392
0.995,0.498,98.507,0,0,0,0,0,0.2,0.36,0.62,0,104853504,197255168,45998080,723259392
0.25,0.5,99.25,0,0,0,0,0,0.2,0.36,0.62,0,104853504,197255168,45998080,723259392
2.463,0.246,97.291,0,0,0,0,24576,0.19,0.35,0.61,0,104853504,197255168,45989888,723259392
6.633,1.786,83.929,7.398,0,0.255,7405568,65536,0.19,0.35,0.61,0,104853504,200757248,49053696,715960320
25.879,2.513,68.09,3.266,0,0.251,4448256,0,0.19,0.35,0.61,0,104853504,207740928,51212288,706809856
25.377,0.251,74.372,0,0,0,0,0,0.19,0.35,0.61,0,104853504,207806464,51154944,706801664
24.19,2.494,72.569,0.748,0,0,811008,0,0.19,0.35,0.61,0,104853504,202231808,51552256,711974912
25.686,2.244,68.828,3.242,0,0,3293184,0,0.33,0.38,0.62,0,104853504,209883136,53334016,702533632
16.497,1.523,68.02,13.959,0,0,2785280,581632,0.33,0.38,0.62,0,104853504,215244800,54689792,695803904
24.685,1.763,71.033,2.519,0,0,2277376,0,0.33,0.38,0.62,0,104853504,222146560,55754752,687837184
22.195,2.244,71.82,3.741,0,0,3604480,0,0.33,0.38,0.62,0,104853504,228761600,57552896,679424000
25.558,1.737,71.216,1.489,0,0,2555904,0,0.33,0.38,0.62,0,104853504,235704320,58863616,671170560
28.395,1.975,66.667,2.963,0,0,2637824,0,0.39,0.39,0.62,0,104853504,241618944,60186624,663932928
28.822,2.005,64.912,4.01,0,0.251,3670016,65536,0.39,0.39,0.62,0,104853504,248197120,61882368,655646720
23.515,2.228,70.792,3.218,0,0.248,3334144,0,0.39,0.39,0.62,0,104853504,254128128,63815680,647782400
32.763,3.667,61.614,1.956,0,0,2367488,0,0.39,0.39,0.62,0,104853504,260952064,64856064,639918080
26.263,2.02,69.949,1.768,0,0,2072576,0,0.39,0.39,0.62,0,104853504,270237696,65880064,629608448
27.342,3.544,65.063,4.051,0,0,3784704,0,0.52,0.42,0.63,0,104853504,279212032,67764224,618749952
28.718,2.308,67.692,1.026,0,0.256,1966080,32768,0.52,0.42,0.63,0,104853504,298655744,68628480,598433792
33.673,2.296,63.01,1.02,0,0,1654784,0,0.52,0.42,0.63,0,104853504,301400064,69574656,594743296
34.085,2.506,60.15,3.008,0,0.251,3039232,0,0.52,0.42,0.63,0,104853504,303837184,71106560,590766080
28.5,2.25,67.5,1.75,0,0,2646016,0,0.52,0.42,0.63,0,104853504,307888128,72507392,585314304
21.34,4.715,71.216,2.73,0,0,3506176,0,0.55,0.43,0.63,0,104853504,309129216,74211328,582369280
34.328,3.234,58.955,3.483,0,0,3768320,57344,0.55,0.43,0.63,0,104853504,317140992,76013568,572379136
18.454,3.99,68.828,8.728,0,0,2859008,147456,0.55,0.43,0.63,0,104853504,349777920,77242368,538353664
24.812,2.005,70.677,2.506,0,0,3506176,0,0.55,0.43,0.63,0,104853504,355053568,79069184,531243008
34.586,5.263,58.647,1.504,0,0,1597440,0,0.55,0.43,0.63,0,104853504,383275008,79785984,502300672
31.407,3.769,63.065,1.759,0,0,2539520,0,0.59,0.44,0.63,0,104853504,384012288,81080320,500269056
30.749,2.842,63.307,3.101,0,0,4997120,0,0.59,0.44,0.63,0,104853504,385687552,83595264,496078848
24.439,1.995,72.319,1.247,0,0,2883584,122880,0.59,0.44,0.63,0,104853504,387579904,84996096,492777472
27.068,4.01,67.92,1.003,0,0,1900544,0,0.59,0.44,0.63,0,104853504,389255168,85987328,490110976
29.847,3.316,57.908,8.673,0,0.255,6053888,0,0.59,0.44,0.63,0,104853504,391139328,89698304,484347904
50.378,3.275,10.327,35.516,0,0.504,23101440,0,0.94,0.51,0.66,0,104853504,392523776,101097472,471564288
82.544,6.234,0.499,10.474,0,0.249,29622272,0,0.94,0.51,0.66,0,104853504,424665088,115064832,425455616
93.216,2.513,4.271,0,0,0,4718592,0,0.94,0.51,0.66,0,104853504,429412352,117383168,418390016
95.75,2,1.75,0,0,0.5,6291456,32768,0.94,0.51,0.66,0,104853504,429617152,120479744,415080448
92.25,3,4.5,0,0,0.25,4456448,0,0.94,0.51,0.66,0,104853504,432934912,122757120,409485312
91.96,4.271,3.769,0,0,0,7077888,0,1.19,0.57,0.68,0,104853504,435740672,126308352,403128320
95.214,1.763,3.023,0,0,0,4980736,73728,1.19,0.57,0.68,0,104853504,436822016,129069056,399286272
94,2,3.5,0,0,0.5,7077888,0,1.19,0.57,0.68,0,104853504,438964224,132358144,393854976
91.25,1.75,6.75,0,0,0.25,4980736,0,1.19,0.57,0.68,0,104853504,442175488,134987776,388014080
92.965,3.769,2.764,0.251,0,0.251,4980736,32768,1.19,0.57,0.68,0,104853504,443785216,137306112,384077824
93.284,2.239,4.478,0,0,0,4980736,0,1.49,0.64,0.7,0,104853504,445247488,139948032,379973632
95,1,4,0,0,0,5242880,65536,1.49,0.64,0.7,0,104853504,446566400,142458880,376143872
90.201,2.764,6.784,0,0,0.251,5505024,0,1.49,0.64,0.7,0,104853504,449597440,145211392,370360320
92.768,3.741,3.491,0,0,0,4579328,0,1.49,0.64,0.7,0,104853504,451006464,147591168,366571520
94.015,2.494,3.242,0,0,0.249,6070272,0,1.49,0.64,0.7,0,104853504,452505600,150577152,362086400
92.768,2.743,4.239,0,0,0.249,6553600,57344,1.85,0.73,0.73,0,104853504,455073792,153792512,356294656
90.428,2.267,6.801,0,0,0.504,4194304,180224,1.85,0.73,0.73,0,104853504,458141696,156192768,350826496
93.532,2.736,3.731,0,0,0,5767168,0,1.85,0.73,0.73,0,104853504,459751424,158814208,346595328
94.207,2.267,3.023,0.252,0,0.252,4980736,0,1.85,0.73,0.73,0,104853504,461533184,161222656,342405120
94,1.75,4.25,0,0,0,4980736,0,1.85,0.73,0.73,0,104853504,463298560,163794944,338067456
90.704,2.513,6.784,0,0,0,4980736,0,2.03,0.79,0.75,0,104853504,466182144,166506496,332472320
94.75,1,4,0,0,0.25,6029312,24576,2.03,0.79,0.75,0,104853504,467841024,169410560,327901184
92.75,3.25,4,0,0,0,4980736,0,2.03,0.79,0.75,0,104853504,469389312,171925504,323837952
91.771,2.244,5.486,0,0,0.499,6029312,0,2.03,0.79,0.75,0,104853504,470593536,174829568,319729664
94,1.25,4.75,0,0,0,4718592,0,2.03,0.79,0.75,0,104853504,473501696,177238016,314413056
93.216,2.513,4.02,0,0,0.251,5505024,0,2.18,0.84,0.76,0,104853504,475668480,179789824,309694464
93.035,3.731,3.234,0,0,0,4997120,106496,2.18,0.84,0.76,0,104853504,477110272,182276096,305758208
90.571,2.481,6.7,0.248,0,0,5767168,57344,2.18,0.84,0.76,0,104853504,480206848,185139200,299790336
94.763,2.244,2.993,0,0,0,5505024,0,2.18,0.84,0.76,0,104853504,481751040,187912192,295473152
94.987,1.003,3.759,0.251,0,0,4718592,0,2.18,0.84,0.76,0,104853504,482865152,190382080,291889152
93.216,2.513,4.02,0,0,0.251,5767168,0,2.33,0.89,0.78,0,104853504,484413440,193134592,287588352
90.176,3.023,6.801,0,0,0,4980736,131072,2.33,0.89,0.78,0,104853504,487464960,195928064,281743360
94.737,1.504,3.759,0,0,0,5242880,0,2.33,0.89,0.78,0,104853504,488759296,198569984,277807104
92.714,3.266,3.518,0,0,0.503,6553600,57344,2.33,0.89,0.78,0,104853504,490110976,201805824,273211392
92.5,3.5,3.75,0,0,0.25,4718592,0,2.33,0.89,0.78,0,104853504,492490752,204165120,268472320
91.206,1.759,7.035,0,0,0,4718592,0,2.46,0.94,0.8,0,104853504,495800320,206393344,262934528
95.511,1.496,2.993,0,0,0,6029312,0,2.46,0.94,0.8,0,104853504,497373184,209469440,258285568
94.486,2.005,3.509,0,0,0,4718592,0,2.46,0.94,0.8,0,104853504,498614272,212008960,254504960
93.734,2.256,3.759,0,0,0.251,6029312,0,2.46,0.94,0.8,0,104853504,500363264,214822912,249942016
92.191,1.008,6.297,0.504,0,0,4980736,24576,2.46,0.94,0.8,0,104853504,502943744,217415680,244760576
94.25,2,3.75,0,0,0,4980736,0,2.59,0.99,0.81,0,104853504,504147968,219893760,241078272
93,3.25,3.75,0,0,0,4194304,0,2.59,0.99,0.81,0,104853504,505851904,221908992,237359104
92.191,2.015,5.793,0,0,0,786432,0,2.59,0.99,0.81,0,104853504,507097088,222441472,235581440
92.5,2.25,5.25,0,0,0,0,0,2.59,0.99,0.81,0,104853504,509968384,222441472,232710144
92.732,1.754,5.514,0,0,0,0,0,2.59,0.99,0.81,0,104853504,511492096,222441472,231186432
93.734,2.005,4.261,0,0,0,0,24576,2.78,1.06,0.84,0,104853504,512880640,222433280,229797888
91,2.25,6.75,0,0,0,0,0,2.78,1.06,0.84,0,104853504,515919872,222441472,226750464
95.489,1.253,3.258,0,0,0,0,0,2.78,1.06,0.84,0,104853504,517156864,222441472,225513472
94.5,1.5,4,0,0,0,0,0,2.78,1.06,0.84,0,104853504,518598656,222441472,224071680
90.773,1.995,7.232,0,0,0,0,0,2.78,1.06,0.84,0,104853504,521613312,222441472,221057024
94.5,2.25,3.25,0,0,0,0,0,2.88,1.11,0.85,0,104853504,523137024,222441472,219533312
94.724,2.01,3.015,0,0,0.251,32768,24576,2.88,1.11,0.85,0,104853504,524599296,222437376,218062848
52.041,4.847,37.5,5.102,0,0.51,4702208,0,2.88,1.11,0.85,0,104853504,527474688,224841728,212783104
19.154,1.99,73.383,5.473,0,0,4087808,0,2.88,1.11,0.85,0,104853504,528871424,226766848,209461248
22.055,2.256,70.426,5.263,0,0,4038656,0,2.88,1.11,0.85,0,104853504,530370560,228823040,205905920
74.937,2.278,21.519,1.266,0,0,1114112,0,2.73,1.11,0.85,0,104853504,530784256,229281792,205017088
56.328,5.707,24.566,12.655,0,0.744,6979584,3293184,2.73,1.11,0.85,0,104853504,530898944,236969984,197185536
79.798,6.566,4.545,8.333,0,0.758,36896768,0,2.73,1.11,0.85,0,104853504,571355136,255500288,138199040
92.714,4.271,2.764,0,0,0.251,14680064,0,2.73,1.11,0.85,0,104853504,580304896,261537792,123211776
94.763,2.494,2.743,0,0,0,6815744,0,2.73,1.11,0.85,0,104853504,580145152,265019392,119889920
94.236,1.003,4.762,0,0,0,6291456,0,2.91,1.17,0.88,0,104853504,579891200,268214272,116948992
94.71,2.519,2.771,0,0,0,4472832,3112960,2.91,1.17,0.88,0,104853504,580001792,270364672,114671616
94.25,1.75,3.75,0,0,0.25,7077888,0,2.91,1.17,0.88,0,104853504,581509120,273969152,109559808
90.452,2.513,6.784,0,0,0.251,5242880,0,2.91,1.17,0.88,0,104853504,584687616,276578304,103772160
93.766,1.995,4.239,0,0,0,4718592,0,2.91,1.17,0.88,0,104853504,586141696,278958080,99938304
93.017,3.242,3.741,0,0,0,5505024,0,3,1.22,0.89,0,104853504,587579392,281751552,95707136
95.226,1.256,3.266,0.251,0,0,4718592,0,3,1.22,0.89,0,104853504,589119488,284028928,91889664
90.819,1.985,6.948,0,0,0.248,5242880,65536,3,1.22,0.89,0,104853504,592072704,286691328,86265856
93.719,2.513,3.769,0,0,0,5767168,0,3,1.22,0.89,0,104853504,593461248,289595392,81973248
91.067,1.737,6.948,0,0,0.248,6152192,0,3,1.22,0.89,0,104853504,595296256,292651008,77082624
93.25,2.75,3.75,0,0,0.25,5545984,0,3.16,1.28,0.92,0,104853504,599793664,295526400,69709824
92.714,1.508,5.779,0,0,0,5242880,0,3.16,1.28,0.92,0,104853504,599674880,298065920,67289088
94.71,2.267,3.023,0,0,0,4980736,0,3.16,1.28,0.92,0,104853504,600936448,300494848,63598592
93.781,1.741,4.478,0,0,0,5505024,24576,3.16,1.28,0.92,0,104853504,602669056,303116288,59236352
93.781,2.488,3.731,0,0,0,5242880,0,3.16,1.28,0.92,0,104853504,604045312,305930240,55046144
89.698,3.015,7.035,0,0,0.251,5242880,0,3.22,1.33,0.93,0,104853504,607121408,308379648,49520640
93.484,2.256,3.759,0,0,0.501,5505024,0,3.22,1.33,0.93,0,104853504,608759808,311193600,45068288
94.25,1.5,3.75,0,0,0.5,5242880,0,3.22,1.33,0.93,0,104853504,610402304,313774080,40845312
90.226,1.754,7.268,0.251,0,0.501,4718592,0,3.22,1.33,0.93,0,104853504,613117952,316375040,35528704
92.75,3.25,3.75,0.25,0,0,5767168,24576,3.22,1.33,0.93,0,104853504,614830080,319168512,31014912
93.199,2.267,3.526,0.252,0,0.756,5242880,0,3.29,1.37,0.95,0,104853504,616542208,321638400,26832896
