"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dell01",,,,"User:","daniel"
"Cmdline:","dstat --output 4W32B3R-2.log",,,,"Date:","13 Jun 2015 15:39:57 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
3.018,0.810,93.813,2.213,0.003,0.142,238682.738,192363.612,0.0,0.0,11559.401,19593.194,549.107,705.688
52.284,7.614,40.102,0.0,0.0,0.0,0.0,32768.0,4232.0,5922.0,0.0,0.0,975.0,1460.0
65.500,5.500,29.0,0.0,0.0,0.0,0.0,0.0,1350.0,516.0,0.0,0.0,843.0,1181.0
76.263,5.556,15.657,2.020,0.0,0.505,0.0,86016.0,675.0,258.0,0.0,0.0,1030.0,1311.0
65.829,6.030,28.141,0.0,0.0,0.0,0.0,0.0,687.0,195.0,0.0,0.0,852.0,1345.0
76.884,8.040,15.075,0.0,0.0,0.0,0.0,274432.0,1054.0,220.0,0.0,0.0,1100.0,1597.0
89.0,5.500,4.500,0.0,0.0,1.0,0.0,0.0,527.0,194.0,0.0,0.0,1214.0,2034.0
65.0,6.500,27.500,0.0,0.0,1.0,0.0,0.0,1878.0,320.0,0.0,0.0,1066.0,1709.0
92.965,6.030,0.0,0.0,0.0,1.005,0.0,151552.0,8851.0,8733.0,0.0,0.0,1151.0,1528.0
75.253,8.586,15.657,0.0,0.0,0.505,0.0,0.0,591.0,174.0,0.0,0.0,2950.0,1400.0
63.500,8.0,28.0,0.0,0.0,0.500,0.0,0.0,527.0,174.0,0.0,0.0,1282.0,2016.0
6.091,1.015,92.893,0.0,0.0,0.0,0.0,0.0,1054.0,220.0,0.0,0.0,856.0,1240.0
1.020,1.020,97.959,0.0,0.0,0.0,0.0,0.0,527.0,110.0,0.0,0.0,784.0,1149.0
2.525,1.010,96.465,0.0,0.0,0.0,0.0,0.0,527.0,110.0,0.0,0.0,799.0,1153.0
2.030,0.508,95.431,1.523,0.0,0.508,0.0,155648.0,1054.0,220.0,0.0,0.0,822.0,1185.0
