"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","pi00",,,,"User:","daniel"
"Cmdline:","dstat --output 4W32B4R-2.log",,,,"Date:","13 Jun 2015 16:09:53 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
19.957,2.132,75.461,1.886,0.001,0.563,1050443.209,1569587.154,0.0,0.0,0.0,3.659,1332.569,689.478
1.232,0.739,98.030,0.0,0.0,0.0,0.0,0.0,92.0,543.0,0.0,0.0,504.0,461.0
0.744,0.744,98.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.0,425.0
0.744,0.993,98.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,429.0
0.499,0.499,99.002,0.0,0.0,0.0,0.0,0.0,92.0,543.0,0.0,0.0,508.0,482.0
0.743,0.743,98.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,421.0
2.267,1.259,95.466,1.008,0.0,0.0,958464.0,65536.0,2057.0,1945.0,0.0,0.0,755.0,724.0
13.889,2.778,71.970,10.606,0.0,0.758,13983744.0,65536.0,92.0,543.0,0.0,0.0,2585.0,2217.0
19.059,1.733,68.812,10.396,0.0,0.0,17530880.0,0.0,0.0,0.0,0.0,0.0,906.0,875.0
26.098,0.976,72.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0,534.0
24.010,3.465,71.535,0.990,0.0,0.0,811008.0,0.0,92.0,543.0,0.0,0.0,846.0,824.0
25.990,2.723,68.812,2.475,0.0,0.0,3235840.0,0.0,52.0,365.0,0.0,0.0,1374.0,1300.0
24.0,1.750,71.750,2.500,0.0,0.0,3080192.0,221184.0,0.0,0.0,0.0,0.0,1372.0,1120.0
22.333,3.226,70.968,3.474,0.0,0.0,3661824.0,0.0,92.0,543.0,0.0,0.0,1330.0,1199.0
21.772,2.785,71.392,3.797,0.0,0.253,4857856.0,0.0,0.0,0.0,0.0,0.0,1407.0,1285.0
27.737,2.676,68.856,0.730,0.0,0.0,1220608.0,0.0,0.0,0.0,0.0,0.0,830.0,694.0
22.278,4.051,69.367,3.797,0.0,0.506,3923968.0,0.0,92.0,543.0,0.0,0.0,1598.0,1486.0
24.198,3.951,67.901,3.951,0.0,0.0,3383296.0,0.0,142.0,93.0,0.0,0.0,1510.0,1414.0
26.633,2.764,68.844,1.759,0.0,0.0,2088960.0,32768.0,0.0,0.0,0.0,0.0,1257.0,1035.0
31.127,2.941,63.971,1.961,0.0,0.0,2506752.0,0.0,184.0,543.0,0.0,0.0,1367.0,1204.0
24.623,5.528,68.090,1.759,0.0,0.0,1990656.0,0.0,0.0,0.0,0.0,0.0,1588.0,1682.0
24.615,3.590,68.718,3.077,0.0,0.0,3588096.0,0.0,0.0,0.0,0.0,0.0,2015.0,1909.0
29.455,4.950,64.604,0.990,0.0,0.0,1605632.0,0.0,92.0,543.0,0.0,0.0,1234.0,1305.0
37.405,3.817,57.506,1.272,0.0,0.0,1695744.0,32768.0,1388.0,1032.0,0.0,0.0,1424.0,1750.0
29.925,2.244,65.337,2.244,0.0,0.249,3022848.0,0.0,1141.0,1229.0,0.0,0.0,1798.0,2356.0
27.518,3.686,67.076,1.720,0.0,0.0,2654208.0,0.0,9608.0,2824.0,0.0,0.0,1336.0,1478.0
24.745,3.827,69.133,2.296,0.0,0.0,2531328.0,0.0,805.0,5214.0,0.0,0.0,1689.0,2079.0
28.571,4.261,63.409,3.509,0.0,0.251,4104192.0,57344.0,27027.0,5610.0,0.0,0.0,2035.0,2416.0
20.050,4.010,73.935,2.005,0.0,0.0,1843200.0,180224.0,4471.0,2341.0,0.0,0.0,1262.0,1435.0
27.226,4.071,67.176,1.527,0.0,0.0,2949120.0,0.0,0.0,0.0,0.0,0.0,1756.0,2360.0
37.374,3.030,58.333,1.263,0.0,0.0,1212416.0,0.0,40411.0,42919.0,0.0,0.0,1537.0,1879.0
38.308,2.736,56.716,1.990,0.0,0.249,2916352.0,0.0,92.0,543.0,0.0,0.0,1615.0,1866.0
22.693,5.486,68.579,3.242,0.0,0.0,5906432.0,16384.0,0.0,0.0,0.0,0.0,1859.0,2135.0
25.250,2.0,72.0,0.750,0.0,0.0,1441792.0,0.0,0.0,0.0,0.0,0.0,1057.0,1100.0
25.907,2.073,70.207,1.554,0.0,0.259,2293760.0,98304.0,136596.0,6454.0,0.0,0.0,1613.0,2125.0
31.234,3.412,40.420,24.934,0.0,0.0,13484032.0,0.0,436.0,1032.0,0.0,0.0,2324.0,2787.0
52.926,7.379,12.723,25.954,0.0,1.018,31776768.0,0.0,0.0,0.0,0.0,0.0,2849.0,2486.0
92.677,3.030,2.778,1.263,0.0,0.253,7372800.0,360448.0,144.0,699.0,0.0,0.0,1845.0,1841.0
90.250,2.500,6.750,0.0,0.0,0.500,4177920.0,0.0,0.0,0.0,0.0,0.0,1301.0,1153.0
91.960,2.764,4.523,0.0,0.0,0.754,5660672.0,0.0,0.0,0.0,0.0,0.0,1376.0,1245.0
92.481,4.762,2.757,0.0,0.0,0.0,6152192.0,40960.0,184.0,543.0,0.0,0.0,1441.0,1248.0
93.532,2.488,3.980,0.0,0.0,0.0,5668864.0,0.0,374.0,3444.0,0.0,0.0,1457.0,1340.0
90.299,2.736,6.965,0.0,0.0,0.0,4923392.0,81920.0,0.0,0.0,0.0,0.0,1348.0,1176.0
92.732,3.759,3.509,0.0,0.0,0.0,5898240.0,0.0,92.0,543.0,0.0,0.0,1318.0,1216.0
92.289,3.234,4.229,0.0,0.0,0.249,4423680.0,0.0,0.0,0.0,0.0,0.0,1238.0,1109.0
94.221,2.764,3.015,0.0,0.0,0.0,4915200.0,0.0,52.0,156.0,0.0,0.0,1270.0,1157.0
89.223,2.506,7.769,0.0,0.0,0.501,4685824.0,49152.0,92.0,543.0,0.0,0.0,1280.0,1173.0
94.724,2.513,2.513,0.0,0.0,0.251,5406720.0,0.0,0.0,0.0,0.0,0.0,1302.0,1140.0
91.750,2.250,5.250,0.0,0.0,0.750,5406720.0,0.0,0.0,0.0,0.0,0.0,1280.0,1107.0
93.766,1.746,4.489,0.0,0.0,0.0,4423680.0,0.0,92.0,543.0,0.0,0.0,1267.0,1123.0
89.447,3.769,6.533,0.0,0.0,0.251,4440064.0,0.0,0.0,0.0,0.0,0.0,1253.0,1142.0
93.985,2.757,3.258,0.0,0.0,0.0,5914624.0,0.0,322.0,3079.0,0.0,0.0,1334.0,1224.0
91.688,2.771,5.290,0.0,0.0,0.252,4186112.0,24576.0,92.0,543.0,0.0,0.0,1256.0,1171.0
90.074,2.481,7.196,0.0,0.0,0.248,5177344.0,0.0,0.0,0.0,0.0,0.0,1288.0,1133.0
91.750,4.0,4.250,0.0,0.0,0.0,4669440.0,0.0,0.0,0.0,0.0,0.0,1284.0,1137.0
91.250,3.750,5.0,0.0,0.0,0.0,4947968.0,0.0,92.0,543.0,0.0,0.0,1293.0,1191.0
92.750,2.750,4.0,0.0,0.0,0.500,5373952.0,0.0,52.0,365.0,0.0,0.0,1317.0,1182.0
90.226,2.757,6.767,0.0,0.0,0.251,4423680.0,57344.0,0.0,0.0,0.0,0.0,1303.0,1135.0
92.556,3.226,3.970,0.0,0.0,0.248,5406720.0,49152.0,92.0,543.0,0.0,0.0,1361.0,1153.0
94.0,2.500,3.500,0.0,0.0,0.0,5332992.0,0.0,76.0,102.0,0.0,0.0,1345.0,1156.0
88.750,3.250,8.0,0.0,0.0,0.0,4988928.0,0.0,92.0,0.0,0.0,0.0,1317.0,1137.0
94.250,2.0,3.750,0.0,0.0,0.0,5160960.0,0.0,414.0,3622.0,0.0,0.0,1372.0,1183.0
93.719,1.759,3.769,0.251,0.0,0.503,5914624.0,49152.0,0.0,0.0,0.0,0.0,1368.0,1158.0
94.236,2.506,3.258,0.0,0.0,0.0,4669440.0,0.0,0.0,0.0,0.0,0.0,1304.0,1129.0
89.801,3.234,6.716,0.0,0.0,0.249,4915200.0,49152.0,138.0,593.0,0.0,0.0,1318.0,1171.0
94.500,2.0,3.500,0.0,0.0,0.0,5423104.0,0.0,0.0,0.0,0.0,0.0,1311.0,1155.0
95.262,1.746,2.993,0.0,0.0,0.0,5406720.0,0.0,0.0,0.0,0.0,0.0,1302.0,1155.0
88.060,1.493,10.199,0.0,0.0,0.249,3694592.0,73728.0,92.0,543.0,0.0,0.0,1211.0,1094.0
91.750,3.250,4.750,0.0,0.0,0.250,5185536.0,0.0,0.0,0.0,0.0,0.0,1267.0,1099.0
94.763,1.995,3.242,0.0,0.0,0.0,5709824.0,0.0,0.0,0.0,0.0,0.0,1336.0,1170.0
93.500,3.0,3.500,0.0,0.0,0.0,4915200.0,57344.0,92.0,543.0,0.0,0.0,1382.0,1210.0
90.274,2.494,7.232,0.0,0.0,0.0,4915200.0,0.0,374.0,3444.0,0.0,0.0,1378.0,1192.0
94.514,1.496,3.990,0.0,0.0,0.0,4669440.0,90112.0,0.0,0.0,0.0,0.0,1409.0,1203.0
93.0,2.250,4.750,0.0,0.0,0.0,4669440.0,0.0,92.0,543.0,0.0,0.0,1329.0,1170.0
89.724,2.506,7.268,0.251,0.0,0.251,5677056.0,0.0,0.0,0.0,0.0,0.0,1372.0,1193.0
91.771,4.489,3.741,0.0,0.0,0.0,6356992.0,0.0,0.0,0.0,0.0,0.0,1405.0,1176.0
93.516,3.242,3.242,0.0,0.0,0.0,4538368.0,32768.0,92.0,543.0,0.0,0.0,1327.0,1150.0
