"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","pi03",,,,"User:","daniel"
"Cmdline:","dstat -cdlsm --output 4W32B4R.log",,,,"Date:","14 Jun 2015 02:40:04 PDT"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"swap",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","free","used","buff","cach","free"
1.926,0.149,97.484,0.395,0.000,0.045,97672.974,135512.220,0.080,0.030,0.050,16384.0,104837120.0,103518208.0,16158720.0,174735360.0,677699584.0,
0.0,0.250,99.500,0.250,0.0,0.0,0.0,0.0,0.080,0.030,0.050,16384.0,104837120.0,103456768.0,16158720.0,174796800.0,677699584.0,
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.080,0.030,0.050,16384.0,104837120.0,103456768.0,16158720.0,174796800.0,677699584.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.080,0.030,0.050,16384.0,104837120.0,103464960.0,16158720.0,174796800.0,677691392.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.080,0.030,0.050,16384.0,104837120.0,103464960.0,16158720.0,174796800.0,677691392.0,
0.251,0.0,99.749,0.0,0.0,0.0,0.0,65536.0,0.080,0.030,0.050,16384.0,104837120.0,103415808.0,16166912.0,174837760.0,677691392.0,
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.080,0.030,0.050,16384.0,104837120.0,103464960.0,16166912.0,174788608.0,677691392.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.080,0.030,0.050,16384.0,104837120.0,103464960.0,16166912.0,174788608.0,677691392.0,
0.250,0.250,99.500,0.0,0.0,0.0,0.0,0.0,0.080,0.030,0.050,16384.0,104837120.0,103464960.0,16166912.0,174788608.0,677691392.0,
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.080,0.030,0.050,16384.0,104837120.0,103464960.0,16166912.0,174788608.0,677691392.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.070,0.030,0.050,16384.0,104837120.0,103464960.0,16166912.0,174788608.0,677691392.0,
0.251,0.0,99.497,0.251,0.0,0.0,0.0,24576.0,0.070,0.030,0.050,16384.0,104837120.0,103464960.0,16175104.0,174780416.0,677691392.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.070,0.030,0.050,16384.0,104837120.0,103464960.0,16175104.0,174780416.0,677691392.0,
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.070,0.030,0.050,16384.0,104837120.0,103464960.0,16175104.0,174780416.0,677691392.0,
0.500,0.0,99.500,0.0,0.0,0.0,0.0,0.0,0.070,0.030,0.050,16384.0,104837120.0,103464960.0,16175104.0,174780416.0,677691392.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.060,0.030,0.050,16384.0,104837120.0,103464960.0,16175104.0,174780416.0,677691392.0,
0.251,0.0,99.749,0.0,0.0,0.0,0.0,32768.0,0.060,0.030,0.050,16384.0,104837120.0,103464960.0,16175104.0,174780416.0,677691392.0,
0.499,0.0,99.002,0.499,0.0,0.0,0.0,32768.0,0.060,0.030,0.050,16384.0,104837120.0,103464960.0,16183296.0,174772224.0,677691392.0,
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.060,0.030,0.050,16384.0,104837120.0,103464960.0,16183296.0,174772224.0,677691392.0,
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.060,0.030,0.050,16384.0,104837120.0,103464960.0,16183296.0,174772224.0,677691392.0,
0.249,0.498,99.254,0.0,0.0,0.0,0.0,0.0,0.060,0.030,0.050,16384.0,104837120.0,103464960.0,16183296.0,174772224.0,677691392.0,
0.250,0.250,99.500,0.0,0.0,0.0,0.0,0.0,0.060,0.030,0.050,16384.0,104837120.0,103464960.0,16183296.0,174772224.0,677691392.0,
0.499,0.249,99.252,0.0,0.0,0.0,0.0,32768.0,0.060,0.030,0.050,16384.0,104837120.0,103464960.0,16191488.0,174764032.0,677691392.0,
0.500,0.0,99.500,0.0,0.0,0.0,0.0,0.0,0.060,0.030,0.050,16384.0,104837120.0,103456768.0,16191488.0,174772224.0,677691392.0,
0.0,0.251,99.749,0.0,0.0,0.0,0.0,0.0,0.060,0.030,0.050,16384.0,104837120.0,103456768.0,16191488.0,174772224.0,677691392.0,
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.050,0.030,0.050,16384.0,104837120.0,103456768.0,16191488.0,174772224.0,677691392.0,
0.750,0.0,99.250,0.0,0.0,0.0,0.0,49152.0,0.050,0.030,0.050,16384.0,104837120.0,103456768.0,16191488.0,174772224.0,677691392.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.050,0.030,0.050,16384.0,104837120.0,103456768.0,16191488.0,174772224.0,677691392.0,
0.251,0.0,99.499,0.251,0.0,0.0,0.0,24576.0,0.050,0.030,0.050,16384.0,104837120.0,103448576.0,16199680.0,174772224.0,677691392.0,
0.499,0.0,99.501,0.0,0.0,0.0,0.0,0.0,0.050,0.030,0.050,16384.0,104837120.0,103448576.0,16199680.0,174772224.0,677691392.0,
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.050,0.030,0.050,16384.0,104837120.0,103444480.0,16199680.0,174776320.0,677691392.0,
0.251,0.0,99.749,0.0,0.0,0.0,0.0,24576.0,0.050,0.030,0.050,16384.0,104837120.0,103444480.0,16199680.0,174776320.0,677691392.0,
0.746,0.0,99.254,0.0,0.0,0.0,0.0,0.0,0.050,0.030,0.050,16384.0,104837120.0,103477248.0,16199680.0,174776320.0,677658624.0,
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.050,0.030,0.050,16384.0,104837120.0,103444480.0,16199680.0,174776320.0,677691392.0,
0.250,0.0,99.500,0.250,0.0,0.0,0.0,40960.0,0.050,0.030,0.050,16384.0,104837120.0,103563264.0,16207872.0,174776320.0,677564416.0,
0.500,0.0,99.500,0.0,0.0,0.0,0.0,0.0,0.050,0.030,0.050,16384.0,104837120.0,103563264.0,16207872.0,174776320.0,677564416.0,
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.050,0.030,0.050,16384.0,104837120.0,103563264.0,16207872.0,174776320.0,677564416.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.050,0.030,0.050,16384.0,104837120.0,103563264.0,16207872.0,174776320.0,677564416.0,
0.500,0.0,99.500,0.0,0.0,0.0,0.0,0.0,0.050,0.030,0.050,16384.0,104837120.0,103596032.0,16207872.0,174776320.0,677531648.0,
