"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","pi01",,,,"User:","daniel"
"Cmdline:","dstat --output 4W64B2R.log",,,,"Date:","12 Jun 2015 13:50:32 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
4.196,0.215,95.229,0.286,0.000,0.074,159797.733,203224.962,0.0,0.0,0.0,0.923,486.043,258.848
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,91.0,542.0,0.0,0.0,496.0,455.0
0.0,1.504,98.496,0.0,0.0,0.0,0.0,12623872.0,0.0,0.0,0.0,0.0,565.0,488.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,18874368.0,52.0,366.0,0.0,0.0,570.0,508.0
0.251,0.752,98.997,0.0,0.0,0.0,0.0,19922944.0,91.0,542.0,0.0,0.0,602.0,528.0
0.0,0.754,99.246,0.0,0.0,0.0,0.0,19922944.0,46.0,50.0,0.0,0.0,594.0,496.0
0.267,0.267,71.658,27.807,0.0,0.0,0.0,27213824.0,2096.0,698.0,0.0,0.0,1112.0,949.0
0.0,2.174,47.826,50.0,0.0,0.0,0.0,1073152.0,0.0,0.0,0.0,0.0,70.0,54.0
9.250,4.500,62.750,23.250,0.0,0.250,3702784.0,8486912.0,52.0,1790.0,0.0,0.0,1525.0,1357.0
14.975,0.761,72.335,11.929,0.0,0.0,20594688.0,0.0,0.0,0.0,0.0,0.0,1117.0,1124.0
28.212,0.504,71.033,0.0,0.0,0.252,0.0,0.0,183.0,542.0,0.0,0.0,661.0,555.0
23.750,2.500,72.750,1.0,0.0,0.0,917504.0,172032.0,0.0,0.0,0.0,0.0,812.0,790.0
23.618,2.764,71.106,2.261,0.0,0.251,1851392.0,0.0,0.0,0.0,0.0,0.0,1240.0,1179.0
23.393,1.285,72.751,2.314,0.0,0.257,4030464.0,0.0,91.0,542.0,0.0,0.0,1382.0,1206.0
23.604,1.523,71.827,2.792,0.0,0.254,2932736.0,0.0,0.0,0.0,0.0,0.0,1436.0,1203.0
23.618,2.010,72.111,2.010,0.0,0.251,2203648.0,0.0,0.0,0.0,0.0,0.0,1171.0,1012.0
26.263,1.010,70.960,1.515,0.0,0.253,2260992.0,106496.0,91.0,542.0,0.0,0.0,964.0,854.0
26.463,2.036,68.957,2.545,0.0,0.0,2228224.0,0.0,0.0,0.0,0.0,0.0,1325.0,1165.0
25.0,3.316,68.367,3.316,0.0,0.0,3670016.0,0.0,194.0,459.0,0.0,0.0,1477.0,1516.0
26.448,2.519,69.270,1.763,0.0,0.0,2138112.0,0.0,91.0,542.0,0.0,0.0,1135.0,1084.0
28.392,3.015,66.583,1.759,0.0,0.251,2588672.0,0.0,0.0,0.0,0.0,0.0,1141.0,1130.0
26.463,2.799,68.702,1.781,0.0,0.254,1998848.0,32768.0,0.0,0.0,0.0,0.0,1541.0,1634.0
25.628,4.020,67.337,3.015,0.0,0.0,3063808.0,0.0,91.0,542.0,0.0,0.0,1979.0,1951.0
28.499,5.089,65.903,0.509,0.0,0.0,1351680.0,0.0,0.0,0.0,0.0,0.0,1215.0,1393.0
40.204,2.036,56.489,1.272,0.0,0.0,1556480.0,0.0,1388.0,1032.0,0.0,0.0,1613.0,2048.0
25.515,3.351,68.041,3.093,0.0,0.0,3522560.0,0.0,1232.0,1771.0,0.0,0.0,2034.0,2271.0
27.387,2.010,67.839,2.764,0.0,0.0,3121152.0,81920.0,9455.0,2206.0,0.0,0.0,1576.0,1711.0
30.513,1.026,66.667,1.538,0.0,0.256,2375680.0,0.0,907.0,8557.0,0.0,0.0,1610.0,1850.0
25.320,3.836,67.519,2.813,0.0,0.512,3383296.0,57344.0,27457.0,2989.0,0.0,0.0,1957.0,2449.0
20.0,6.076,72.658,1.266,0.0,0.0,1261568.0,0.0,3930.0,1250.0,0.0,0.0,1183.0,1342.0
30.303,3.535,64.646,1.515,0.0,0.0,2129920.0,0.0,92.0,0.0,0.0,0.0,1924.0,2601.0
