"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","pi00",,,,"User:","daniel"
"Cmdline:","dstat --output build_once.log",,,,"Date:","13 Jun 2015 02:28:36 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
8.749,0.324,90.422,0.408,0.000,0.097,426505.931,260290.807,0.0,0.0,0.0,3.678,536.118,301.866
0.498,0.746,98.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,387.0
0.990,0.743,98.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,386.0
0.990,0.743,98.267,0.0,0.0,0.0,0.0,32768.0,276.0,0.0,0.0,0.0,502.0,411.0


"Host:","pi00",,,,"User:","daniel"
"Cmdline:","dstat --output build_once.log",,,,"Date:","13 Jun 2015 02:35:45 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
8.742,0.332,90.390,0.434,0.000,0.101,425716.777,280999.931,0.0,0.0,0.0,3.667,538.842,304.181
1.229,0.983,97.789,0.0,0.0,0.0,0.0,0.0,92.0,543.0,0.0,0.0,513.0,463.0
1.485,0.495,98.020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0,446.0
1.238,0.495,98.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,433.0
1.716,0.735,97.304,0.0,0.0,0.245,0.0,0.0,92.0,543.0,0.0,0.0,535.0,454.0
1.238,0.743,98.020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0,434.0
0.744,0.993,98.263,0.0,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,530.0,444.0
2.184,1.456,96.359,0.0,0.0,0.0,0.0,0.0,92.0,543.0,0.0,0.0,534.0,456.0
1.232,0.985,97.783,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,529.0,436.0
1.980,0.248,97.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0,438.0
