t,value
1434188410,418119680
1434188412,421527552
1434188414,421527552
1434188416,421527552
1434188418,421527552
1434188420,421527552
1434188422,421789696
1434188424,422051840
1434188426,422313984
1434188428,422838272
1434188430,422838272
1434188432,422838272
1434188434,422838272
1434188436,422838272
1434188438,422838272
1434188440,423100416
1434188442,423100416
1434188444,423100416
1434188446,423100416
1434188448,423100416
1434188450,423100416
1434188452,423100416
1434188454,423100416
1434188456,423100416
1434188458,423100416
1434188460,423100416
1434188462,423100416
1434188464,423100416
1434188466,423100416
1434188468,423100416
1434188470,423100416
1434188472,423100416
1434188474,423100416
1434188476,423100416
1434188478,423100416
1434188480,423100416
1434188482,423100416
1434188484,423100416
1434188486,423100416
1434188488,423100416
1434188490,423100416
1434188492,423362560
1434188494,423362560
1434188496,423362560
1434188498,423362560
1434188500,423362560
1434188502,423362560
1434188504,423362560
1434188506,423362560
1434188508,423362560
1434188510,423362560
1434188512,423362560
1434188514,423362560
1434188516,423362560
1434188518,423362560
1434188520,423362560
1434188522,423362560
1434188524,423362560
1434188526,423362560
1434188528,423362560
1434188530,423362560
1434188532,423362560
1434188534,423362560
1434188536,423362560
1434188538,423362560
1434188540,423362560
1434188542,423362560
1434188544,423362560
1434188546,423362560
1434188548,423362560
1434188550,423362560
1434188552,423362560
1434188554,423362560
1434188556,423362560
1434188558,423362560
1434188560,423362560
1434188562,423362560
1434188564,423362560
1434188566,423362560
1434188568,423362560
1434188570,423362560
1434188572,423362560
1434188574,423362560
1434188576,423362560
1434188578,423362560
1434188580,423362560
1434188582,423362560
1434188584,423362560
1434188586,423362560
1434188588,423362560
1434188590,423362560
1434188592,423362560
1434188594,423362560
1434188596,423362560
1434188598,423362560
1434188600,423362560
1434188602,423362560
1434188604,423362560
1434188606,423362560
1434188608,423362560
1434188610,423362560
1434188612,423362560
1434188614,423362560
1434188616,423362560
1434188618,423362560
1434188620,423362560
1434188622,423362560
1434188624,423362560
1434188626,423362560
1434188628,423362560
1434188630,423362560
1434188632,423362560
1434188634,423362560
1434188636,423362560
1434188638,423362560
1434188640,423362560
1434188642,423362560
1434188644,423362560
1434188646,423362560
1434188648,423362560
1434188650,423362560
1434188652,423362560
1434188654,423362560
1434188656,423362560
1434188658,423362560
1434188660,423362560
1434188662,423362560
1434188664,423362560
1434188666,423362560
1434188668,423362560
1434188670,423362560
1434188672,423362560
1434188674,423362560
1434188676,423362560
1434188678,423362560
1434188680,423362560
1434188682,423362560
1434188684,423362560
1434188686,423362560
1434188688,423362560
1434188690,423362560
1434188692,423362560
1434188694,423362560
1434188696,423362560
1434188698,423362560
1434188700,423362560
1434188702,423362560
1434188704,423362560
1434188706,423362560
1434188708,423362560
1434188710,423362560
1434188712,423362560
1434188714,423362560
1434188716,423362560
1434188718,423362560
1434188720,423362560
1434188722,423362560
1434188724,423362560
1434188726,423362560
1434188728,423362560
1434188730,423362560
1434188732,423362560
1434188734,423362560
1434188736,423362560
1434188738,423362560
1434188740,423362560
1434188742,423362560
1434188744,423362560
1434188746,423362560
1434188748,423362560
1434188750,423362560
1434188752,423362560
1434188754,423362560
1434188756,423362560
1434188758,423362560
1434188760,423362560
1434188762,423362560
1434188764,423362560
1434188766,423362560
1434188768,423362560
1434188770,423362560
1434188772,423362560
1434188774,423362560
1434188776,423362560
1434188778,423362560
1434188780,423362560
1434188782,423362560
1434188784,423362560
1434188786,423362560
1434188788,423362560
1434188790,423362560
1434188792,423362560
1434188794,423362560
1434188796,423362560
1434188798,423362560
1434188800,423362560
1434188802,423362560
1434188804,423362560
1434188806,423362560
1434188808,423362560
1434188810,423362560
1434188812,423362560
1434188814,423362560
1434188816,423362560
1434188818,423362560
1434188820,423362560
1434188822,423362560
1434188824,423362560
1434188826,423362560
1434188828,423362560
1434188830,423362560
1434188832,423362560
1434188834,423362560
1434188836,423362560
1434188838,423362560
1434188840,423362560
1434188842,423362560
1434188844,423362560
1434188846,423362560
1434188848,423362560
1434188850,423362560
1434188852,423362560
1434188854,423362560
1434188856,423362560
1434188858,423362560
1434188860,423362560
1434188862,423362560
1434188864,423362560
1434188866,423362560
1434188868,423362560
1434188870,423362560
1434188872,423362560
1434188874,423362560
1434188876,423362560
1434188878,423362560
1434188880,423362560
1434188882,423362560
1434188884,423362560
1434188886,423362560
1434188888,423362560
1434188890,423362560
1434188892,423362560
1434188894,423362560
1434188896,423362560
1434188898,423362560
1434188900,423362560
1434188902,423362560
1434188904,423362560
1434188906,423362560
1434188908,423362560
1434188910,423362560
1434188912,423362560
1434188914,423362560
1434188916,423362560
1434188918,423362560
1434188920,423362560
1434188922,423362560
1434188924,423362560
1434188926,423362560
1434188928,423362560
1434188930,423362560
1434188932,423362560
1434188934,423362560
1434188936,423362560
1434188938,423362560
1434188940,423362560
1434188942,423362560
1434188944,423362560
1434188946,423362560
1434188948,423362560
1434188950,423362560
1434188952,423362560
1434188954,423362560
1434188956,423362560
1434188958,423362560
1434188960,423362560
1434188962,423362560
1434188964,423362560
1434188966,423362560
1434188968,423362560
1434188970,423362560
1434188972,423362560
1434188974,423362560
1434188976,423362560
1434188978,423362560
1434188980,423362560
1434188982,423362560
1434188984,423362560
1434188986,423362560
1434188988,423362560
1434188990,423362560
1434188992,423362560
1434188994,423362560
1434188996,423362560
1434188998,423362560
1434189000,423362560
1434189002,423362560
1434189004,423362560
1434189006,423362560
1434189008,423362560
1434189010,423362560
1434189012,423362560
1434189014,423362560
1434189016,423362560
1434189018,423362560
1434189020,423362560
1434189022,423362560
1434189024,423362560
1434189026,423362560
1434189028,423362560
1434189030,423362560
1434189032,423362560
1434189034,423362560
1434189036,423362560
1434189038,423362560
1434189040,423362560
1434189042,423362560
1434189044,423362560
1434189046,423362560
1434189048,423362560
1434189050,423362560
1434189052,423362560
1434189054,423362560
1434189056,423362560
1434189058,423362560
1434189060,423362560
1434189062,423362560
1434189064,423362560
1434189066,423362560
1434189068,423362560
1434189070,423362560
1434189072,423362560
1434189074,423362560
1434189076,423362560
1434189078,423362560
1434189080,423624704
1434189082,423624704
1434189084,423624704
1434189086,423624704
1434189088,423624704
1434189090,423624704
1434189092,423624704
1434189094,417595392
1434189096,416546816
1434189098,416284672
1434189100,412352512
1434189102,413663232
1434189104,387448832
1434189106,415236096
1434189108,414973952
1434189110,418643968
1434189112,420741120
