t,value
1434189319,198
1434189321,198
1434189323,198
1434189325,198
1434189327,198
1434189329,198
1434189331,198
1434189333,198
1434189335,198
1434189337,399
1434189339,399
1434189341,399
1434189343,399
1434189345,399
1434189347,399
1434189349,399
1434189351,399
1434189353,399
1434189355,399
1434189357,399
1434189359,399
1434189361,399
1434189363,399
1434189365,399
1434189367,399
1434189369,399
1434189371,399
1434189373,399
1434189375,399
1434189377,399
1434189379,399
1434189381,399
1434189383,399
1434189385,399
1434189387,399
1434189389,399
1434189391,399
1434189393,399
1434189395,399
1434189397,399
1434189399,399
1434189401,399
1434189403,399
1434189405,399
1434189407,399
1434189409,399
1434189411,399
1434189413,399
1434189415,399
1434189417,399
1434189419,399
1434189421,399
1434189423,399
1434189425,399
1434189427,399
1434189429,399
1434189431,399
1434189433,399
1434189435,399
1434189437,399
1434189439,399
1434189441,399
1434189443,399
1434189445,399
1434189447,399
1434189449,399
1434189451,399
1434189453,399
1434189455,399
1434189457,399
1434189459,399
1434189461,399
1434189463,399
1434189465,399
1434189467,399
1434189469,399
1434189471,399
1434189473,399
1434189475,399
1434189477,399
1434189479,399
1434189481,399
1434189483,399
1434189485,399
1434189487,399
1434189489,399
1434189491,399
1434189493,399
1434189495,399
1434189497,399
1434189499,399
1434189501,399
1434189503,399
1434189505,399
1434189507,399
1434189509,399
1434189511,399
1434189513,399
1434189515,399
1434189517,399
1434189519,399
1434189521,399
1434189523,399
1434189525,399
1434189527,399
1434189529,399
1434189531,399
1434189533,399
1434189535,399
1434189537,399
1434189539,399
1434189541,399
1434189543,399
1434189545,399
1434189547,399
1434189549,399
1434189551,399
1434189553,399
1434189555,399
1434189557,399
1434189559,399
1434189561,399
1434189563,399
1434189565,399
1434189567,399
1434189569,399
1434189571,399
1434189573,399
1434189575,399
1434189577,399
1434189579,399
1434189581,399
1434189583,399
1434189585,399
1434189587,399
1434189589,399
1434189591,399
1434189593,399
1434189595,399
1434189597,399
1434189599,399
1434189601,399
1434189603,399
1434189605,399
1434189607,399
1434189609,399
1434189611,399
1434189613,399
1434189615,399
1434189617,399
1434189619,399
1434189621,399
1434189623,399
1434189625,399
1434189627,399
1434189629,399
1434189631,399
1434189633,399
1434189635,399
1434189637,399
1434189639,399
1434189641,399
1434189643,399
1434189645,399
1434189647,399
1434189649,399
1434189651,399
1434189653,399
1434189655,399
1434189657,399
1434189659,399
1434189661,399
1434189663,399
1434189665,399
1434189667,399
1434189669,399
1434189671,399
1434189673,399
1434189675,399
1434189677,399
1434189679,399
1434189681,399
1434189683,399
1434189685,399
1434189687,399
1434189689,399
1434189691,399
1434189693,399
1434189695,399
1434189697,399
1434189699,399
1434189701,399
1434189703,399
1434189705,399
1434189707,399
1434189709,399
1434189711,399
1434189713,399
1434189715,399
1434189717,399
1434189719,399
1434189721,399
1434189723,399
1434189725,399
1434189727,399
1434189729,399
1434189731,399
1434189733,399
1434189735,399
1434189737,399
1434189739,399
1434189741,399
1434189743,399
1434189745,399
1434189747,399
1434189749,399
1434189751,399
1434189753,399
1434189755,399
1434189757,399
1434189759,399
1434189761,399
1434189763,399
