t,value
1434189319,-1
1434189321,1434189320084
1434189323,1434189320084
1434189325,1434189325023
1434189327,1434189325023
1434189329,1434189325023
1434189331,1434189330018
1434189333,1434189330018
1434189335,1434189335016
1434189337,1434189335016
1434189339,1434189335016
1434189341,1434189340017
1434189343,1434189340017
1434189345,1434189345019
1434189347,1434189345019
1434189349,1434189345019
1434189351,1434189350019
1434189353,1434189350019
1434189355,1434189355016
1434189357,1434189355016
1434189359,1434189355016
1434189361,1434189360017
1434189363,1434189360017
1434189365,1434189365013
1434189367,1434189365013
1434189369,1434189365013
1434189371,1434189370015
1434189373,1434189370015
1434189375,1434189375016
1434189377,1434189375016
1434189379,1434189375016
1434189381,1434189380022
1434189383,1434189380022
1434189385,1434189385016
1434189387,1434189385016
1434189389,1434189385016
1434189391,1434189385016
1434189393,1434189385016
1434189395,1434189385016
1434189397,1434189385016
1434189399,1434189398219
1434189401,1434189400541
1434189403,1434189400541
1434189405,1434189400541
1434189407,1434189405445
1434189409,1434189405445
1434189411,1434189410552
1434189413,1434189410552
1434189415,1434189415307
1434189417,1434189415307
1434189419,1434189415307
1434189421,1434189420408
1434189423,1434189420408
1434189425,1434189420408
1434189427,1434189425438
1434189429,1434189425438
1434189431,1434189430459
1434189433,1434189430459
1434189435,1434189430459
1434189437,1434189435487
1434189439,1434189435487
1434189441,1434189440354
1434189443,1434189440354
1434189445,1434189440354
1434189447,1434189445394
1434189449,1434189445394
1434189451,1434189450350
1434189453,1434189450350
1434189455,1434189455362
1434189457,1434189455362
1434189459,1434189455362
1434189461,1434189460430
1434189463,1434189460430
1434189465,1434189465347
1434189467,1434189465347
1434189469,1434189465347
1434189471,1434189470340
1434189473,1434189470340
1434189475,1434189470340
1434189477,1434189475365
1434189479,1434189475365
1434189481,1434189480450
1434189483,1434189480450
1434189485,1434189480450
1434189487,1434189485378
1434189489,1434189485378
1434189491,1434189490371
1434189493,1434189490371
1434189495,1434189495337
1434189497,1434189495337
1434189499,1434189495337
1434189501,1434189500403
1434189503,1434189500403
1434189505,1434189500403
1434189507,1434189505369
1434189509,1434189505369
1434189511,1434189510353
1434189513,1434189510353
1434189515,1434189515314
1434189517,1434189515314
1434189519,1434189515314
1434189521,1434189520363
1434189523,1434189520363
1434189525,1434189520363
1434189527,1434189525359
1434189529,1434189525359
1434189531,1434189530374
1434189533,1434189530374
1434189535,1434189535332
1434189537,1434189535332
1434189539,1434189535332
1434189541,1434189540341
1434189543,1434189540341
1434189545,1434189545332
1434189547,1434189545332
1434189549,1434189545332
1434189551,1434189550373
1434189553,1434189550373
1434189555,1434189555318
1434189557,1434189555318
1434189559,1434189555318
1434189561,1434189560388
1434189563,1434189560388
1434189565,1434189565340
1434189567,1434189565340
1434189569,1434189565340
1434189571,1434189570371
1434189573,1434189570371
1434189575,1434189570371
1434189577,1434189575386
1434189579,1434189575386
1434189581,1434189580364
1434189583,1434189580364
1434189585,1434189585315
1434189587,1434189585315
1434189589,1434189585315
1434189591,1434189590318
1434189593,1434189590318
1434189595,1434189595321
1434189597,1434189595321
1434189599,1434189595321
1434189601,1434189600337
1434189603,1434189600337
1434189605,1434189605336
1434189607,1434189605336
1434189609,1434189605336
1434189611,1434189610464
1434189613,1434189610464
1434189615,1434189610464
1434189617,1434189615455
1434189619,1434189615455
1434189621,1434189620381
1434189623,1434189620381
1434189625,1434189620381
1434189627,1434189625371
1434189629,1434189625371
1434189631,1434189630391
1434189633,1434189630391
1434189635,1434189630391
1434189637,1434189635391
1434189639,1434189635391
1434189641,1434189640378
1434189643,1434189640378
1434189645,1434189640378
1434189647,1434189645381
1434189649,1434189645381
1434189651,1434189650362
1434189653,1434189650362
1434189655,1434189650362
1434189657,1434189655370
1434189659,1434189655370
1434189661,1434189660371
1434189663,1434189660371
1434189665,1434189665344
1434189667,1434189665344
1434189669,1434189665344
1434189671,1434189670385
1434189673,1434189670385
1434189675,1434189670385
1434189677,1434189675384
1434189679,1434189675384
1434189681,1434189680379
1434189683,1434189680379
1434189685,1434189685344
1434189687,1434189685344
1434189689,1434189685344
1434189691,1434189690359
1434189693,1434189690359
1434189695,1434189695317
1434189697,1434189695317
1434189699,1434189695317
1434189701,1434189700346
1434189703,1434189700346
1434189705,1434189705320
1434189707,1434189705320
1434189709,1434189705320
1434189711,1434189710358
1434189713,1434189710358
1434189715,1434189715351
1434189717,1434189715351
1434189719,1434189715351
1434189721,1434189720473
1434189723,1434189720473
1434189725,1434189720473
1434189727,1434189725405
1434189729,1434189725405
1434189731,1434189730336
1434189733,1434189730336
1434189735,1434189730336
1434189737,1434189735353
1434189739,1434189735353
1434189741,1434189740345
1434189743,1434189740345
1434189745,1434189740345
1434189747,1434189745374
1434189749,1434189745374
1434189751,1434189750383
1434189753,1434189750383
1434189755,1434189750383
1434189757,1434189755397
1434189759,1434189755397
1434189761,1434189760374
1434189763,1434189760374
