t,value
1434189319,-1
1434189321,1434189320041
1434189323,1434189320041
1434189325,1434189325014
1434189327,1434189325014
1434189329,1434189325014
1434189331,1434189330013
1434189333,1434189330013
1434189335,1434189335010
1434189337,1434189335010
1434189339,1434189335010
1434189341,1434189340012
1434189343,1434189340012
1434189345,1434189345013
1434189347,1434189345013
1434189349,1434189345013
1434189351,1434189350012
1434189353,1434189350012
1434189355,1434189355010
1434189357,1434189355010
1434189359,1434189355010
1434189361,1434189360011
1434189363,1434189360011
1434189365,1434189365009
1434189367,1434189365009
1434189369,1434189365009
1434189371,1434189370010
1434189373,1434189370010
1434189375,1434189375010
1434189377,1434189375010
1434189379,1434189375010
1434189381,1434189380010
1434189383,1434189380010
1434189385,1434189385012
1434189387,1434189385012
1434189389,1434189385012
1434189391,1434189385012
1434189393,1434189385012
1434189395,1434189385012
1434189397,1434189385012
1434189399,1434189395010
1434189401,1434189400010
1434189403,1434189400010
1434189405,1434189400010
1434189407,1434189405010
1434189409,1434189405010
1434189411,1434189410009
1434189413,1434189410009
1434189415,1434189415009
1434189417,1434189415009
1434189419,1434189415009
1434189421,1434189420009
1434189423,1434189420009
1434189425,1434189420009
1434189427,1434189425008
1434189429,1434189425008
1434189431,1434189430011
1434189433,1434189430011
1434189435,1434189430011
1434189437,1434189435010
1434189439,1434189435010
1434189441,1434189440008
1434189443,1434189440008
1434189445,1434189440008
1434189447,1434189445009
1434189449,1434189445009
1434189451,1434189450009
1434189453,1434189450009
1434189455,1434189455007
1434189457,1434189455007
1434189459,1434189455007
1434189461,1434189460008
1434189463,1434189460008
1434189465,1434189465008
1434189467,1434189465008
1434189469,1434189465008
1434189471,1434189470008
1434189473,1434189470008
1434189475,1434189470008
1434189477,1434189475005
1434189479,1434189475005
1434189481,1434189480008
1434189483,1434189480008
1434189485,1434189480008
1434189487,1434189485008
1434189489,1434189485008
1434189491,1434189490009
1434189493,1434189490009
1434189495,1434189495008
1434189497,1434189495008
1434189499,1434189495008
1434189501,1434189500008
1434189503,1434189500008
1434189505,1434189500008
1434189507,1434189505008
1434189509,1434189505008
1434189511,1434189510008
1434189513,1434189510008
1434189515,1434189515008
1434189517,1434189515008
1434189519,1434189515008
1434189521,1434189520009
1434189523,1434189520009
1434189525,1434189520009
1434189527,1434189525009
1434189529,1434189525009
1434189531,1434189530008
1434189533,1434189530008
1434189535,1434189535009
1434189537,1434189535009
1434189539,1434189535009
1434189541,1434189540008
1434189543,1434189540008
1434189545,1434189545007
1434189547,1434189545007
1434189549,1434189545007
1434189551,1434189550009
1434189553,1434189550009
1434189555,1434189555009
1434189557,1434189555009
1434189559,1434189555009
1434189561,1434189560008
1434189563,1434189560008
1434189565,1434189565008
1434189567,1434189565008
1434189569,1434189565008
1434189571,1434189570008
1434189573,1434189570008
1434189575,1434189570008
1434189577,1434189575008
1434189579,1434189575008
1434189581,1434189580009
1434189583,1434189580009
1434189585,1434189585008
1434189587,1434189585008
1434189589,1434189585008
1434189591,1434189590008
1434189593,1434189590008
1434189595,1434189595008
1434189597,1434189595008
1434189599,1434189595008
1434189601,1434189600008
1434189603,1434189600008
1434189605,1434189605007
1434189607,1434189605007
1434189609,1434189605007
1434189611,1434189610008
1434189613,1434189610008
1434189615,1434189610008
1434189617,1434189615008
1434189619,1434189615008
1434189621,1434189620008
1434189623,1434189620008
1434189625,1434189620008
1434189627,1434189625008
1434189629,1434189625008
1434189631,1434189630008
1434189633,1434189630008
1434189635,1434189630008
1434189637,1434189635007
1434189639,1434189635007
1434189641,1434189640008
1434189643,1434189640008
1434189645,1434189640008
1434189647,1434189645008
1434189649,1434189645008
1434189651,1434189650008
1434189653,1434189650008
1434189655,1434189650008
1434189657,1434189655007
1434189659,1434189655007
1434189661,1434189660008
1434189663,1434189660008
1434189665,1434189665008
1434189667,1434189665008
1434189669,1434189665008
1434189671,1434189670008
1434189673,1434189670008
1434189675,1434189670008
1434189677,1434189675008
1434189679,1434189675008
1434189681,1434189680008
1434189683,1434189680008
1434189685,1434189685007
1434189687,1434189685007
1434189689,1434189685007
1434189691,1434189690008
1434189693,1434189690008
1434189695,1434189695007
1434189697,1434189695007
1434189699,1434189695007
1434189701,1434189700008
1434189703,1434189700008
1434189705,1434189705008
1434189707,1434189705008
1434189709,1434189705008
1434189711,1434189710008
1434189713,1434189710008
1434189715,1434189715008
1434189717,1434189715008
1434189719,1434189715008
1434189721,1434189720008
1434189723,1434189720008
1434189725,1434189720008
1434189727,1434189725007
1434189729,1434189725007
1434189731,1434189730008
1434189733,1434189730008
1434189735,1434189730008
1434189737,1434189735008
1434189739,1434189735008
1434189741,1434189740007
1434189743,1434189740007
1434189745,1434189740007
1434189747,1434189745008
1434189749,1434189745008
1434189751,1434189750008
1434189753,1434189750008
1434189755,1434189750008
1434189757,1434189755007
1434189759,1434189755007
1434189761,1434189760008
1434189763,1434189760008
