t,value
1434189319,100667208
1434189321,109961656
1434189323,110650016
1434189325,116739888
1434189327,19927600
1434189329,21408008
1434189331,24594904
1434189333,28716928
1434189335,33422904
1434189337,38640736
1434189339,39259560
1434189341,41312536
1434189343,41955552
1434189345,43062096
1434189347,43849112
1434189349,44500336
1434189351,45726960
1434189353,46514464
1434189355,47983240
1434189357,49336880
1434189359,49972088
1434189361,51595784
1434189363,52263352
1434189365,53512056
1434189367,54163728
1434189369,54977928
1434189371,56240232
1434189373,56883168
1434189375,57744936
1434189377,78976024
1434189379,85971480
1434189381,116002728
1434189383,116645624
1434189385,118783792
1434189387,120414184
1434189389,37155632
1434189391,45091368
1434189393,46299256
1434189395,47476976
1434189397,49631648
1434189399,77993776
1434189401,95087696
1434189403,96656696
1434189405,110112040
1434189407,117037752
1434189409,118487000
1434189411,37802680
1434189413,38771496
1434189415,53967752
1434189417,56052768
1434189419,57434616
1434189421,74952288
1434189423,75879952
1434189425,92091080
1434189427,97737232
1434189429,98738272
1434189431,117665408
1434189433,119267200
1434189435,34383376
1434189437,41754040
1434189439,43114472
1434189441,60611024
1434189443,62203240
1434189445,78495720
1434189447,82635392
1434189449,84035696
1434189451,102298296
1434189453,103226216
1434189455,122316008
1434189457,124033024
1434189459,125457128
1434189461,49685880
1434189463,51110664
1434189465,68998440
1434189467,71409352
1434189469,72825080
1434189471,90557328
1434189473,91941952
1434189475,109784152
1434189477,112605112
1434189479,114011736
1434189481,45270944
1434189483,46489840
1434189485,64998616
1434189487,68712464
1434189489,70204616
1434189491,90119504
1434189493,91588488
1434189495,109507432
1434189497,111901296
1434189499,113671520
1434189501,43463320
1434189503,45134536
1434189505,62293632
1434189507,66185040
1434189509,67861984
1434189511,86621152
1434189513,87970520
1434189515,106424976
1434189517,108027552
1434189519,109525656
1434189521,43214776
1434189523,44661128
1434189525,61733176
1434189527,64710400
1434189529,66096840
1434189531,87418512
1434189533,89066392
1434189535,107290120
1434189537,109470280
1434189539,111049952
1434189541,44227208
1434189543,45272376
1434189545,64825216
1434189547,67011160
1434189549,68649448
1434189551,88556864
1434189553,90261440
1434189555,108541888
1434189557,110068240
1434189559,111659224
1434189561,51824136
1434189563,53376424
1434189565,71950608
1434189567,74700536
1434189569,76078616
1434189571,97331880
1434189573,98955184
1434189575,116238656
1434189577,36104440
1434189579,37510888
1434189581,59149424
1434189583,60756512
1434189585,79965952
1434189587,82029920
1434189589,83566112
1434189591,103194712
1434189593,104806768
1434189595,37602480
1434189597,39635312
1434189599,40927600
1434189601,60780560
1434189603,62118296
1434189605,82107064
1434189607,84538040
1434189609,86584000
1434189611,112382256
1434189613,113817808
1434189615,49006144
1434189617,58118184
1434189619,59767232
1434189621,83221424
1434189623,84555088
1434189625,103931776
1434189627,109047464
1434189629,110848168
1434189631,45393816
1434189633,46694536
1434189635,65290248
1434189637,71253472
1434189639,73039368
1434189641,96531584
1434189643,97807144
1434189645,117544848
1434189647,34605216
1434189649,35878792
1434189651,58210848
1434189653,59526720
1434189655,78179160
1434189657,83749296
1434189659,85038744
1434189661,106979920
1434189663,108706024
1434189665,38997048
1434189667,41477224
1434189669,42992480
1434189671,65445888
1434189673,67176032
1434189675,84811392
1434189677,92046960
1434189679,93482048
1434189681,117106008
1434189683,118584240
1434189685,52977528
1434189687,55787208
1434189689,57045584
1434189691,80384312
1434189693,81574696
1434189695,101940872
1434189697,104215560
1434189699,105648480
1434189701,34637672
1434189703,35977944
1434189705,57038408
1434189707,59474288
1434189709,61050688
1434189711,83930656
1434189713,85514776
1434189715,107391808
1434189717,109713848
1434189719,111785008
1434189721,41268080
1434189723,42959112
1434189725,61740296
1434189727,67883464
1434189729,69385704
1434189731,91704392
1434189733,93028144
1434189735,115628600
1434189737,118439272
1434189739,120359776
1434189741,44935968
1434189743,46702472
1434189745,65991720
1434189747,72595664
1434189749,74352544
1434189751,98784920
1434189753,100408992
1434189755,120923032
1434189757,128331592
1434189759,130254824
1434189761,56022784
1434189763,58262672
