t,value
1434189319,570425344
1434189321,570425344
1434189323,570425344
1434189325,570425344
1434189327,570425344
1434189329,570425344
1434189331,570425344
1434189333,570425344
1434189335,570425344
1434189337,570425344
1434189339,570425344
1434189341,570425344
1434189343,570425344
1434189345,570425344
1434189347,570425344
1434189349,570425344
1434189351,570425344
1434189353,570425344
1434189355,570425344
1434189357,570425344
1434189359,570425344
1434189361,570425344
1434189363,570425344
1434189365,570425344
1434189367,570425344
1434189369,570425344
1434189371,570425344
1434189373,570425344
1434189375,570425344
1434189377,570425344
1434189379,570425344
1434189381,570425344
1434189383,570425344
1434189385,570425344
1434189387,570425344
1434189389,570425344
1434189391,570425344
1434189393,570425344
1434189395,570425344
1434189397,570425344
1434189399,570425344
1434189401,570425344
1434189403,570425344
1434189405,570425344
1434189407,570425344
1434189409,570425344
1434189411,570425344
1434189413,570425344
1434189415,570425344
1434189417,570425344
1434189419,570425344
1434189421,570425344
1434189423,570425344
1434189425,570425344
1434189427,570425344
1434189429,570425344
1434189431,570425344
1434189433,570425344
1434189435,561512448
1434189437,561512448
1434189439,561512448
1434189441,561512448
1434189443,561512448
1434189445,561512448
1434189447,561512448
1434189449,561512448
1434189451,561512448
1434189453,561512448
1434189455,561512448
1434189457,561512448
1434189459,561512448
1434189461,565444608
1434189463,565444608
1434189465,565444608
1434189467,565444608
1434189469,565444608
1434189471,565444608
1434189473,565444608
1434189475,565444608
1434189477,565444608
1434189479,565444608
1434189481,546832384
1434189483,546832384
1434189485,546832384
1434189487,546832384
1434189489,546832384
1434189491,546832384
1434189493,546832384
1434189495,546832384
1434189497,546832384
1434189499,546832384
1434189501,562823168
1434189503,562823168
1434189505,562823168
1434189507,562823168
1434189509,562823168
1434189511,562823168
1434189513,562823168
1434189515,562823168
1434189517,562823168
1434189519,562823168
1434189521,542638080
1434189523,542638080
1434189525,542638080
1434189527,542638080
1434189529,542638080
1434189531,542638080
1434189533,542638080
1434189535,542638080
1434189537,542638080
1434189539,542638080
1434189541,563085312
1434189543,563085312
1434189545,563085312
1434189547,563085312
1434189549,563085312
1434189551,563085312
1434189553,563085312
1434189555,563085312
1434189557,563085312
1434189559,563085312
1434189561,563085312
1434189563,563085312
1434189565,563085312
1434189567,563085312
1434189569,563085312
1434189571,563085312
1434189573,563085312
1434189575,563085312
1434189577,563871744
1434189579,563871744
1434189581,563871744
1434189583,563871744
1434189585,563871744
1434189587,563871744
1434189589,563871744
1434189591,563871744
1434189593,563871744
1434189595,563347456
1434189597,563347456
1434189599,563347456
1434189601,563347456
1434189603,563347456
1434189605,563347456
1434189607,563347456
1434189609,563347456
1434189611,563347456
1434189613,563347456
1434189615,564920320
1434189617,564920320
1434189619,564920320
1434189621,564920320
1434189623,564920320
1434189625,564920320
1434189627,564920320
1434189629,564920320
1434189631,564396032
1434189633,564396032
1434189635,564396032
1434189637,564396032
1434189639,564396032
1434189641,564396032
1434189643,564396032
1434189645,564396032
1434189647,566493184
1434189649,566493184
1434189651,566493184
1434189653,566493184
1434189655,566493184
1434189657,566493184
1434189659,566493184
1434189661,566493184
1434189663,566493184
1434189665,565706752
1434189667,565706752
1434189669,565706752
1434189671,565706752
1434189673,565706752
1434189675,565706752
1434189677,565706752
1434189679,565706752
1434189681,565706752
1434189683,565706752
1434189685,568328192
1434189687,568328192
1434189689,568328192
1434189691,568328192
1434189693,568328192
1434189695,568328192
1434189697,568328192
1434189699,568328192
1434189701,567279616
1434189703,567279616
1434189705,567279616
1434189707,567279616
1434189709,567279616
1434189711,567279616
1434189713,567279616
1434189715,567279616
1434189717,567279616
1434189719,567279616
1434189721,570163200
1434189723,570163200
1434189725,570163200
1434189727,570163200
1434189729,570163200
1434189731,570163200
1434189733,570163200
1434189735,570163200
1434189737,570163200
1434189739,570163200
1434189741,569114624
1434189743,569114624
1434189745,569114624
1434189747,569114624
1434189749,569114624
1434189751,569114624
1434189753,569114624
1434189755,569114624
1434189757,569114624
1434189759,569114624
1434189761,571736064
1434189763,571736064
