t,value
1434191065,-1
1434191067,-1
1434191069,-1
1434191071,1434191070051
1434191073,1434191070051
1434191075,1434191075019
1434191077,1434191075019
1434191079,1434191075019
1434191081,1434191080013
1434191083,1434191080013
1434191085,1434191085017
1434191087,1434191085017
1434191089,1434191085017
1434191091,1434191090013
1434191093,1434191090013
1434191095,1434191095014
1434191097,1434191095014
1434191099,1434191095014
1434191101,1434191100015
1434191103,1434191100015
1434191105,1434191105010
1434191107,1434191105010
1434191109,1434191105010
1434191111,1434191110011
1434191113,1434191110011
1434191115,1434191115014
1434191117,1434191115014
1434191119,1434191115014
1434191121,1434191120014
1434191123,1434191120014
1434191125,1434191125013
1434191127,1434191125013
1434191129,1434191125013
1434191131,1434191125013
1434191133,1434191125013
1434191135,1434191125013
1434191137,1434191136528
1434191139,1434191136528
1434191141,1434191140010
1434191143,1434191140010
1434191145,1434191140010
1434191147,1434191145011
1434191149,1434191145011
1434191151,1434191150009
1434191153,1434191150009
1434191155,1434191150009
1434191157,1434191155014
1434191159,1434191155014
1434191161,1434191160006
1434191163,1434191160006
1434191165,1434191160006
1434191167,1434191165010
1434191169,1434191165010
1434191171,1434191170010
1434191173,1434191170010
1434191175,1434191170010
1434191177,1434191175010
1434191179,1434191175010
1434191181,1434191180008
1434191183,1434191180008
1434191185,1434191180008
1434191187,1434191185010
1434191189,1434191185010
1434191191,1434191190011
1434191193,1434191190011
1434191195,1434191190011
1434191197,1434191195010
1434191199,1434191195010
1434191201,1434191200009
1434191203,1434191200009
1434191205,1434191200009
1434191207,1434191205009
1434191209,1434191205009
1434191211,1434191210008
1434191213,1434191210008
1434191215,1434191210008
1434191217,1434191215010
1434191219,1434191215010
1434191221,1434191220009
1434191223,1434191220009
1434191225,1434191220009
1434191227,1434191225009
1434191229,1434191225009
1434191231,1434191230008
1434191233,1434191230008
1434191235,1434191230008
1434191237,1434191235010
1434191239,1434191235010
1434191241,1434191240009
1434191243,1434191240009
1434191245,1434191240009
1434191247,1434191245009
1434191249,1434191245009
1434191251,1434191250010
1434191253,1434191250010
1434191255,1434191250010
1434191257,1434191255008
1434191259,1434191255008
1434191261,1434191260009
1434191263,1434191260009
1434191265,1434191260009
1434191267,1434191265010
1434191269,1434191265010
1434191271,1434191270008
1434191273,1434191270008
1434191275,1434191270008
1434191277,1434191275010
1434191279,1434191275010
1434191281,1434191280006
1434191283,1434191280006
1434191285,1434191280006
1434191287,1434191285009
1434191289,1434191285009
1434191291,1434191290009
1434191293,1434191290009
1434191295,1434191290009
1434191297,1434191295009
1434191299,1434191295009
1434191301,1434191300008
1434191303,1434191300008
1434191305,1434191300008
1434191307,1434191305009
1434191309,1434191305009
1434191311,1434191310007
1434191313,1434191310007
1434191315,1434191310007
1434191317,1434191315008
1434191319,1434191315008
1434191321,1434191320009
1434191323,1434191320009
1434191325,1434191320009
1434191327,1434191325010
1434191329,1434191325010
1434191331,1434191330008
1434191333,1434191330008
1434191335,1434191330008
1434191337,1434191335010
1434191339,1434191335010
1434191341,1434191340010
1434191343,1434191340010
1434191345,1434191340010
1434191347,1434191345008
1434191349,1434191345008
1434191351,1434191350009
1434191353,1434191350009
1434191355,1434191350009
1434191357,1434191355009
1434191359,1434191355009
1434191361,1434191360008
1434191363,1434191360008
1434191365,1434191360008
1434191367,1434191365009
1434191369,1434191365009
1434191371,1434191370009
1434191373,1434191370009
1434191375,1434191370009
1434191377,1434191375008
1434191379,1434191375008
1434191381,1434191380006
1434191383,1434191380006
1434191385,1434191380006
1434191387,1434191385009
1434191389,1434191385009
1434191391,1434191390008
1434191393,1434191390008
1434191395,1434191390008
1434191397,1434191395010
1434191399,1434191395010
1434191401,1434191400008
1434191403,1434191400008
1434191405,1434191400008
1434191407,1434191405008
1434191409,1434191405008
1434191411,1434191410009
1434191413,1434191410009
1434191415,1434191410009
1434191417,1434191415009
1434191419,1434191415009
1434191421,1434191420008
1434191423,1434191420008
1434191425,1434191420008
1434191427,1434191425009
1434191429,1434191425009
1434191431,1434191430008
1434191433,1434191430008
1434191435,1434191430008
1434191437,1434191435008
