t,value
1434191065,385875968
1434191067,385875968
1434191069,385875968
1434191071,385875968
1434191073,385875968
1434191075,385875968
1434191077,385875968
1434191079,385875968
1434191081,385875968
1434191083,385875968
1434191085,385875968
1434191087,385875968
1434191089,385875968
1434191091,385875968
1434191093,385875968
1434191095,385875968
1434191097,385875968
1434191099,385875968
1434191101,385875968
1434191103,385875968
1434191105,385875968
1434191107,385875968
1434191109,385875968
1434191111,385875968
1434191113,385875968
1434191115,385875968
1434191117,385875968
1434191119,385875968
1434191121,385875968
1434191123,385875968
1434191125,385875968
1434191127,385875968
1434191129,385875968
1434191131,385875968
1434191133,385875968
1434191135,385875968
1434191137,385875968
1434191139,385875968
1434191141,385875968
1434191143,385875968
1434191145,385875968
1434191147,385875968
1434191149,385875968
1434191151,385875968
1434191153,385875968
1434191155,385875968
1434191157,385875968
1434191159,385875968
1434191161,385875968
1434191163,385875968
1434191165,385875968
1434191167,385875968
1434191169,385875968
1434191171,376438784
1434191173,376438784
1434191175,376438784
1434191177,376438784
1434191179,376438784
1434191181,376438784
1434191183,376438784
1434191185,376438784
1434191187,376438784
1434191189,376438784
1434191191,376438784
1434191193,376438784
1434191195,376438784
1434191197,380633088
1434191199,380633088
1434191201,380633088
1434191203,380633088
1434191205,380633088
1434191207,380633088
1434191209,380633088
1434191211,380633088
1434191213,380633088
1434191215,380633088
1434191217,361496576
1434191219,361496576
1434191221,361496576
1434191223,361496576
1434191225,361496576
1434191227,361496576
1434191229,361496576
1434191231,361496576
1434191233,361496576
1434191235,378011648
1434191237,378011648
1434191239,378011648
1434191241,378011648
1434191243,378011648
1434191245,378011648
1434191247,378011648
1434191249,378011648
1434191251,378011648
1434191253,378011648
1434191255,378011648
1434191257,358088704
1434191259,358088704
1434191261,358088704
1434191263,358088704
1434191265,358088704
1434191267,358088704
1434191269,358088704
1434191271,358088704
1434191273,358088704
1434191275,358088704
1434191277,378535936
1434191279,378535936
1434191281,378535936
1434191283,378535936
1434191285,378535936
1434191287,378535936
1434191289,378535936
1434191291,378535936
1434191293,378535936
1434191295,378535936
1434191297,378535936
1434191299,378535936
1434191301,378535936
1434191303,378535936
1434191305,378535936
1434191307,378535936
1434191309,378535936
1434191311,379060224
1434191313,379060224
1434191315,379060224
1434191317,379060224
1434191319,379060224
1434191321,379060224
1434191323,379060224
1434191325,379060224
1434191327,379060224
1434191329,379060224
1434191331,378535936
1434191333,378535936
1434191335,378535936
1434191337,378535936
1434191339,378535936
1434191341,378535936
1434191343,378535936
1434191345,378535936
1434191347,378535936
1434191349,378535936
1434191351,380370944
1434191353,380370944
1434191355,380370944
1434191357,380370944
1434191359,380370944
1434191361,380370944
1434191363,380370944
1434191365,380370944
1434191367,380370944
1434191369,380370944
1434191371,379584512
1434191373,379584512
1434191375,379584512
1434191377,379584512
1434191379,379584512
1434191381,379584512
1434191383,379584512
1434191385,379584512
1434191387,379584512
1434191389,379584512
1434191391,381943808
1434191393,381943808
1434191395,381943808
1434191397,381943808
1434191399,381943808
1434191401,381943808
1434191403,381943808
1434191405,381943808
1434191407,381943808
1434191409,381943808
1434191411,381157376
1434191413,381157376
1434191415,381157376
1434191417,381157376
1434191419,381157376
1434191421,381157376
1434191423,381157376
1434191425,381157376
1434191427,381157376
1434191429,381157376
1434191431,383778816
1434191433,383778816
1434191435,383778816
1434191437,383778816
