t,value
1434192195,-1
1434192197,-1
1434192199,-1
1434192201,40
1434192203,40
1434192205,13
1434192207,13
1434192209,13
1434192211,5
1434192213,5
1434192215,5
1434192217,5
1434192219,5
1434192221,6
1434192223,6
1434192225,17
1434192227,17
1434192229,17
1434192231,5
1434192233,5
1434192235,6
1434192237,6
1434192239,6
1434192241,5
1434192243,5
1434192245,7
1434192247,7
1434192249,7
1434192251,6
1434192253,6
1434192255,6
1434192257,6
1434192259,6
1434192261,6
1434192263,6
1434192265,6
1434192267,2131
1434192269,2131
1434192271,571
1434192273,571
1434192275,501
1434192277,501
1434192279,501
1434192281,523
1434192283,523
1434192285,475
1434192287,475
1434192289,475
1434192291,451
1434192293,451
1434192295,424
1434192297,424
1434192299,424
1434192301,417
1434192303,417
1434192305,468
1434192307,468
1434192309,468
1434192311,496
1434192313,496
1434192315,395
1434192317,395
1434192319,395
1434192321,396
1434192323,396
1434192325,406
1434192327,406
1434192329,406
1434192331,451
1434192333,451
1434192335,399
1434192337,399
1434192339,399
1434192341,471
1434192343,471
1434192345,357
1434192347,357
1434192349,357
1434192351,451
1434192353,451
1434192355,431
1434192357,431
1434192359,431
1434192361,374
1434192363,374
1434192365,385
1434192367,385
1434192369,385
1434192371,413
1434192373,413
1434192375,371
1434192377,371
1434192379,371
1434192381,326
1434192383,326
1434192385,333
1434192387,333
1434192389,333
1434192391,363
1434192393,363
1434192395,296
1434192397,296
1434192399,296
1434192401,395
1434192403,395
1434192405,381
1434192407,381
1434192409,381
1434192411,291
1434192413,291
1434192415,324
1434192417,324
1434192419,324
1434192421,361
1434192423,361
1434192425,315
1434192427,315
1434192429,315
1434192431,312
1434192433,312
1434192435,398
1434192437,398
1434192439,398
1434192441,341
1434192443,341
1434192445,383
1434192447,383
1434192449,383
1434192451,373
1434192453,373
1434192455,357
1434192457,357
1434192459,357
1434192461,310
1434192463,310
1434192465,305
1434192467,305
1434192469,305
1434192471,322
1434192473,322
1434192475,317
1434192477,317
1434192479,317
1434192481,342
1434192483,342
1434192485,371
1434192487,371
1434192489,371
1434192491,335
1434192493,335
1434192495,370
1434192497,370
1434192499,370
1434192501,381
1434192503,381
1434192505,356
1434192507,356
1434192509,356
1434192511,347
1434192513,347
1434192515,298
1434192517,298
1434192519,298
1434192521,320
1434192523,320
1434192525,335
1434192527,335
1434192529,335
1434192531,349
1434192533,349
1434192535,327
1434192537,327
1434192539,327
1434192541,310
1434192543,310
1434192545,410
1434192547,410
1434192549,410
1434192551,349
1434192553,349
1434192555,361
1434192557,361
1434192559,361
1434192561,333
1434192563,333
1434192565,305
1434192567,305
1434192569,305
1434192571,302
1434192573,302
1434192575,396
1434192577,396
1434192579,396
1434192581,319
1434192583,319
1434192585,327
1434192587,327
1434192589,327
1434192591,369
1434192593,369
1434192595,353
1434192597,353
1434192599,353
1434192601,357
1434192603,357
1434192605,333
1434192607,333
1434192609,333
1434192611,359
1434192613,359
1434192615,352
1434192617,352
1434192619,352
1434192621,388
1434192623,388
1434192625,344
1434192627,344
1434192629,344
1434192631,348
1434192633,348
1434192635,321
1434192637,321
1434192639,321
1434192641,327
1434192643,327
1434192645,314
1434192647,314
1434192649,314
1434192651,308
1434192653,308
1434192655,325
1434192657,325
1434192659,325
1434192661,313
1434192663,313
1434192665,318
1434192667,318
1434192669,318
1434192671,345
1434192673,345
1434192675,377
1434192677,377
1434192679,377
1434192681,332
1434192683,332
1434192685,309
1434192687,309
1434192689,309
1434192691,283
1434192693,283
1434192695,332
1434192697,332
1434192699,332
1434192701,293
1434192703,293
1434192705,290
1434192707,290
1434192709,290
1434192711,322
1434192713,322
1434192715,332
1434192717,332
1434192719,332
1434192721,297
1434192723,297
1434192725,370
1434192727,370
1434192729,370
1434192731,326
1434192733,326
1434192735,345
1434192737,345
1434192739,345
1434192741,275
1434192743,275
1434192745,283
1434192747,283
1434192749,283
1434192751,296
1434192753,296
1434192755,266
1434192757,266
1434192759,266
1434192761,336
1434192763,336
1434192765,283
1434192767,283
1434192769,283
1434192771,301
1434192773,301
1434192775,374
1434192777,374
1434192779,374
1434192781,317
1434192783,317
1434192785,278
1434192787,278
1434192789,278
1434192791,323
1434192793,323
1434192795,308
1434192797,308
1434192799,308
1434192801,353
1434192803,353
1434192805,394
1434192807,394
1434192809,394
1434192811,277
1434192813,277
1434192815,340
1434192817,340
1434192819,340
1434192821,307
1434192823,307
1434192825,309
1434192827,309
1434192829,309
1434192831,287
1434192833,287
1434192835,337
1434192837,337
1434192839,337
1434192841,321
1434192843,321
1434192845,315
1434192847,315
