t,value
1434192195,0
1434192197,0
1434192199,0
1434192201,0
1434192203,0
1434192205,0
1434192207,0
1434192209,0
1434192211,0
1434192213,0
1434192215,0
1434192217,0
1434192219,0
1434192221,0
1434192223,0
1434192225,0
1434192227,0
1434192229,0
1434192231,0
1434192233,0
1434192235,0
1434192237,0
1434192239,0
1434192241,0
1434192243,0
1434192245,0
1434192247,0
1434192249,0
1434192251,0
1434192253,0
1434192255,0
1434192257,0
1434192259,0
1434192261,135
1434192263,135
1434192265,135
1434192267,330
1434192269,330
1434192271,518
1434192273,518
1434192275,722
1434192277,722
1434192279,722
1434192281,913
1434192283,913
1434192285,1119
1434192287,1119
1434192289,1119
1434192291,1318
1434192293,1318
1434192295,1500
1434192297,1500
1434192299,1500
1434192301,1688
1434192303,1688
1434192305,1924
1434192307,1924
1434192309,1924
1434192311,2155
1434192313,2155
1434192315,2355
1434192317,2355
1434192319,2355
1434192321,2566
1434192323,2566
1434192325,2786
1434192327,2786
1434192329,2786
1434192331,3010
1434192333,3010
1434192335,3228
1434192337,3228
1434192339,3228
1434192341,3433
1434192343,3433
1434192345,3623
1434192347,3623
1434192349,3623
1434192351,3820
1434192353,3820
1434192355,4031
1434192357,4031
1434192359,4031
1434192361,4222
1434192363,4222
1434192365,4411
1434192367,4411
1434192369,4411
1434192371,4652
1434192373,4652
1434192375,4861
1434192377,4861
1434192379,4861
1434192381,5037
1434192383,5037
1434192385,5241
1434192387,5241
1434192389,5241
1434192391,5440
1434192393,5440
1434192395,5619
1434192397,5619
1434192399,5619
1434192401,5796
1434192403,5796
1434192405,5991
1434192407,5991
1434192409,5991
1434192411,6177
1434192413,6177
1434192415,6359
1434192417,6359
1434192419,6359
1434192421,6572
1434192423,6572
1434192425,6767
1434192427,6767
1434192429,6767
1434192431,6967
1434192433,6967
1434192435,7197
1434192437,7197
1434192439,7197
1434192441,7414
1434192443,7414
1434192445,7630
1434192447,7630
1434192449,7630
1434192451,7849
1434192453,7849
1434192455,8038
1434192457,8038
1434192459,8038
1434192461,8215
1434192463,8215
1434192465,8408
1434192467,8408
1434192469,8408
1434192471,8586
1434192473,8586
1434192475,8781
1434192477,8781
1434192479,8781
1434192481,8991
1434192483,8991
1434192485,9222
1434192487,9222
1434192489,9222
1434192491,9416
1434192493,9416
1434192495,9630
1434192497,9630
1434192499,9630
1434192501,9834
1434192503,9834
1434192505,10040
1434192507,10040
1434192509,10040
1434192511,10238
1434192513,10238
1434192515,10414
1434192517,10414
1434192519,10414
1434192521,10617
1434192523,10617
1434192525,10827
1434192527,10827
1434192529,10827
1434192531,11022
1434192533,11022
1434192535,11200
1434192537,11200
1434192539,11200
1434192541,11390
1434192543,11390
1434192545,11627
1434192547,11627
1434192549,11627
1434192551,11832
1434192553,11832
1434192555,12019
1434192557,12019
1434192559,12019
1434192561,12223
1434192563,12223
1434192565,12408
1434192567,12408
1434192569,12408
1434192571,12596
1434192573,12596
1434192575,12810
1434192577,12810
1434192579,12810
1434192581,12990
1434192583,12990
1434192585,13199
1434192587,13199
1434192589,13199
1434192591,13384
1434192593,13384
1434192595,13593
1434192597,13593
1434192599,13593
1434192601,13772
1434192603,13772
1434192605,13993
1434192607,13993
1434192609,13993
1434192611,14238
1434192613,14238
1434192615,14452
1434192617,14452
1434192619,14452
1434192621,14681
1434192623,14681
1434192625,14891
1434192627,14891
1434192629,14891
1434192631,15097
1434192633,15097
1434192635,15288
1434192637,15288
1434192639,15288
1434192641,15481
1434192643,15481
1434192645,15662
1434192647,15662
1434192649,15662
1434192651,15865
1434192653,15865
1434192655,16056
1434192657,16056
1434192659,16056
1434192661,16234
1434192663,16234
1434192665,16430
1434192667,16430
1434192669,16430
1434192671,16650
1434192673,16650
1434192675,16862
1434192677,16862
1434192679,16862
1434192681,17058
1434192683,17058
1434192685,17266
1434192687,17266
1434192689,17266
1434192691,17441
1434192693,17441
1434192695,17623
1434192697,17623
1434192699,17623
1434192701,17788
1434192703,17788
1434192705,17960
1434192707,17960
1434192709,17960
1434192711,18160
1434192713,18160
1434192715,18353
1434192717,18353
1434192719,18353
1434192721,18546
1434192723,18546
1434192725,18770
1434192727,18770
1434192729,18770
1434192731,18982
1434192733,18982
1434192735,19162
1434192737,19162
1434192739,19162
1434192741,19341
1434192743,19341
1434192745,19524
1434192747,19524
1434192749,19524
1434192751,19719
1434192753,19719
1434192755,19889
1434192757,19889
1434192759,19889
1434192761,20065
1434192763,20065
1434192765,20231
1434192767,20231
1434192769,20231
1434192771,20423
1434192773,20423
1434192775,20639
1434192777,20639
1434192779,20639
1434192781,20834
1434192783,20834
1434192785,21019
1434192787,21019
1434192789,21019
1434192791,21220
1434192793,21220
1434192795,21392
1434192797,21392
1434192799,21392
1434192801,21606
1434192803,21606
1434192805,21833
1434192807,21833
1434192809,21833
1434192811,22003
1434192813,22003
1434192815,22205
1434192817,22205
1434192819,22205
1434192821,22394
1434192823,22394
1434192825,22593
1434192827,22593
1434192829,22593
1434192831,22752
1434192833,22752
1434192835,22953
1434192837,22953
1434192839,22953
1434192841,23119
1434192843,23119
1434192845,23317
1434192847,23317
