t,value
1434192195,65
1434192197,65
1434192199,65
1434192201,65
1434192203,65
1434192205,138
1434192207,138
1434192209,138
1434192211,138
1434192213,138
1434192215,138
1434192217,138
1434192219,138
1434192221,138
1434192223,138
1434192225,138
1434192227,138
1434192229,138
1434192231,138
1434192233,138
1434192235,138
1434192237,138
1434192239,138
1434192241,138
1434192243,138
1434192245,138
1434192247,138
1434192249,138
1434192251,138
1434192253,138
1434192255,138
1434192257,138
1434192259,138
1434192261,211
1434192263,211
1434192265,211
1434192267,211
1434192269,211
1434192271,211
1434192273,211
1434192275,211
1434192277,211
1434192279,211
1434192281,258
1434192283,258
1434192285,258
1434192287,258
1434192289,258
1434192291,258
1434192293,258
1434192295,258
1434192297,258
1434192299,258
1434192301,302
1434192303,302
1434192305,302
1434192307,302
1434192309,302
1434192311,302
1434192313,302
1434192315,302
1434192317,302
1434192319,302
1434192321,302
1434192323,348
1434192325,348
1434192327,348
1434192329,348
1434192331,348
1434192333,348
1434192335,348
1434192337,348
1434192339,348
1434192341,405
1434192343,405
1434192345,405
1434192347,405
1434192349,405
1434192351,405
1434192353,405
1434192355,405
1434192357,405
1434192359,405
1434192361,428
1434192363,428
1434192365,428
1434192367,428
1434192369,428
1434192371,428
1434192373,428
1434192375,428
1434192377,428
1434192379,428
1434192381,434
1434192383,434
1434192385,434
1434192387,434
1434192389,434
1434192391,434
1434192393,434
1434192395,434
1434192397,434
1434192399,434
1434192401,444
1434192403,444
1434192405,444
1434192407,444
1434192409,444
1434192411,444
1434192413,444
1434192415,444
1434192417,444
1434192419,444
1434192421,451
1434192423,451
1434192425,451
1434192427,451
1434192429,451
1434192431,451
1434192433,451
1434192435,451
1434192437,451
1434192439,457
1434192441,457
1434192443,457
1434192445,457
1434192447,457
1434192449,457
1434192451,457
1434192453,457
1434192455,464
1434192457,464
1434192459,464
1434192461,464
1434192463,464
1434192465,464
1434192467,464
1434192469,464
1434192471,464
1434192473,464
1434192475,470
1434192477,470
1434192479,470
1434192481,470
1434192483,470
1434192485,470
1434192487,470
1434192489,470
1434192491,470
1434192493,470
1434192495,476
1434192497,476
1434192499,476
1434192501,476
1434192503,476
1434192505,476
1434192507,476
1434192509,476
1434192511,476
1434192513,476
1434192515,481
1434192517,481
1434192519,481
1434192521,481
1434192523,481
1434192525,481
1434192527,481
1434192529,481
1434192531,481
1434192533,481
1434192535,491
1434192537,491
1434192539,491
1434192541,491
1434192543,491
1434192545,491
1434192547,491
1434192549,491
1434192551,491
1434192553,491
1434192555,498
1434192557,498
1434192559,498
1434192561,498
1434192563,498
1434192565,498
1434192567,498
1434192569,498
1434192571,498
1434192573,498
1434192575,503
1434192577,503
1434192579,503
1434192581,503
1434192583,503
1434192585,503
1434192587,503
1434192589,503
1434192591,503
1434192593,503
1434192595,503
1434192597,503
1434192599,503
1434192601,509
1434192603,509
1434192605,509
1434192607,509
1434192609,509
1434192611,509
1434192613,509
1434192615,509
1434192617,509
1434192619,509
1434192621,514
1434192623,514
1434192625,514
1434192627,514
1434192629,514
1434192631,514
1434192633,514
1434192635,514
1434192637,514
1434192639,514
1434192641,520
1434192643,520
1434192645,520
1434192647,520
1434192649,520
1434192651,520
1434192653,520
1434192655,520
1434192657,520
1434192659,520
1434192661,520
1434192663,520
1434192665,525
1434192667,525
1434192669,525
1434192671,525
1434192673,525
1434192675,525
1434192677,525
1434192679,525
1434192681,525
1434192683,525
1434192685,530
1434192687,530
1434192689,530
1434192691,530
1434192693,530
1434192695,530
1434192697,530
1434192699,530
1434192701,530
1434192703,530
1434192705,530
1434192707,530
1434192709,530
1434192711,535
1434192713,535
1434192715,535
1434192717,535
1434192719,535
1434192721,535
1434192723,535
1434192725,535
1434192727,535
1434192729,535
1434192731,535
1434192733,535
1434192735,542
1434192737,542
1434192739,542
1434192741,542
1434192743,542
1434192745,542
1434192747,542
1434192749,542
1434192751,542
1434192753,542
1434192755,542
1434192757,542
1434192759,542
1434192761,547
1434192763,547
1434192765,547
1434192767,547
1434192769,547
1434192771,547
1434192773,547
1434192775,547
1434192777,547
1434192779,547
1434192781,547
1434192783,554
1434192785,554
1434192787,554
1434192789,554
1434192791,554
1434192793,554
1434192795,554
1434192797,554
1434192799,554
1434192801,554
1434192803,554
1434192805,563
1434192807,563
1434192809,563
1434192811,563
1434192813,563
1434192815,563
1434192817,563
1434192819,563
1434192821,563
1434192823,563
1434192825,563
1434192827,563
1434192829,563
1434192831,570
1434192833,570
1434192835,570
1434192837,570
1434192839,570
1434192841,570
1434192843,570
1434192845,570
1434192847,570
