t,value
1434192195,29071488
1434192197,29652160
1434192199,29654456
1434192201,29933376
1434192203,29935096
1434192205,30047272
1434192207,30344280
1434192209,30981952
1434192211,30999304
1434192213,31000976
1434192215,31024376
1434192217,31028584
1434192219,31030952
1434192221,31045720
1434192223,31085336
1434192225,31096392
1434192227,31270784
1434192229,31278688
1434192231,31286040
1434192233,31286808
1434192235,31290832
1434192237,31294368
1434192239,31296264
1434192241,31302720
1434192243,31349080
1434192245,31827504
1434192247,31830208
1434192249,31847352
1434192251,32611840
1434192253,32804736
1434192255,32807216
1434192257,32853440
1434192259,32862400
1434192261,32970472
1434192263,32976704
1434192265,32982152
1434192267,33335360
1434192269,33345552
1434192271,33411496
1434192273,33422448
1434192275,33463936
1434192277,33470752
1434192279,33477120
1434192281,33544976
1434192283,33550576
1434192285,33623672
1434192287,33626392
1434192289,33627976
1434192291,33687904
1434192293,33691280
1434192295,33738400
1434192297,33741432
1434192299,33746688
1434192301,33793096
1434192303,33821032
1434192305,33873552
1434192307,33875752
1434192309,33877768
1434192311,33960472
1434192313,33972560
1434192315,33995888
1434192317,34000264
1434192319,34009456
1434192321,34050856
1434192323,34052272
1434192325,34087664
1434192327,34093888
1434192329,34109584
1434192331,34142296
1434192333,34144888
1434192335,34164008
1434192337,34167720
1434192339,34192480
1434192341,34262296
1434192343,34290744
1434192345,34343728
1434192347,34347160
1434192349,34348928
1434192351,34376112
1434192353,34387456
1434192355,34407256
1434192357,34408216
1434192359,34416192
1434192361,34459048
1434192363,34462056
1434192365,34478472
1434192367,34479576
1434192369,34481552
1434192371,34513216
1434192373,34517736
1434192375,34543400
1434192377,34543400
1434192379,34543520
1434192381,34553920
1434192383,34554240
1434192385,34565880
1434192387,34567392
1434192389,34567392
1434192391,34611536
1434192393,34611968
1434192395,34622432
1434192397,34623520
1434192399,34629416
1434192401,34675928
1434192403,34676048
1434192405,34696496
1434192407,34785264
1434192409,34788400
1434192411,34808080
1434192413,34817816
1434192415,34838128
1434192417,34838896
1434192419,34839560
1434192421,34857152
1434192423,34857392
1434192425,34892496
1434192427,34904344
1434192429,34895128
1434192431,34916728
1434192433,34921712
1434192435,34943880
1434192437,34947688
1434192439,34965288
1434192441,34994400
1434192443,34994784
1434192445,35009080
1434192447,35013120
1434192449,35013752
1434192451,35022520
1434192453,35023192
1434192455,35031344
1434192457,35031680
1434192459,35033984
1434192461,35061120
1434192463,35061480
1434192465,35090688
1434192467,35094432
1434192469,35095152
1434192471,35099576
1434192473,35100816
1434192475,35106984
1434192477,35107808
1434192479,35107808
1434192481,35120936
1434192483,35121592
1434192485,35137000
1434192487,35137912
1434192489,35140920
1434192491,35163592
1434192493,35167264
1434192495,35178288
1434192497,35181648
1434192499,35182656
1434192501,35186704
1434192503,35188560
1434192505,35213320
1434192507,35213320
1434192509,35213320
1434192511,35230112
1434192513,35230112
1434192515,35239848
1434192517,35239848
