t,value
1434193857,0
1434193859,0
1434193861,1
1434193863,1
1434193865,2
1434193867,2
1434193869,2
1434193871,3
1434193873,3
1434193875,4
1434193877,4
1434193879,4
1434193881,5
1434193883,5
1434193885,6
1434193887,6
1434193889,6
1434193891,7
1434193893,7
1434193895,8
1434193897,8
1434193899,8
1434193901,9
1434193903,9
1434193905,10
1434193907,10
1434193909,10
1434193911,11
1434193913,11
1434193915,12
1434193917,12
1434193919,12
1434193921,12
1434193923,12
1434193925,12
1434193927,14
1434193929,14
1434193931,15
1434193933,15
1434193935,16
1434193937,16
1434193939,16
1434193941,17
1434193943,17
1434193945,18
1434193947,18
1434193949,18
1434193951,19
1434193953,19
1434193955,20
1434193957,20
1434193959,20
1434193961,21
1434193963,21
1434193965,22
1434193967,22
1434193969,22
1434193971,23
1434193973,23
1434193975,24
1434193977,24
1434193979,24
1434193981,25
1434193983,25
1434193985,26
1434193987,26
1434193989,26
1434193991,27
1434193993,27
1434193995,28
1434193997,28
1434193999,28
1434194001,29
1434194003,29
1434194005,30
1434194007,30
1434194009,30
1434194011,31
1434194013,31
1434194015,32
1434194017,32
1434194019,32
1434194021,33
1434194023,33
1434194025,34
1434194027,34
1434194029,34
1434194031,35
1434194033,35
1434194035,36
1434194037,36
1434194039,36
1434194041,37
1434194043,37
1434194045,38
1434194047,38
1434194049,38
1434194051,39
1434194053,39
1434194055,40
1434194057,40
1434194059,40
1434194061,41
1434194063,41
1434194065,42
1434194067,42
1434194069,42
1434194071,43
1434194073,43
1434194075,44
1434194077,44
1434194079,44
1434194081,45
1434194083,45
1434194085,46
1434194087,46
1434194089,46
1434194091,47
1434194093,47
1434194095,48
1434194097,48
1434194099,48
1434194101,49
1434194103,49
1434194105,50
1434194107,50
1434194109,50
1434194111,51
1434194113,51
1434194115,52
1434194117,52
1434194119,52
1434194121,53
1434194123,53
1434194125,54
1434194127,54
1434194129,54
1434194131,55
1434194133,55
1434194135,56
1434194137,56
1434194139,56
1434194141,57
1434194143,57
1434194145,58
1434194147,58
1434194149,58
1434194151,59
1434194153,59
1434194155,60
1434194157,60
1434194159,60
1434194161,61
1434194163,61
1434194165,62
1434194167,62
1434194169,62
1434194171,63
1434194173,63
1434194175,64
1434194177,64
1434194179,64
1434194181,65
1434194183,65
1434194185,66
1434194187,66
1434194189,66
1434194191,67
1434194193,67
1434194195,68
1434194197,68
1434194199,68
1434194201,69
1434194203,69
1434194205,70
1434194207,70
1434194209,70
1434194211,71
1434194213,71
1434194215,72
1434194217,72
1434194219,72
1434194221,73
1434194223,73
1434194225,74
1434194227,74
1434194229,74
1434194231,75
1434194233,75
1434194235,76
1434194237,76
1434194239,76
1434194241,77
1434194243,77
1434194245,78
1434194247,78
1434194249,78
1434194251,79
1434194253,79
1434194255,80
1434194257,80
1434194259,80
1434194261,81
1434194263,81
1434194265,82
1434194267,82
1434194269,82
1434194271,83
1434194273,83
1434194275,84
1434194277,84
1434194279,84
1434194281,85
1434194283,85
1434194285,86
1434194287,86
1434194289,86
1434194291,87
1434194293,87
1434194295,88
1434194297,88
1434194299,88
1434194301,89
1434194303,89
1434194305,90
1434194307,90
1434194309,90
1434194311,91
1434194313,91
1434194315,92
1434194317,92
1434194319,92
1434194321,93
1434194323,93
1434194325,94
1434194327,94
1434194329,94
1434194331,95
1434194333,95
1434194335,96
1434194337,96
1434194339,96
1434194341,97
1434194343,97
1434194345,98
1434194347,98
1434194349,98
1434194351,99
1434194353,99
1434194355,100
1434194357,100
1434194359,100
1434194361,100
1434194363,100
1434194365,100
1434194367,100
1434194369,100
1434194371,100
1434194373,100
1434194375,100
1434194377,100
1434194379,100
1434194381,100
1434194383,100
1434194385,100
1434194387,100
1434194389,100
1434194391,100
1434194393,100
1434194395,100
1434194397,100
1434194399,100
1434194401,100
1434194403,100
1434194405,100
1434194407,100
1434194409,100
1434194411,100
1434194413,100
1434194415,100
1434194417,100
1434194419,100
1434194421,100
1434194423,100
1434194425,100
1434194427,100
1434194429,100
1434194431,100
1434194433,100
1434194435,100
1434194437,100
1434194439,100
1434194441,100
1434194443,100
1434194445,100
1434194447,100
1434194449,100
1434194451,100
1434194453,100
1434194455,100
1434194457,100
1434194459,100
1434194461,100
1434194463,100
1434194465,100
1434194467,100
1434194469,100
1434194471,100
1434194473,100
1434194475,100
1434194477,100
1434194479,100
1434194481,100
1434194483,100
1434194485,100
1434194487,100
1434194489,100
1434194491,100
1434194493,100
1434194495,100
1434194497,100
1434194499,100
1434194501,100
1434194503,100
1434194505,100
1434194507,100
1434194509,100
1434194511,100
1434194513,100
1434194515,100
1434194517,100
1434194519,100
1434194521,100
1434194523,100
1434194525,100
1434194527,100
1434194529,100
1434194531,100
1434194533,100
1434194535,100
1434194537,100
1434194539,100
1434194541,100
1434194543,100
1434194545,100
1434194547,100
1434194549,100
1434194551,100
1434194553,100
1434194555,100
1434194557,100
1434194559,100
1434194561,100
1434194563,100
1434194565,100
1434194567,100
1434194569,100
1434194571,100
1434194573,100
1434194575,100
1434194577,100
1434194579,100
1434194581,100
1434194583,100
1434194585,100
1434194587,100
1434194589,100
1434194591,100
1434194593,100
1434194595,100
1434194597,100
1434194599,100
1434194601,100
1434194603,100
1434194605,100
1434194607,100
1434194609,100
1434194611,100
1434194613,100
1434194615,100
1434194617,100
1434194619,100
1434194621,100
1434194623,100
1434194625,100
1434194627,100
1434194629,100
1434194631,100
1434194633,100
1434194635,100
1434194637,100
1434194639,100
1434194641,100
1434194643,100
1434194645,100
1434194647,100
1434194649,100
1434194651,100
1434194653,100
1434194655,100
1434194657,100
1434194659,100
1434194661,100
1434194663,100
1434194665,100
1434194667,100
1434194669,100
1434194671,100
1434194673,100
1434194675,100
1434194677,100
1434194679,100
1434194681,100
1434194683,100
1434194685,100
1434194687,100
1434194689,100
1434194691,100
1434194693,100
1434194695,100
1434194697,100
1434194699,100
1434194701,100
1434194703,100
1434194705,100
1434194707,100
1434194709,100
1434194711,100
1434194713,100
1434194715,100
1434194717,100
1434194719,100
1434194721,100
1434194723,100
1434194725,100
1434194727,100
1434194729,100
1434194731,100
1434194733,100
1434194735,100
1434194737,100
1434194739,100
1434194741,100
1434194743,100
1434194745,100
1434194747,100
1434194749,100
1434194751,100
1434194753,100
1434194755,100
1434194757,100
1434194759,100
1434194761,100
1434194763,100
1434194765,100
1434194767,100
1434194769,100
1434194771,100
1434194773,100
1434194775,100
1434194777,100
1434194779,100
1434194781,100
1434194783,100
1434194785,100
1434194787,100
1434194789,100
1434194791,100
1434194793,100
1434194795,100
1434194797,100
1434194799,100
1434194801,100
1434194803,100
1434194805,100
1434194807,100
1434194809,100
1434194811,100
1434194813,100
1434194815,100
1434194817,100
1434194819,100
1434194821,100
1434194823,100
1434194825,100
1434194827,100
1434194829,100
1434194831,100
