t,value
1434194906,1
1434194908,1
1434194910,1
1434194912,2
1434194914,2
1434194916,3
1434194918,3
1434194920,4
1434194922,4
1434194924,4
1434194926,5
1434194928,5
1434194930,6
1434194932,6
1434194934,6
1434194936,7
1434194938,7
1434194940,8
1434194942,8
1434194944,8
1434194946,9
1434194948,9
1434194950,10
1434194952,10
1434194954,10
1434194956,11
1434194958,12
1434194960,13
1434194962,13
1434194964,13
1434194966,14
1434194968,14
1434194970,14
1434194972,15
1434194974,15
1434194976,16
1434194978,16
1434194980,17
1434194982,17
1434194984,17
1434194986,18
1434194988,18
1434194990,19
1434194992,19
1434194994,19
1434194996,20
1434194998,20
1434195000,21
1434195002,21
1434195004,21
1434195006,22
1434195008,22
1434195010,23
1434195012,23
1434195014,23
1434195016,24
1434195018,24
1434195020,25
1434195022,25
1434195024,25
1434195026,26
1434195028,26
1434195030,27
1434195032,27
1434195034,27
1434195036,28
1434195038,28
1434195040,29
1434195042,29
1434195044,29
1434195046,30
1434195048,30
1434195050,31
1434195052,31
1434195054,31
1434195056,32
1434195058,32
1434195060,33
1434195062,33
1434195064,33
1434195066,34
1434195068,34
1434195070,35
1434195072,35
1434195074,35
1434195076,36
1434195078,36
1434195080,37
1434195082,37
1434195084,37
1434195086,38
1434195088,38
1434195090,39
1434195092,39
1434195094,39
1434195096,40
1434195098,40
1434195100,41
1434195102,41
1434195104,41
1434195106,42
1434195108,42
1434195110,43
1434195112,43
1434195114,43
1434195116,44
1434195118,44
1434195120,45
1434195122,45
1434195124,45
1434195126,46
1434195128,46
1434195130,47
1434195132,47
1434195134,47
1434195136,48
1434195138,48
1434195140,49
1434195142,49
1434195144,49
1434195146,50
1434195148,50
1434195150,51
1434195152,51
1434195154,51
1434195156,52
1434195158,52
1434195160,53
1434195162,53
1434195164,53
1434195166,54
1434195168,54
1434195170,55
1434195172,55
1434195174,55
1434195176,56
1434195178,56
1434195180,57
1434195182,57
1434195184,57
1434195186,58
1434195188,58
1434195190,59
1434195192,59
1434195194,59
1434195196,60
1434195198,60
1434195200,61
1434195202,61
1434195204,61
1434195206,62
1434195208,62
1434195210,63
1434195212,63
1434195214,63
1434195216,64
1434195218,64
1434195220,65
1434195222,65
1434195224,65
1434195226,66
1434195228,66
1434195230,67
1434195232,67
1434195234,67
1434195236,68
1434195238,68
1434195240,69
1434195242,69
1434195244,69
1434195246,70
1434195248,70
1434195250,71
1434195252,71
1434195254,71
1434195256,72
1434195258,72
1434195260,73
1434195262,73
1434195264,73
1434195266,74
1434195268,74
1434195270,75
1434195272,75
1434195274,75
1434195276,76
1434195278,76
1434195280,77
1434195282,77
1434195284,77
1434195286,78
1434195288,78
1434195290,79
1434195292,79
1434195294,79
1434195296,80
1434195298,80
1434195300,81
1434195302,81
1434195304,81
1434195306,82
1434195308,82
1434195310,83
1434195312,83
1434195314,83
1434195316,84
1434195318,84
1434195320,85
1434195322,85
1434195324,85
1434195326,86
1434195328,86
1434195330,87
1434195332,87
1434195334,87
1434195336,88
1434195338,88
1434195340,89
1434195342,89
1434195344,89
1434195346,90
1434195348,90
1434195350,91
1434195352,91
