t,value
1434194906,1
1434194908,1
1434194910,1
1434194912,1
1434194914,1
1434194916,2
1434194918,2
1434194920,2
1434194922,2
1434194924,2
1434194926,2
1434194928,2
1434194930,2
1434194932,2
1434194934,2
1434194936,2
1434194938,2
1434194940,2
1434194942,2
1434194944,2
1434194946,2
1434194948,2
1434194950,2
1434194952,2
1434194954,2
1434194956,2
1434194958,2
1434194960,2
1434194962,2
1434194964,2
1434194966,3
1434194968,3
1434194970,3
1434194972,3
1434194974,3
1434194976,3
1434194978,3
1434194980,3
1434194982,3
1434194984,3
1434194986,4
1434194988,4
1434194990,4
1434194992,4
1434194994,4
1434194996,4
1434194998,4
1434195000,4
1434195002,4
1434195004,4
1434195006,5
1434195008,5
1434195010,5
1434195012,5
1434195014,5
1434195016,5
1434195018,5
1434195020,5
1434195022,5
1434195024,5
1434195026,6
1434195028,6
1434195030,6
1434195032,6
1434195034,6
1434195036,6
1434195038,6
1434195040,6
1434195042,7
1434195044,7
1434195046,7
1434195048,7
1434195050,7
1434195052,7
1434195054,7
1434195056,7
1434195058,7
1434195060,7
1434195062,8
1434195064,8
1434195066,8
1434195068,8
1434195070,8
1434195072,8
1434195074,8
1434195076,8
1434195078,8
1434195080,9
1434195082,9
1434195084,9
1434195086,9
1434195088,9
1434195090,9
1434195092,9
1434195094,9
1434195096,9
1434195098,9
1434195100,10
1434195102,10
1434195104,10
1434195106,10
1434195108,10
1434195110,10
1434195112,10
1434195114,10
1434195116,11
1434195118,11
1434195120,11
1434195122,11
1434195124,11
1434195126,11
1434195128,11
1434195130,11
1434195132,11
1434195134,11
1434195136,12
1434195138,12
1434195140,12
1434195142,12
1434195144,12
1434195146,12
1434195148,12
1434195150,12
1434195152,13
1434195154,13
1434195156,13
1434195158,13
1434195160,13
1434195162,13
1434195164,13
1434195166,13
1434195168,13
1434195170,13
1434195172,14
1434195174,14
1434195176,14
1434195178,14
1434195180,14
1434195182,14
1434195184,14
1434195186,14
1434195188,14
1434195190,15
1434195192,15
1434195194,15
1434195196,15
1434195198,15
1434195200,15
1434195202,15
1434195204,15
1434195206,16
1434195208,16
1434195210,16
1434195212,16
1434195214,16
1434195216,16
1434195218,16
1434195220,16
1434195222,16
1434195224,16
1434195226,17
1434195228,17
1434195230,17
1434195232,17
1434195234,17
1434195236,17
1434195238,17
1434195240,17
1434195242,17
1434195244,17
1434195246,18
1434195248,18
1434195250,18
1434195252,18
1434195254,18
1434195256,18
1434195258,18
1434195260,18
1434195262,18
1434195264,18
1434195266,19
1434195268,19
1434195270,19
1434195272,19
1434195274,19
1434195276,19
1434195278,19
1434195280,19
1434195282,19
1434195284,19
1434195286,20
1434195288,20
1434195290,20
1434195292,20
1434195294,20
1434195296,20
1434195298,20
1434195300,20
1434195302,20
1434195304,20
1434195306,21
1434195308,21
1434195310,21
1434195312,21
1434195314,21
1434195316,21
1434195318,21
1434195320,21
1434195322,21
1434195324,21
1434195326,22
1434195328,22
1434195330,22
1434195332,22
1434195334,22
1434195336,22
1434195338,22
1434195340,22
1434195342,22
1434195344,22
1434195346,22
1434195348,22
1434195350,23
1434195352,23
