t,value
1434194906,31195136
1434194908,31195136
1434194910,31195136
1434194912,31457280
1434194914,31457280
1434194916,31457280
1434194918,31719424
1434194920,31981568
1434194922,32505856
1434194924,32505856
1434194926,32505856
1434194928,32505856
1434194930,32505856
1434194932,32505856
1434194934,32505856
1434194936,32505856
1434194938,32505856
1434194940,32505856
1434194942,32505856
1434194944,32505856
1434194946,33030144
1434194948,33292288
1434194950,33292288
1434194952,33292288
1434194954,33292288
1434194956,33292288
1434194958,33816576
1434194960,33816576
1434194962,33816576
1434194964,33816576
1434194966,33816576
1434194968,33816576
1434194970,33816576
1434194972,34078720
1434194974,34078720
1434194976,34078720
1434194978,34078720
1434194980,34078720
1434194982,34078720
1434194984,34078720
1434194986,34078720
1434194988,34078720
1434194990,34078720
1434194992,34078720
1434194994,34078720
1434194996,34078720
1434194998,34078720
1434195000,34078720
1434195002,34340864
1434195004,34340864
1434195006,34340864
1434195008,34340864
1434195010,34340864
1434195012,34340864
1434195014,34340864
1434195016,34340864
1434195018,34340864
1434195020,34340864
1434195022,34340864
1434195024,34340864
1434195026,34340864
1434195028,34340864
1434195030,34340864
1434195032,34373632
1434195034,34373632
1434195036,34406400
1434195038,34406400
1434195040,34406400
1434195042,34471936
1434195044,34471936
1434195046,34471936
1434195048,34471936
1434195050,34471936
1434195052,34570240
1434195054,34603008
1434195056,34603008
1434195058,34603008
1434195060,34635776
1434195062,34635776
1434195064,34635776
1434195066,34668544
1434195068,34668544
1434195070,34668544
1434195072,34701312
1434195074,34701312
1434195076,34734080
1434195078,34734080
1434195080,34734080
1434195082,34799616
1434195084,34799616
1434195086,34799616
1434195088,34799616
1434195090,34832384
1434195092,34865152
1434195094,34865152
1434195096,34865152
1434195098,34865152
1434195100,34865152
1434195102,34865152
1434195104,34865152
1434195106,34897920
1434195108,34897920
1434195110,34897920
1434195112,34996224
1434195114,35028992
1434195116,35028992
1434195118,35028992
1434195120,35028992
1434195122,35028992
1434195124,35028992
1434195126,35061760
1434195128,35061760
1434195130,35061760
1434195132,35061760
1434195134,35094528
1434195136,35356672
1434195138,35356672
1434195140,35356672
1434195142,35356672
1434195144,35356672
1434195146,35356672
1434195148,35356672
1434195150,35356672
1434195152,35389440
1434195154,35389440
1434195156,35389440
1434195158,35389440
1434195160,35389440
1434195162,35389440
1434195164,35389440
1434195166,35422208
1434195168,35422208
1434195170,35422208
1434195172,35422208
1434195174,35422208
1434195176,35422208
1434195178,35454976
1434195180,35454976
1434195182,35454976
1434195184,35454976
1434195186,35487744
1434195188,35487744
1434195190,35487744
1434195192,35487744
1434195194,35487744
1434195196,35487744
1434195198,35487744
1434195200,35487744
1434195202,35487744
1434195204,35487744
1434195206,35520512
1434195208,35520512
1434195210,35520512
1434195212,35553280
1434195214,35553280
1434195216,35586048
1434195218,35586048
1434195220,35586048
1434195222,35586048
1434195224,35586048
1434195226,35618816
1434195228,35618816
1434195230,35618816
1434195232,35618816
1434195234,35618816
1434195236,35618816
1434195238,35618816
1434195240,35618816
1434195242,35651584
1434195244,35651584
1434195246,35651584
1434195248,35651584
1434195250,35651584
1434195252,35684352
1434195254,35684352
1434195256,35684352
1434195258,35684352
1434195260,35684352
1434195262,35684352
1434195264,35684352
1434195266,35684352
1434195268,35684352
1434195270,35684352
1434195272,35684352
1434195274,35684352
1434195276,35684352
1434195278,35684352
1434195280,35684352
1434195282,35684352
1434195284,35684352
1434195286,35749888
1434195288,35749888
1434195290,35782656
1434195292,35782656
1434195294,35848192
1434195296,35848192
1434195298,35848192
1434195300,35848192
1434195302,35848192
1434195304,35848192
1434195306,35946496
1434195308,35946496
1434195310,35946496
1434195312,35946496
1434195314,35946496
1434195316,35979264
1434195318,35979264
1434195320,35979264
1434195322,35979264
1434195324,35979264
1434195326,35979264
1434195328,35979264
1434195330,35979264
1434195332,35979264
1434195334,35979264
1434195336,35979264
1434195338,35979264
1434195340,35979264
1434195342,35979264
1434195344,35979264
1434195346,35979264
1434195348,35979264
1434195350,35979264
1434195352,36044800
