t,value
1434195095,0
1434195097,0
1434195099,1
1434195101,1
1434195103,1
1434195105,1
1434195107,1
1434195109,1
1434195111,1
1434195113,1
1434195115,1
1434195117,1
1434195119,1
1434195121,1
1434195123,1
1434195125,1
1434195127,1
1434195129,1
1434195131,1
1434195133,1
1434195135,1
1434195137,1
1434195139,1
1434195141,1
1434195143,1
1434195145,1
1434195147,1
1434195149,1
1434195151,1
1434195153,1
1434195155,1
1434195157,1
1434195159,1
1434195161,1
1434195163,1
1434195165,1
1434195167,1
1434195169,1
1434195171,1
1434195173,1
1434195175,1
1434195177,1
1434195179,1
1434195181,1
1434195183,1
1434195185,1
1434195187,1
1434195189,1
1434195191,1
1434195193,1
1434195195,1
1434195197,1
1434195199,1
1434195201,1
1434195203,1
1434195205,1
1434195207,1
1434195209,1
1434195211,1
1434195213,1
1434195215,1
1434195217,1
1434195219,1
1434195221,1
1434195223,1
1434195225,1
1434195227,1
1434195229,1
1434195231,1
1434195233,1
1434195235,1
1434195237,1
1434195239,1
1434195241,1
1434195243,1
1434195245,1
1434195247,1
1434195249,1
1434195251,1
1434195253,1
1434195255,1
1434195257,1
1434195259,1
1434195261,1
1434195263,1
1434195265,1
1434195267,1
1434195269,1
1434195271,1
1434195273,1
1434195275,1
1434195277,1
1434195279,1
1434195281,1
1434195283,1
1434195285,1
1434195287,1
1434195289,1
1434195291,1
1434195293,1
1434195295,1
1434195297,1
1434195299,1
1434195301,1
1434195303,1
1434195305,1
1434195307,1
1434195309,1
1434195311,1
1434195313,1
1434195315,1
1434195317,1
1434195319,1
1434195321,1
1434195323,1
1434195325,1
1434195327,1
1434195329,1
1434195331,1
1434195333,1
1434195335,1
1434195337,1
1434195339,1
1434195341,1
1434195343,1
1434195345,1
1434195347,1
