t,value
1434195095,385875968
1434195097,385875968
1434195099,385875968
1434195101,385875968
1434195103,385875968
1434195105,385875968
1434195107,385875968
1434195109,385875968
1434195111,385875968
1434195113,385875968
1434195115,385875968
1434195117,385875968
1434195119,385875968
1434195121,385875968
1434195123,385875968
1434195125,385875968
1434195127,385875968
1434195129,385875968
1434195131,385875968
1434195133,385875968
1434195135,385875968
1434195137,385875968
1434195139,385875968
1434195141,385875968
1434195143,385875968
1434195145,385875968
1434195147,385875968
1434195149,385875968
1434195151,385875968
1434195153,385875968
1434195155,385875968
1434195157,385875968
1434195159,385875968
1434195161,385875968
1434195163,385875968
1434195165,385875968
1434195167,385875968
1434195169,385875968
1434195171,385875968
1434195173,385875968
1434195175,385875968
1434195177,385875968
1434195179,385875968
1434195181,385875968
1434195183,385875968
1434195185,385875968
1434195187,385875968
1434195189,385875968
1434195191,385875968
1434195193,385875968
1434195195,385875968
1434195197,385875968
1434195199,385875968
1434195201,385875968
1434195203,385875968
1434195205,385875968
1434195207,385875968
1434195209,385875968
1434195211,385875968
1434195213,385875968
1434195215,385875968
1434195217,385875968
1434195219,385875968
1434195221,385875968
1434195223,385875968
1434195225,385875968
1434195227,385875968
1434195229,385875968
1434195231,385875968
1434195233,385875968
1434195235,385875968
1434195237,385875968
1434195239,385875968
1434195241,385875968
1434195243,385875968
1434195245,385875968
1434195247,385875968
1434195249,385875968
1434195251,385875968
1434195253,385875968
1434195255,385875968
1434195257,385875968
1434195259,385875968
1434195261,385875968
1434195263,385875968
1434195265,385875968
1434195267,385875968
1434195269,385875968
1434195271,385875968
1434195273,385875968
1434195275,385875968
1434195277,385875968
1434195279,385875968
1434195281,385875968
1434195283,385875968
1434195285,385875968
1434195287,385875968
1434195289,385875968
1434195291,385875968
1434195293,385875968
1434195295,385875968
1434195297,385875968
1434195299,385875968
1434195301,385875968
1434195303,385875968
1434195305,385875968
1434195307,385875968
1434195309,385875968
1434195311,385875968
1434195313,385875968
1434195315,385875968
1434195317,385875968
1434195319,385875968
1434195321,385875968
1434195323,385875968
1434195325,385875968
1434195327,385875968
1434195329,385875968
1434195331,385875968
1434195333,385875968
1434195335,385875968
1434195337,385875968
1434195339,385875968
1434195341,385875968
1434195343,385875968
1434195345,385875968
1434195347,385875968
