t,value
1434195855,0
1434195857,0
1434195859,0
1434195861,0
1434195863,0
1434195865,0
1434195867,0
1434195869,0
1434195871,0
1434195873,0
1434195875,0
1434195877,0
1434195879,0
1434195881,0
1434195883,0
1434195885,0
1434195887,0
1434195889,0
1434195891,0
1434195893,0
1434195895,0
1434195897,0
1434195899,0
1434195901,0
1434195903,0
1434195905,0
1434195907,0
1434195909,0
1434195911,0
1434195913,0
1434195915,0
1434195917,0
1434195919,0
1434195921,0
1434195923,0
1434195925,0
1434195927,0
1434195929,0
1434195931,0
1434195933,0
1434195935,0
1434195937,0
1434195939,0
1434195941,0
1434195943,0
1434195945,0
1434195947,0
1434195949,0
1434195951,0
1434195953,0
1434195955,0
1434195957,0
1434195959,0
1434195961,1
1434195963,1
1434195965,1
1434195967,1
1434195969,1
1434195971,0
1434195973,0
1434195975,1
1434195977,0
1434195979,0
1434195981,0
1434195983,0
1434195985,1
1434195987,0
1434195989,0
1434195991,0
1434195993,0
1434195995,1
1434195997,0
1434195999,0
1434196001,0
1434196003,0
1434196005,1
1434196007,0
1434196009,0
1434196011,0
1434196013,0
1434196015,1
1434196017,0
1434196019,0
1434196021,0
1434196023,0
1434196025,1
1434196027,0
1434196029,0
1434196031,0
1434196033,0
1434196035,1
1434196037,0
1434196039,0
1434196041,0
1434196043,0
1434196045,1
1434196047,0
1434196049,0
1434196051,0
1434196053,0
1434196055,1
1434196057,0
1434196059,0
1434196061,0
1434196063,0
1434196065,0
1434196067,0
1434196069,0
1434196071,0
1434196073,0
1434196075,1
1434196077,0
1434196079,0
1434196081,0
1434196083,0
1434196085,0
1434196087,0
1434196089,0
1434196091,0
1434196093,0
1434196095,1
1434196097,0
1434196099,0
1434196101,0
1434196103,0
1434196105,1
1434196107,0
1434196109,0
1434196111,0
1434196113,0
1434196115,1
