t,value
1434195855,0
1434195857,0
1434195859,0
1434195861,1
1434195863,1
1434195865,2
1434195867,2
1434195869,2
1434195871,3
1434195873,3
1434195875,4
1434195877,4
1434195879,4
1434195881,5
1434195883,5
1434195885,6
1434195887,6
1434195889,6
1434195891,7
1434195893,7
1434195895,8
1434195897,8
1434195899,8
1434195901,9
1434195903,9
1434195905,10
1434195907,10
1434195909,10
1434195911,11
1434195913,11
1434195915,12
1434195917,12
1434195919,12
1434195921,13
1434195923,13
1434195925,14
1434195927,14
1434195929,14
1434195931,15
1434195933,15
1434195935,16
1434195937,16
1434195939,16
1434195941,17
1434195943,17
1434195945,18
1434195947,18
1434195949,18
1434195951,19
1434195953,19
1434195955,20
1434195957,20
1434195959,20
1434195961,20
1434195963,20
1434195965,20
1434195967,20
1434195969,21
1434195971,23
1434195973,23
1434195975,23
1434195977,24
1434195979,24
1434195981,25
1434195983,25
1434195985,25
1434195987,26
1434195989,26
1434195991,27
1434195993,27
1434195995,27
1434195997,28
1434195999,28
1434196001,29
1434196003,29
1434196005,29
1434196007,30
1434196009,30
1434196011,31
1434196013,31
1434196015,31
1434196017,32
1434196019,32
1434196021,33
1434196023,33
1434196025,33
1434196027,34
1434196029,34
1434196031,35
1434196033,35
1434196035,35
1434196037,36
1434196039,36
1434196041,37
1434196043,37
1434196045,37
1434196047,38
1434196049,38
1434196051,39
1434196053,39
1434196055,39
1434196057,40
1434196059,40
1434196061,41
1434196063,41
1434196065,42
1434196067,42
1434196069,42
1434196071,43
1434196073,43
1434196075,43
1434196077,44
1434196079,44
1434196081,45
1434196083,45
1434196085,46
1434196087,46
1434196089,46
1434196091,47
1434196093,47
1434196095,47
1434196097,48
1434196099,48
1434196101,49
1434196103,49
1434196105,49
1434196107,50
1434196109,50
1434196111,51
1434196113,51
1434196115,51
