t,value
1434195855,0
1434195857,0
1434195859,0
1434195861,0
1434195863,0
1434195865,0
1434195867,0
1434195869,0
1434195871,0
1434195873,0
1434195875,0
1434195877,0
1434195879,0
1434195881,0
1434195883,0
1434195885,0
1434195887,0
1434195889,0
1434195891,0
1434195893,0
1434195895,0
1434195897,0
1434195899,0
1434195901,0
1434195903,0
1434195905,0
1434195907,0
1434195909,0
1434195911,0
1434195913,0
1434195915,0
1434195917,0
1434195919,0
1434195921,0
1434195923,0
1434195925,0
1434195927,0
1434195929,0
1434195931,0
1434195933,0
1434195935,0
1434195937,0
1434195939,0
1434195941,0
1434195943,0
1434195945,0
1434195947,0
1434195949,0
1434195951,0
1434195953,0
1434195955,0
1434195957,0
1434195959,0
1434195961,0
1434195963,0
1434195965,0
1434195967,0
1434195969,154
1434195971,591
1434195973,591
1434195975,591
1434195977,801
1434195979,801
1434195981,1006
1434195983,1006
1434195985,1006
1434195987,1225
1434195989,1225
1434195991,1433
1434195993,1433
1434195995,1433
1434195997,1639
1434195999,1639
1434196001,1843
1434196003,1843
1434196005,1843
1434196007,2068
1434196009,2068
1434196011,2249
1434196013,2249
1434196015,2249
1434196017,2458
1434196019,2458
1434196021,2648
1434196023,2648
1434196025,2648
1434196027,2878
1434196029,2878
1434196031,3091
1434196033,3091
1434196035,3091
1434196037,3319
1434196039,3319
1434196041,3542
1434196043,3542
1434196045,3542
1434196047,3758
1434196049,3758
1434196051,3977
1434196053,3977
1434196055,3977
1434196057,4185
1434196059,4185
1434196061,4368
1434196063,4368
1434196065,4554
1434196067,4554
1434196069,4554
1434196071,4765
1434196073,4765
1434196075,4765
1434196077,4983
1434196079,4983
1434196081,5191
1434196083,5191
1434196085,5418
1434196087,5418
1434196089,5418
1434196091,5651
1434196093,5651
1434196095,5651
1434196097,5861
1434196099,5861
1434196101,6097
1434196103,6097
1434196105,6097
1434196107,6307
1434196109,6307
1434196111,6498
1434196113,6498
1434196115,6498
