t,value
1434195855,421789696
1434195857,421789696
1434195859,421789696
1434195861,421789696
1434195863,421789696
1434195865,421789696
1434195867,421789696
1434195869,421789696
1434195871,421789696
1434195873,421789696
1434195875,421789696
1434195877,421789696
1434195879,421789696
1434195881,421789696
1434195883,421789696
1434195885,421789696
1434195887,421789696
1434195889,421789696
1434195891,421789696
1434195893,421789696
1434195895,421789696
1434195897,421789696
1434195899,421789696
1434195901,421789696
1434195903,421789696
1434195905,421789696
1434195907,421789696
1434195909,421789696
1434195911,421789696
1434195913,421789696
1434195915,421789696
1434195917,421789696
1434195919,421789696
1434195921,421789696
1434195923,421789696
1434195925,421789696
1434195927,421789696
1434195929,421789696
1434195931,421789696
1434195933,421789696
1434195935,421789696
1434195937,421789696
1434195939,421789696
1434195941,421789696
1434195943,421789696
1434195945,421789696
1434195947,421789696
1434195949,421789696
1434195951,421789696
1434195953,421789696
1434195955,421789696
1434195957,421789696
1434195959,421789696
1434195961,421789696
1434195963,421789696
1434195965,421789696
1434195967,421789696
1434195969,421789696
1434195971,421789696
1434195973,421789696
1434195975,421789696
1434195977,421789696
1434195979,421789696
1434195981,421789696
1434195983,421789696
1434195985,421789696
1434195987,421789696
1434195989,421789696
1434195991,421789696
1434195993,421789696
1434195995,421789696
1434195997,421789696
1434195999,421789696
1434196001,421789696
1434196003,421789696
1434196005,421789696
1434196007,421789696
1434196009,421789696
1434196011,421789696
1434196013,421789696
1434196015,421789696
1434196017,421789696
1434196019,421789696
1434196021,421789696
1434196023,421789696
1434196025,421789696
1434196027,421789696
1434196029,421789696
1434196031,421789696
1434196033,421789696
1434196035,421789696
1434196037,421789696
1434196039,421789696
1434196041,421789696
1434196043,421789696
1434196045,421789696
1434196047,421789696
1434196049,421789696
1434196051,421789696
1434196053,421789696
1434196055,421789696
1434196057,421789696
1434196059,421789696
1434196061,421789696
1434196063,421789696
1434196065,421789696
1434196067,421789696
1434196069,421789696
1434196071,421789696
1434196073,421789696
1434196075,421789696
1434196077,421789696
1434196079,421789696
1434196081,421789696
1434196083,421789696
1434196085,421789696
1434196087,421789696
1434196089,421789696
1434196091,421789696
1434196093,421789696
1434196095,421789696
1434196097,421789696
1434196099,421789696
1434196101,421789696
1434196103,421789696
1434196105,421789696
1434196107,421789696
1434196109,421789696
1434196111,421789696
1434196113,421789696
1434196115,421789696
