t,value
1434196026,0
1434196028,0
1434196030,1
1434196032,1
1434196034,1
1434196036,1
1434196038,1
1434196040,1
1434196042,1
1434196044,1
1434196046,1
1434196048,1
1434196050,1
1434196052,1
1434196054,1
1434196056,1
1434196058,1
1434196060,1
1434196062,1
1434196064,1
1434196066,1
1434196068,1
1434196070,1
1434196072,1
1434196074,1
1434196076,1
1434196078,1
1434196080,1
1434196082,1
1434196084,1
1434196086,1
1434196088,1
1434196090,1
1434196092,1
1434196094,1
1434196096,1
1434196098,1
1434196100,1
1434196102,1
1434196104,1
1434196106,1
1434196108,1
1434196110,1
1434196112,1
1434196114,1
1434196116,1
1434196118,1
1434196120,1
1434196122,1
