t,value
1434196026,19136512
1434196028,19136512
1434196030,19136512
1434196032,19136512
1434196034,19136512
1434196036,19136512
1434196038,19136512
1434196040,19136512
1434196042,19136512
1434196044,19136512
1434196046,19136512
1434196048,19136512
1434196050,19136512
1434196052,19136512
1434196054,19136512
1434196056,19136512
1434196058,19136512
1434196060,19136512
1434196062,19136512
1434196064,19136512
1434196066,19136512
1434196068,19136512
1434196070,19136512
1434196072,19136512
1434196074,19136512
1434196076,19136512
1434196078,19136512
1434196080,19136512
1434196082,19136512
1434196084,19136512
1434196086,19136512
1434196088,19136512
1434196090,19136512
1434196092,19136512
1434196094,19136512
1434196096,19136512
1434196098,19136512
1434196100,19136512
1434196102,19136512
1434196104,19136512
1434196106,19136512
1434196108,19136512
1434196110,19136512
1434196112,19136512
1434196114,19136512
1434196116,19136512
1434196118,19136512
1434196120,19136512
1434196122,19136512
