t,value
1434196026,123620552
1434196028,62528680
1434196030,77964512
1434196032,79125944
1434196034,79533096
1434196036,79940112
1434196038,80349192
1434196040,80886632
1434196042,81295120
1434196044,81930944
1434196046,83359848
1434196048,83760040
1434196050,84290920
1434196052,84690552
1434196054,85090288
1434196056,85493440
1434196058,85894976
1434196060,86423080
1434196062,86822880
1434196064,87224504
1434196066,87626120
1434196068,88027904
1434196070,88557216
1434196072,88956488
1434196074,89359480
1434196076,89759640
1434196078,90161616
1434196080,90689440
1434196082,91090424
1434196084,91491872
1434196086,91890520
1434196088,92289328
1434196090,92817024
1434196092,93218152
1434196094,93671016
1434196096,94070264
1434196098,94462320
1434196100,94965128
1434196102,95365344
1434196104,95764784
1434196106,96155576
1434196108,96683440
1434196110,97081944
1434196112,98157040
1434196114,98564712
1434196116,99075408
1434196118,100927312
1434196120,101323976
1434196122,101723624
