t,value
1434196665,0
1434196667,0
1434196669,0
1434196671,0
1434196673,0
1434196675,0
1434196677,0
1434196679,0
1434196681,0
1434196683,0
1434196685,0
1434196687,0
1434196689,0
1434196691,0
1434196693,0
1434196695,0
1434196697,0
1434196699,0
1434196701,0
1434196703,0
1434196705,0
1434196707,0
1434196709,0
1434196711,0
1434196713,0
1434196715,0
1434196717,0
1434196719,0
1434196721,0
1434196723,0
1434196725,0
1434196727,0
1434196729,0
1434196731,0
1434196733,0
1434196735,0
1434196737,0
1434196739,0
1434196741,0
1434196743,0
1434196745,0
1434196747,0
1434196749,0
1434196751,0
1434196753,0
1434196755,0
1434196757,0
1434196759,0
1434196761,0
1434196763,0
1434196765,0
1434196767,0
1434196769,0
1434196771,1
1434196773,1
1434196775,1
1434196777,1
1434196779,1
1434196781,1
1434196783,1
1434196785,1
1434196787,1
1434196789,1
1434196791,1
1434196793,1
1434196795,1
1434196797,1
1434196799,1
1434196801,1
1434196803,1
1434196805,1
1434196807,1
1434196809,2
1434196811,1
1434196813,2
1434196815,1
1434196817,1
1434196819,2
1434196821,1
1434196823,2
1434196825,1
1434196827,1
1434196829,2
1434196831,1
1434196833,1
1434196835,1
1434196837,1
1434196839,2
1434196841,1
1434196843,2
1434196845,1
1434196847,1
1434196849,2
1434196851,1
1434196853,1
1434196855,1
1434196857,1
1434196859,2
1434196861,1
1434196863,1
1434196865,1
1434196867,1
1434196869,2
1434196871,1
1434196873,1
1434196875,1
1434196877,1
1434196879,2
1434196881,1
1434196883,1
1434196885,1
1434196887,1
1434196889,1
1434196891,1
1434196893,1
1434196895,1
1434196897,1
1434196899,1
1434196901,1
1434196903,1
1434196905,1
1434196907,1
1434196909,1
1434196911,1
1434196913,1
1434196915,1
1434196917,1
1434196919,1
1434196921,1
1434196923,1
1434196925,1
1434196927,1
1434196929,1
1434196931,1
1434196933,1
1434196935,1
1434196937,1
1434196939,2
1434196941,1
1434196943,1
1434196945,1
1434196947,1
1434196949,1
1434196951,1
1434196953,1
1434196955,1
1434196957,1
1434196959,1
