t,value
1434196665,0
1434196667,0
1434196669,0
1434196671,0
1434196673,0
1434196675,0
1434196677,0
1434196679,0
1434196681,0
1434196683,0
1434196685,0
1434196687,0
1434196689,0
1434196691,0
1434196693,0
1434196695,0
1434196697,0
1434196699,0
1434196701,0
1434196703,0
1434196705,0
1434196707,0
1434196709,0
1434196711,0
1434196713,0
1434196715,0
1434196717,0
1434196719,0
1434196721,0
1434196723,0
1434196725,0
1434196727,0
1434196729,0
1434196731,0
1434196733,0
1434196735,0
1434196737,0
1434196739,0
1434196741,0
1434196743,0
1434196745,0
1434196747,0
1434196749,0
1434196751,0
1434196753,0
1434196755,0
1434196757,0
1434196759,0
1434196761,0
1434196763,0
1434196765,0
1434196767,0
1434196769,0
1434196771,0
1434196773,0
1434196775,0
1434196777,0
1434196779,0
1434196781,0
1434196783,0
1434196785,0
1434196787,0
1434196789,0
1434196791,0
1434196793,0
1434196795,0
1434196797,0
1434196799,0
1434196801,0
1434196803,0
1434196805,0
1434196807,0
1434196809,0
1434196811,0
1434196813,0
1434196815,0
1434196817,0
1434196819,0
1434196821,0
1434196823,0
1434196825,0
1434196827,0
1434196829,0
1434196831,0
1434196833,0
1434196835,0
1434196837,0
1434196839,0
1434196841,0
1434196843,0
1434196845,0
1434196847,0
1434196849,0
1434196851,0
1434196853,0
1434196855,0
1434196857,0
1434196859,0
1434196861,0
1434196863,0
1434196865,0
1434196867,0
1434196869,0
1434196871,0
1434196873,0
1434196875,0
1434196877,0
1434196879,0
1434196881,0
1434196883,0
1434196885,0
1434196887,0
1434196889,0
1434196891,0
1434196893,0
1434196895,0
1434196897,0
1434196899,0
1434196901,0
1434196903,0
1434196905,0
1434196907,0
1434196909,0
1434196911,0
1434196913,0
1434196915,0
1434196917,0
1434196919,0
1434196921,0
1434196923,0
1434196925,0
1434196927,0
1434196929,0
1434196931,0
1434196933,0
1434196935,0
1434196937,0
1434196939,0
1434196941,0
1434196943,0
1434196945,0
1434196947,0
1434196949,0
1434196951,0
1434196953,0
1434196955,0
1434196957,0
1434196959,0
