t,value
1434196665,402653184
1434196667,402653184
1434196669,402653184
1434196671,402653184
1434196673,402653184
1434196675,402653184
1434196677,402653184
1434196679,402653184
1434196681,402653184
1434196683,402653184
1434196685,402653184
1434196687,402653184
1434196689,402653184
1434196691,402653184
1434196693,402653184
1434196695,402653184
1434196697,402653184
1434196699,402653184
1434196701,402653184
1434196703,402653184
1434196705,402653184
1434196707,402653184
1434196709,402653184
1434196711,402653184
1434196713,402653184
1434196715,402653184
1434196717,402653184
1434196719,402653184
1434196721,402653184
1434196723,402653184
1434196725,402653184
1434196727,402653184
1434196729,402653184
1434196731,402653184
1434196733,402653184
1434196735,402653184
1434196737,402653184
1434196739,402653184
1434196741,402653184
1434196743,402653184
1434196745,402653184
1434196747,402653184
1434196749,402653184
1434196751,402653184
1434196753,402653184
1434196755,402653184
1434196757,402653184
1434196759,402653184
1434196761,402653184
1434196763,402653184
1434196765,402653184
1434196767,402653184
1434196769,402653184
1434196771,402653184
1434196773,402653184
1434196775,402653184
1434196777,402653184
1434196779,402653184
1434196781,402653184
1434196783,402653184
1434196785,402653184
1434196787,402653184
1434196789,402653184
1434196791,402653184
1434196793,402653184
1434196795,402653184
1434196797,402653184
1434196799,402653184
1434196801,402653184
1434196803,402653184
1434196805,402653184
1434196807,402653184
1434196809,402653184
1434196811,402653184
1434196813,402653184
1434196815,402653184
1434196817,402653184
1434196819,402653184
1434196821,402653184
1434196823,402653184
1434196825,402653184
1434196827,402653184
1434196829,402653184
1434196831,402653184
1434196833,402653184
1434196835,402653184
1434196837,402653184
1434196839,402653184
1434196841,402653184
1434196843,402653184
1434196845,402653184
1434196847,402653184
1434196849,402653184
1434196851,402653184
1434196853,402653184
1434196855,402653184
1434196857,402653184
1434196859,402653184
1434196861,402653184
1434196863,402653184
1434196865,402653184
1434196867,402653184
1434196869,402653184
1434196871,402653184
1434196873,402653184
1434196875,402653184
1434196877,402653184
1434196879,402653184
1434196881,402653184
1434196883,402653184
1434196885,402653184
1434196887,402653184
1434196889,402653184
1434196891,402653184
1434196893,402653184
1434196895,402653184
1434196897,402653184
1434196899,402653184
1434196901,402653184
1434196903,402653184
1434196905,402653184
1434196907,402653184
1434196909,402653184
1434196911,402653184
1434196913,402653184
1434196915,402653184
1434196917,402653184
1434196919,402653184
1434196921,402653184
1434196923,402653184
1434196925,402653184
1434196927,402653184
1434196929,402653184
1434196931,402653184
1434196933,402653184
1434196935,402653184
1434196937,402653184
1434196939,402653184
1434196941,402653184
1434196943,402653184
1434196945,402653184
1434196947,402653184
1434196949,402653184
1434196951,402653184
1434196953,402653184
1434196955,402653184
1434196957,402653184
1434196959,402653184
