t,value
1434197227,-1
1434197229,-1
1434197231,29
1434197233,29
1434197235,4
1434197237,4
1434197239,4
1434197241,4
1434197243,4
1434197245,4
1434197247,4
1434197249,4
1434197251,4
1434197253,4
1434197255,2
1434197257,2
1434197259,2
1434197261,5
1434197263,5
1434197265,7
1434197267,7
1434197269,7
1434197271,9
1434197273,9
1434197275,5
1434197277,5
1434197279,5
1434197281,5
1434197283,5
1434197285,3
1434197287,3
1434197289,3
1434197291,4
1434197293,4
1434197295,5
1434197297,5
1434197299,5
1434197301,4
1434197303,4
1434197305,4
1434197307,4
1434197309,4
1434197311,4
1434197313,4
1434197315,5
1434197317,5
1434197319,5
1434197321,3
1434197323,3
1434197325,3
1434197327,3
1434197329,3
1434197331,6262
1434197333,6262
1434197335,6262
1434197337,594
1434197339,594
1434197341,425
1434197343,425
1434197345,351
1434197347,351
1434197349,351
1434197351,321
1434197353,321
1434197355,417
1434197357,417
1434197359,417
1434197361,309
1434197363,309
1434197365,271
1434197367,271
1434197369,271
1434197371,274
1434197373,274
1434197375,441
1434197377,441
1434197379,441
1434197381,340
1434197383,340
1434197385,411
1434197387,411
1434197389,411
1434197391,370
1434197393,370
1434197395,340
1434197397,340
1434197399,340
1434197401,313
1434197403,313
1434197405,385
1434197407,385
1434197409,385
1434197411,306
1434197413,306
1434197415,319
1434197417,319
1434197419,319
1434197421,334
1434197423,334
1434197425,306
1434197427,306
1434197429,306
1434197431,394
1434197433,394
1434197435,316
1434197437,316
1434197439,316
1434197441,304
1434197443,304
1434197445,258
1434197447,258
1434197449,258
1434197451,290
1434197453,290
1434197455,330
1434197457,330
1434197459,330
1434197461,261
1434197463,261
1434197465,281
1434197467,281
1434197469,281
1434197471,344
1434197473,344
1434197475,304
1434197477,304
1434197479,304
1434197481,314
1434197483,314
1434197485,301
1434197487,301
1434197489,301
1434197491,278
1434197493,278
1434197495,296
1434197497,296
1434197499,296
1434197501,290
1434197503,290
1434197505,279
1434197507,279
1434197509,279
1434197511,266
1434197513,266
1434197515,339
1434197517,339
1434197519,339
1434197521,412
1434197523,412
1434197525,276
1434197527,276
1434197529,276
1434197531,284
1434197533,284
1434197535,291
1434197537,291
1434197539,291
1434197541,347
1434197543,347
1434197545,286
1434197547,286
1434197549,286
1434197551,265
1434197553,265
1434197555,290
1434197557,290
1434197559,290
1434197561,242
1434197563,242
1434197565,284
1434197567,284
1434197569,284
1434197571,323
1434197573,323
1434197575,249
1434197577,249
1434197579,249
1434197581,213
1434197583,213
1434197585,290
1434197587,290
1434197589,290
1434197591,277
1434197593,277
1434197595,284
1434197597,284
1434197599,284
1434197601,313
1434197603,313
1434197605,239
1434197607,239
1434197609,239
1434197611,276
1434197613,276
1434197615,262
1434197617,262
1434197619,262
1434197621,309
1434197623,309
1434197625,247
1434197627,247
1434197629,247
1434197631,226
1434197633,226
1434197635,251
1434197637,251
1434197639,251
1434197641,250
1434197643,250
1434197645,313
1434197647,313
1434197649,313
1434197651,280
1434197653,280
1434197655,288
1434197657,288
1434197659,288
1434197661,282
1434197663,282
1434197665,261
1434197667,261
1434197669,261
1434197671,248
1434197673,248
1434197675,231
1434197677,231
1434197679,231
1434197681,242
1434197683,242
1434197685,254
1434197687,254
1434197689,254
1434197691,219
1434197693,219
1434197695,235
1434197697,235
1434197699,235
1434197701,223
1434197703,223
1434197705,297
1434197707,297
1434197709,297
1434197711,261
1434197713,261
1434197715,204
1434197717,204
1434197719,204
1434197721,231
1434197723,231
1434197725,272
1434197727,272
1434197729,272
1434197731,246
1434197733,246
1434197735,326
1434197737,326
1434197739,326
1434197741,243
1434197743,243
1434197745,215
1434197747,215
1434197749,215
1434197751,192
1434197753,192
1434197755,234
1434197757,234
1434197759,234
1434197761,189
1434197763,189
1434197765,224
1434197767,224
1434197769,224
1434197771,238
1434197773,238
1434197775,223
1434197777,223
1434197779,223
1434197781,230
1434197783,230
1434197785,191
1434197787,191
1434197789,191
1434197791,244
1434197793,244
1434197795,222
1434197797,222
1434197799,222
1434197801,208
1434197803,208
1434197805,201
1434197807,201
1434197809,201
1434197811,223
1434197813,223
1434197815,202
