t,value
1434197227,-1
1434197229,-1
1434197231,14
1434197233,14
1434197235,1
1434197237,1
1434197239,1
1434197241,1
1434197243,1
1434197245,1
1434197247,1
1434197249,1
1434197251,1
1434197253,1
1434197255,4
1434197257,4
1434197259,4
1434197261,1
1434197263,1
1434197265,0
1434197267,0
1434197269,0
1434197271,0
1434197273,0
1434197275,0
1434197277,0
1434197279,0
1434197281,0
1434197283,0
1434197285,1
1434197287,1
1434197289,1
1434197291,0
1434197293,0
1434197295,0
1434197297,0
1434197299,0
1434197301,0
1434197303,0
1434197305,0
1434197307,0
1434197309,0
1434197311,0
1434197313,0
1434197315,0
1434197317,0
1434197319,0
1434197321,1
1434197323,1
1434197325,1
1434197327,1
1434197329,1
1434197331,1
1434197333,1
1434197335,1
1434197337,2048
1434197339,2048
1434197341,1
1434197343,1
1434197345,0
1434197347,0
1434197349,0
1434197351,0
1434197353,0
1434197355,2
1434197357,2
1434197359,2
1434197361,0
1434197363,0
1434197365,1
1434197367,1
1434197369,1
1434197371,0
1434197373,0
1434197375,0
1434197377,0
1434197379,0
1434197381,5
1434197383,5
1434197385,3
1434197387,3
1434197389,3
1434197391,1
1434197393,1
1434197395,1
1434197397,1
1434197399,1
1434197401,0
1434197403,0
1434197405,0
1434197407,0
1434197409,0
1434197411,0
1434197413,0
1434197415,1
1434197417,1
1434197419,1
1434197421,1
1434197423,1
1434197425,0
1434197427,0
1434197429,0
1434197431,0
1434197433,0
1434197435,3
1434197437,3
1434197439,3
1434197441,0
1434197443,0
1434197445,0
1434197447,0
1434197449,0
1434197451,0
1434197453,0
1434197455,0
1434197457,0
1434197459,0
1434197461,1
1434197463,1
1434197465,0
1434197467,0
1434197469,0
1434197471,0
1434197473,0
1434197475,1
1434197477,1
1434197479,1
1434197481,3
1434197483,3
1434197485,0
1434197487,0
1434197489,0
1434197491,1
1434197493,1
1434197495,0
1434197497,0
1434197499,0
1434197501,0
1434197503,0
1434197505,2
1434197507,2
1434197509,2
1434197511,0
1434197513,0
1434197515,0
1434197517,0
1434197519,0
1434197521,0
1434197523,0
1434197525,1
1434197527,1
1434197529,1
1434197531,0
1434197533,0
1434197535,0
1434197537,0
1434197539,0
1434197541,1
1434197543,1
1434197545,2
1434197547,2
1434197549,2
1434197551,0
1434197553,0
1434197555,0
1434197557,0
1434197559,0
1434197561,0
1434197563,0
1434197565,1
1434197567,1
1434197569,1
1434197571,0
1434197573,0
1434197575,1
1434197577,1
1434197579,1
1434197581,0
1434197583,0
1434197585,0
1434197587,0
1434197589,0
1434197591,1
1434197593,1
1434197595,0
1434197597,0
1434197599,0
1434197601,0
1434197603,0
1434197605,1
1434197607,1
1434197609,1
1434197611,0
1434197613,0
1434197615,0
1434197617,0
1434197619,0
1434197621,0
1434197623,0
1434197625,0
1434197627,0
1434197629,0
1434197631,0
1434197633,0
1434197635,0
1434197637,0
1434197639,0
1434197641,2
1434197643,2
1434197645,1
1434197647,1
1434197649,1
1434197651,1
1434197653,1
1434197655,0
1434197657,0
1434197659,0
1434197661,0
1434197663,0
1434197665,1
1434197667,1
1434197669,1
1434197671,0
1434197673,0
1434197675,0
1434197677,0
1434197679,0
1434197681,1
1434197683,1
1434197685,1
1434197687,1
1434197689,1
1434197691,1
1434197693,1
1434197695,1
1434197697,1
1434197699,1
1434197701,0
1434197703,0
1434197705,1
1434197707,1
1434197709,1
1434197711,0
1434197713,0
1434197715,1
1434197717,1
1434197719,1
1434197721,0
1434197723,0
1434197725,1
1434197727,1
1434197729,1
1434197731,1
1434197733,1
1434197735,0
1434197737,0
1434197739,0
1434197741,0
1434197743,0
1434197745,1
1434197747,1
1434197749,1
1434197751,0
1434197753,0
1434197755,0
1434197757,0
1434197759,0
1434197761,0
1434197763,0
1434197765,0
1434197767,0
1434197769,0
1434197771,0
1434197773,0
1434197775,1
1434197777,1
1434197779,1
1434197781,1
1434197783,1
1434197785,0
1434197787,0
1434197789,0
1434197791,1
1434197793,1
1434197795,1
1434197797,1
1434197799,1
1434197801,0
1434197803,0
1434197805,3
1434197807,3
1434197809,3
1434197811,0
1434197813,0
1434197815,1
