t,value
1434197227,0
1434197229,0
1434197231,0
1434197233,0
1434197235,0
1434197237,0
1434197239,0
1434197241,0
1434197243,0
1434197245,0
1434197247,0
1434197249,0
1434197251,0
1434197253,0
1434197255,0
1434197257,0
1434197259,0
1434197261,0
1434197263,0
1434197265,0
1434197267,0
1434197269,0
1434197271,0
1434197273,0
1434197275,0
1434197277,0
1434197279,0
1434197281,0
1434197283,0
1434197285,0
1434197287,0
1434197289,0
1434197291,0
1434197293,0
1434197295,0
1434197297,0
1434197299,0
1434197301,0
1434197303,0
1434197305,0
1434197307,0
1434197309,0
1434197311,0
1434197313,0
1434197315,0
1434197317,0
1434197319,0
1434197321,0
1434197323,0
1434197325,6
1434197327,6
1434197329,6
1434197331,110
1434197333,110
1434197335,110
1434197337,377
1434197339,377
1434197341,234
1434197343,234
1434197345,243
1434197347,243
1434197349,243
1434197351,241
1434197353,241
1434197355,216
1434197357,216
1434197359,216
1434197361,231
1434197363,231
1434197365,212
1434197367,212
1434197369,212
1434197371,216
1434197373,216
1434197375,245
1434197377,245
1434197379,245
1434197381,215
1434197383,215
1434197385,230
1434197387,230
1434197389,230
1434197391,214
1434197393,214
1434197395,234
1434197397,234
1434197399,234
1434197401,241
1434197403,241
1434197405,219
1434197407,219
1434197409,219
1434197411,252
1434197413,252
1434197415,263
1434197417,263
1434197419,263
1434197421,253
1434197423,253
1434197425,215
1434197427,215
1434197429,215
1434197431,246
1434197433,246
1434197435,246
1434197437,246
1434197439,246
1434197441,252
1434197443,252
1434197445,243
1434197447,243
1434197449,243
1434197451,212
1434197453,212
1434197455,233
1434197457,233
1434197459,233
1434197461,208
1434197463,208
1434197465,214
1434197467,214
1434197469,214
1434197471,260
1434197473,260
1434197475,239
1434197477,239
1434197479,239
1434197481,237
1434197483,237
1434197485,210
1434197487,210
1434197489,210
1434197491,206
1434197493,206
1434197495,219
1434197497,219
1434197499,219
1434197501,256
1434197503,256
1434197505,225
1434197507,225
1434197509,225
1434197511,220
1434197513,220
1434197515,204
1434197517,204
1434197519,204
1434197521,220
1434197523,220
1434197525,243
1434197527,243
1434197529,243
1434197531,278
1434197533,278
1434197535,229
1434197537,229
1434197539,229
1434197541,241
1434197543,241
1434197545,265
1434197547,265
1434197549,265
1434197551,227
1434197553,227
1434197555,233
1434197557,233
1434197559,233
1434197561,243
1434197563,243
1434197565,262
1434197567,262
1434197569,262
1434197571,269
1434197573,269
1434197575,224
1434197577,224
1434197579,224
1434197581,193
1434197583,193
1434197585,261
1434197587,261
1434197589,261
1434197591,232
1434197593,232
1434197595,271
1434197597,271
1434197599,271
1434197601,256
1434197603,256
1434197605,206
1434197607,206
1434197609,206
1434197611,229
1434197613,229
1434197615,208
1434197617,208
1434197619,208
1434197621,233
1434197623,233
1434197625,225
1434197627,225
1434197629,225
1434197631,207
1434197633,207
1434197635,216
1434197637,216
1434197639,216
1434197641,209
1434197643,209
1434197645,276
1434197647,276
1434197649,276
1434197651,268
1434197653,268
1434197655,251
1434197657,251
1434197659,251
1434197661,223
1434197663,223
1434197665,222
1434197667,222
1434197669,222
1434197671,222
1434197673,222
1434197675,228
1434197677,228
1434197679,228
1434197681,213
1434197683,213
1434197685,240
1434197687,240
1434197689,240
1434197691,207
1434197693,207
1434197695,239
1434197697,239
1434197699,239
1434197701,243
1434197703,243
1434197705,261
1434197707,261
1434197709,261
1434197711,268
1434197713,268
1434197715,258
1434197717,258
1434197719,258
1434197721,269
1434197723,269
1434197725,240
1434197727,240
1434197729,240
1434197731,255
1434197733,255
1434197735,245
1434197737,245
1434197739,245
1434197741,247
1434197743,247
1434197745,240
1434197747,240
1434197749,240
1434197751,222
1434197753,222
1434197755,222
1434197757,222
1434197759,222
1434197761,245
1434197763,245
1434197765,239
1434197767,239
1434197769,239
1434197771,243
1434197773,243
1434197775,212
1434197777,212
1434197779,212
1434197781,273
1434197783,273
1434197785,214
1434197787,214
1434197789,214
1434197791,226
1434197793,226
1434197795,222
1434197797,222
1434197799,222
1434197801,200
1434197803,200
1434197805,217
1434197807,217
1434197809,217
1434197811,231
1434197813,231
1434197815,216
