t,value
1434197385,198
1434197387,198
1434197389,198
1434197391,198
1434197393,198
1434197395,198
1434197397,198
1434197399,198
1434197401,800
1434197403,1000
1434197405,1000
1434197407,1000
1434197409,1000
1434197411,1000
1434197413,1000
1434197415,1000
1434197417,1000
1434197419,1000
1434197421,1000
1434197423,1000
1434197425,1000
1434197427,1000
1434197429,1000
1434197431,1000
1434197433,1000
1434197435,1000
1434197437,1000
1434197439,1000
1434197441,1000
1434197443,1000
1434197445,1000
1434197447,1000
1434197449,1000
1434197451,1000
1434197453,1000
1434197455,1000
1434197457,1000
1434197459,908
1434197461,866
1434197463,842
1434197465,818
1434197467,818
1434197469,818
1434197471,818
1434197473,818
1434197475,818
1434197477,818
1434197479,818
1434197481,818
1434197483,818
1434197485,818
1434197487,818
1434197489,818
1434197491,818
1434197493,818
1434197495,818
1434197497,818
1434197499,818
1434197501,818
1434197503,818
1434197505,818
1434197507,818
1434197509,818
1434197511,772
1434197513,732
1434197515,691
1434197517,669
1434197519,646
1434197521,646
1434197523,646
1434197525,646
1434197527,646
1434197529,646
1434197531,646
1434197533,646
1434197535,646
1434197537,646
1434197539,646
1434197541,646
1434197543,646
1434197545,646
1434197547,646
1434197549,646
1434197551,646
1434197553,646
1434197555,646
1434197557,646
1434197559,646
1434197561,598
1434197563,554
1434197565,534
1434197567,511
1434197569,511
1434197571,468
1434197573,468
1434197575,468
1434197577,468
1434197579,468
1434197581,468
1434197583,468
1434197585,468
1434197587,468
1434197589,468
1434197591,468
1434197593,468
1434197595,468
1434197597,468
1434197599,468
1434197601,468
1434197603,468
1434197605,468
1434197607,468
1434197609,468
1434197611,468
1434197613,402
1434197615,402
1434197617,379
1434197619,359
1434197621,359
1434197623,309
1434197625,309
1434197627,309
1434197629,309
1434197631,309
1434197633,309
1434197635,309
1434197637,309
1434197639,309
1434197641,309
1434197643,309
1434197645,309
1434197647,309
1434197649,309
1434197651,309
1434197653,309
1434197655,309
1434197657,309
1434197659,309
1434197661,309
1434197663,309
1434197665,309
1434197667,309
1434197669,309
1434197671,309
1434197673,309
1434197675,309
1434197677,309
1434197679,309
1434197681,309
1434197683,309
1434197685,309
1434197687,309
1434197689,309
1434197691,309
1434197693,309
1434197695,309
1434197697,309
1434197699,309
1434197701,309
1434197703,309
1434197705,296
1434197707,296
1434197709,296
1434197711,296
1434197713,296
1434197715,296
1434197717,296
1434197719,296
1434197721,296
1434197723,296
1434197725,296
1434197727,296
1434197729,296
1434197731,296
1434197733,296
1434197735,296
1434197737,296
1434197739,296
1434197741,296
1434197743,295
1434197745,295
1434197747,295
