t,value
1434189318,RUNNING
1434189320,RUNNING
1434189322,RUNNING
1434189324,RUNNING
1434189326,RUNNING
1434189328,RUNNING
1434189330,RUNNING
1434189332,RUNNING
1434189334,RUNNING
1434189336,RUNNING
1434189338,RUNNING
1434189340,RUNNING
1434189342,RUNNING
1434189344,RUNNING
1434189346,RUNNING
1434189348,RUNNING
1434189350,RUNNING
1434189352,RUNNING
1434189354,RUNNING
1434189356,RUNNING
1434189358,RUNNING
1434189360,RUNNING
1434189362,RUNNING
1434189364,RUNNING
1434189366,RUNNING
1434189368,RUNNING
1434189370,RUNNING
1434189372,RUNNING
1434189374,RUNNING
1434189376,RUNNING
1434189378,RUNNING
1434189380,RUNNING
1434189382,RUNNING
1434189384,RUNNING
1434189386,RUNNING
1434189388,RUNNING
1434189390,RUNNING
1434189392,RUNNING
1434189394,RUNNING
1434189396,RUNNING
1434189398,RUNNING
1434189400,RUNNING
1434189402,RUNNING
1434189404,RUNNING
1434189406,RUNNING
1434189408,RUNNING
1434189410,RUNNING
1434189412,RUNNING
1434189414,RUNNING
1434189416,RUNNING
1434189418,RUNNING
1434189420,RUNNING
1434189422,RUNNING
1434189424,RUNNING
1434189426,RUNNING
1434189428,RUNNING
1434189430,RUNNING
1434189432,RUNNING
1434189434,RUNNING
1434189436,RUNNING
1434189438,RUNNING
1434189440,RUNNING
1434189442,RUNNING
1434189444,RUNNING
1434189446,RUNNING
1434189448,RUNNING
1434189450,RUNNING
1434189452,RUNNING
1434189454,RUNNING
1434189456,RUNNING
1434189458,RUNNING
1434189460,RUNNING
1434189462,RUNNING
1434189464,RUNNING
1434189466,RUNNING
1434189468,RUNNING
1434189470,RUNNING
1434189472,RUNNING
1434189474,RUNNING
1434189476,RUNNING
1434189478,RUNNING
1434189480,RUNNING
1434189482,RUNNING
1434189484,RUNNING
1434189486,RUNNING
1434189488,RUNNING
1434189490,RUNNING
1434189492,RUNNING
1434189494,RUNNING
1434189496,RUNNING
1434189498,RUNNING
1434189500,RUNNING
1434189502,RUNNING
1434189504,RUNNING
1434189506,RUNNING
1434189508,RUNNING
1434189510,RUNNING
1434189512,RUNNING
1434189514,RUNNING
1434189516,RUNNING
1434189518,RUNNING
1434189520,RUNNING
1434189522,RUNNING
1434189524,RUNNING
1434189526,RUNNING
1434189528,RUNNING
1434189530,RUNNING
1434189532,RUNNING
1434189534,RUNNING
1434189536,RUNNING
1434189538,RUNNING
1434189540,RUNNING
1434189542,RUNNING
1434189544,RUNNING
1434189546,RUNNING
1434189548,RUNNING
1434189550,RUNNING
1434189552,RUNNING
1434189554,RUNNING
1434189556,RUNNING
1434189558,RUNNING
1434189560,RUNNING
1434189562,RUNNING
1434189564,RUNNING
1434189566,RUNNING
1434189568,RUNNING
1434189570,RUNNING
1434189572,RUNNING
1434189574,RUNNING
1434189576,RUNNING
1434189578,RUNNING
1434189580,RUNNING
1434189582,RUNNING
1434189584,RUNNING
1434189586,RUNNING
1434189588,RUNNING
1434189590,RUNNING
1434189592,RUNNING
1434189594,RUNNING
1434189596,RUNNING
1434189598,RUNNING
1434189600,RUNNING
1434189602,RUNNING
1434189604,RUNNING
1434189606,RUNNING
1434189608,RUNNING
1434189610,RUNNING
1434189612,RUNNING
1434189614,RUNNING
1434189616,RUNNING
1434189618,RUNNING
1434189620,RUNNING
1434189622,RUNNING
1434189624,RUNNING
1434189626,RUNNING
1434189628,RUNNING
1434189630,RUNNING
1434189632,RUNNING
1434189634,RUNNING
1434189636,RUNNING
1434189638,RUNNING
1434189640,RUNNING
1434189642,RUNNING
1434189644,RUNNING
1434189646,RUNNING
1434189648,RUNNING
1434189650,RUNNING
1434189652,RUNNING
1434189654,RUNNING
1434189656,RUNNING
1434189658,RUNNING
1434189660,RUNNING
1434189662,RUNNING
1434189664,RUNNING
1434189666,RUNNING
1434189668,RUNNING
1434189670,RUNNING
1434189672,RUNNING
1434189674,RUNNING
1434189676,RUNNING
1434189678,RUNNING
1434189680,RUNNING
1434189682,RUNNING
1434189684,RUNNING
1434189686,RUNNING
1434189688,RUNNING
1434189690,RUNNING
1434189692,RUNNING
1434189694,RUNNING
1434189696,RUNNING
1434189698,RUNNING
