t,value
1434196163,1912
1434196165,3886
1434196167,5887
1434196169,7887
1434196171,9886
1434196173,11887
1434196175,13887
1434196177,15887
1434196179,17887
1434196181,19887
1434196183,21887
1434196185,23887
1434196187,25887
1434196189,27886
1434196191,29886
1434196193,31887
1434196195,33887
1434196197,35887
1434196199,37887
1434196201,39887
1434196203,41887
1434196205,43887
1434196207,45887
1434196209,47887
1434196211,49886
1434196213,51887
1434196215,53887
1434196217,55887
1434196219,57886
1434196221,59887
1434196223,61887
1434196225,63886
1434196227,65886
1434196229,67887
1434196231,69887
1434196233,71887
1434196235,73886
1434196237,75887
1434196239,77887
1434196241,79887
1434196243,81887
1434196245,83887
1434196247,85886
1434196249,87887
1434196251,89887
1434196253,91887
1434196255,93887
1434196257,95887
1434196259,97887
1434196261,99887
1434196263,101887
1434196265,103887
1434196267,105887
1434196269,107886
1434196271,109887
1434196273,111887
1434196275,113886
1434196277,115887
1434196279,117886
1434196281,119887
1434196283,121887
1434196285,123886
1434196287,125887
1434196289,127887
1434196291,129887
1434196293,131887
1434196295,133886
1434196297,135886
1434196299,137887
1434196301,139887
1434196303,141887
1434196305,143886
1434196307,145887
1434196309,147887
1434196311,149887
1434196313,151887
1434196315,153886
1434196317,155887
1434196319,157887
1434196321,159887
1434196323,161887
1434196325,163886
1434196327,165887
1434196329,167887
1434196331,169887
1434196333,171887
1434196335,173886
1434196337,175887
1434196339,177887
1434196341,179887
1434196343,181887
1434196345,183886
1434196347,185887
1434196349,187887
1434196351,189887
1434196353,191887
1434196355,193886
1434196357,195887
1434196359,197887
1434196361,199887
1434196363,201887
1434196365,203886
1434196367,205887
1434196369,207887
1434196371,209887
1434196373,211887
1434196375,213887
1434196377,215887
1434196379,217887
1434196381,219887
1434196383,221887
1434196385,223886
1434196387,225887
1434196389,227887
1434196391,229887
1434196393,231887
1434196395,233887
1434196397,235886
1434196399,237886
1434196401,239887
1434196403,241886
1434196405,243886
1434196407,245886
1434196409,247886
1434196411,249887
1434196413,251887
1434196415,253886
1434196417,255887
1434196419,257887
1434196421,259887
1434196423,261887
1434196425,263887
1434196427,265887
1434196429,267886
1434196431,269886
1434196433,271886
1434196435,273886
1434196437,275887
1434196439,275970
1434196441,275970
1434196443,275970
1434196445,275970
1434196447,275970
1434196449,275970
1434196451,275970
1434196453,275970
1434196455,275970
1434196457,275970
1434196459,275970
1434196461,275970
1434196463,275970
1434196465,275970
1434196467,275970
1434196469,275970
1434196471,275970
1434196473,275970
1434196475,275970
1434196477,275970
1434196479,275970
1434196481,275970
1434196483,275970
1434196485,275970
1434196487,275970
1434196489,275970
1434196491,275970
1434196493,275970
1434196495,275970
1434196497,275970
1434196499,275970
1434196501,275970
1434196503,275970
1434196505,275970
1434196507,275970
1434196509,275970
1434196511,275970
1434196513,275970
1434196515,275970
1434196517,275970
1434196519,275970
1434196521,275970
1434196523,275970
1434196525,275970
1434196527,275970
1434196529,275970
1434196531,275970
1434196533,275970
1434196535,275970
1434196537,275970
1434196539,275970
1434196541,275970
1434196543,275970
1434196545,275970
1434196547,275970
1434196549,275970
1434196551,275970
1434196553,275970
1434196555,275970
1434196557,275970
1434196559,275970
1434196561,275970
1434196563,275970
1434196565,275970
1434196567,275970
1434196569,275970
1434196571,275970
1434196573,275970
1434196575,275970
1434196577,275970
1434196579,275970
1434196581,275970
1434196583,275970
1434196585,275970
1434196587,275970
1434196589,275970
1434196591,275970
1434196593,275970
1434196595,275970
1434196597,275970
1434196599,275970
1434196601,275970
1434196603,275970
1434196605,275970
1434196607,275970
1434196609,275970
1434196611,275970
1434196613,275970
1434196615,275970
1434196617,275970
1434196619,275970
1434196621,275970
1434196623,275970
1434196625,275970
1434196627,275970
1434196629,275970
1434196631,275970
1434196633,275970
1434196635,275970
1434196637,275970
1434196639,275970
1434196641,275970
1434196643,275970
1434196645,275970
1434196647,275970
1434196649,275970
1434196651,275970
1434196653,275970
1434196655,275970
1434196657,275970
1434196659,275970
1434196661,275970
1434196663,275970
1434196665,275970
1434196667,275970
1434196669,275970
1434196671,275970
1434196673,275970
1434196675,275970
1434196677,275970
1434196679,275970
1434196681,275970
1434196683,275970
1434196685,275970
1434196687,275970
1434196689,275970
1434196691,275970
1434196693,275970
1434196695,275970
1434196697,275970
1434196699,275970
1434196701,275970
1434196703,275970
1434196705,275970
1434196707,275970
1434196709,275970
1434196711,275970
1434196713,275970
1434196715,275970
1434196717,275970
1434196719,275970
1434196721,275970
1434196723,275970
1434196725,275970
1434196727,275970
1434196729,275970
1434196731,275970
1434196733,275970
1434196735,275970
1434196737,275970
1434196739,275970
1434196741,275970
1434196743,275970
1434196745,275970
1434196747,275970
1434196749,275970
1434196751,275970
1434196753,275970
1434196755,275970
1434196757,275970
1434196759,275970
1434196761,275970
1434196763,275970
1434196765,275970
1434196767,275970
1434196769,275970
1434196771,275970
1434196773,275970
1434196775,275970
1434196777,275970
1434196779,275970
1434196781,275970
1434196783,275970
1434196785,275970
1434196787,275970
1434196789,275970
1434196791,275970
1434196793,275970
1434196795,275970
1434196797,275970
1434196799,275970
1434196801,275970
1434196803,275970
1434196805,275970
1434196807,275970
1434196809,275970
1434196811,275970
1434196813,275970
1434196815,275970
1434196817,275970
1434196819,275970
1434196821,275970
1434196823,275970
1434196825,275970
1434196827,275970
1434196829,275970
1434196831,275970
1434196833,275970
1434196835,275970
1434196837,275970
1434196839,275970
1434196841,275970
1434196843,275970
1434196845,275970
1434196847,275970
1434196849,275970
1434196851,275970
1434196853,275970
1434196855,275970
1434196857,275970
1434196859,275970
1434196861,275970
1434196863,275970
1434196865,275970
1434196867,275970
1434196869,275970
1434196871,275970
1434196873,275970
1434196875,275970
1434196877,275970
1434196879,275970
1434196881,275970
