t,value
1434197383,8
1434197385,8
1434197387,8
1434197389,8
1434197391,8
1434197393,8
1434197395,8
1434197397,8
1434197399,8
1434197401,8
1434197403,8
1434197405,8
1434197407,8
1434197409,8
1434197411,8
1434197413,8
1434197415,8
1434197417,8
1434197419,8
1434197421,8
1434197423,8
1434197425,8
1434197427,8
1434197429,8
1434197431,8
1434197433,8
1434197435,8
1434197437,8
1434197439,8
1434197441,8
1434197443,8
1434197445,8
1434197447,8
1434197449,8
1434197451,8
1434197453,8
1434197455,8
1434197457,8
1434197459,8
1434197461,8
1434197463,8
1434197465,8
1434197467,8
1434197469,8
1434197471,8
1434197473,8
1434197475,8
1434197477,8
1434197479,8
1434197481,8
1434197483,8
1434197485,8
1434197487,8
1434197489,8
1434197491,8
1434197493,8
1434197495,8
1434197497,8
1434197499,8
1434197501,8
1434197503,8
1434197505,8
1434197507,8
1434197509,8
1434197511,8
1434197513,8
1434197515,8
1434197517,8
1434197519,8
1434197521,8
1434197523,8
1434197525,8
1434197527,8
1434197529,8
1434197531,8
1434197533,8
1434197535,8
1434197537,8
1434197539,8
1434197541,8
1434197543,8
1434197545,8
1434197547,8
1434197549,8
1434197551,8
1434197553,8
1434197555,8
1434197557,8
1434197559,8
1434197561,8
1434197563,8
1434197565,8
1434197567,8
1434197569,8
1434197571,8
1434197573,8
1434197575,8
1434197577,8
1434197579,8
1434197581,8
1434197583,8
1434197585,8
1434197587,8
1434197589,8
1434197591,8
1434197593,8
1434197595,8
1434197597,8
1434197599,8
1434197601,8
1434197603,8
1434197605,8
1434197607,8
1434197609,8
1434197611,8
1434197613,8
1434197615,8
1434197617,8
1434197619,8
1434197621,8
1434197623,8
1434197625,8
1434197627,8
1434197629,8
1434197631,8
1434197633,8
1434197635,8
1434197637,8
1434197639,8
1434197641,8
1434197643,8
1434197645,8
1434197647,8
1434197649,8
1434197651,8
1434197653,8
1434197655,8
1434197657,8
1434197659,8
1434197661,8
1434197663,8
1434197665,8
1434197667,8
1434197669,8
1434197671,8
1434197673,8
1434197675,8
1434197677,8
1434197679,8
1434197681,8
1434197683,8
1434197685,8
1434197687,8
1434197689,8
1434197691,8
1434197693,8
1434197695,8
1434197697,8
1434197699,8
1434197701,8
1434197703,8
1434197705,8
1434197707,8
1434197709,8
1434197711,8
1434197713,8
1434197715,8
1434197717,8
1434197719,8
1434197721,8
1434197723,8
1434197725,8
1434197727,8
