t,value
1434187606,9
1434187608,9
1434187610,9
1434187612,9
1434187614,9
1434187616,9
1434187618,9
1434187620,9
1434187622,9
1434187624,9
1434187626,9
1434187628,9
1434187630,9
1434187632,9
1434187634,9
1434187636,9
1434187638,9
1434187640,9
1434187642,9
1434187644,9
1434187646,9
1434187648,9
1434187650,9
1434187652,9
1434187654,9
1434187656,9
1434187658,9
1434187660,9
1434187662,9
1434187664,9
1434187666,9
1434187668,9
1434187670,9
1434187672,9
1434187674,9
1434187676,9
1434187678,9
1434187680,9
1434187682,9
1434187684,9
1434187686,9
1434187688,9
1434187690,9
1434187692,9
1434187694,9
1434187696,9
1434187698,9
1434187700,9
1434187702,9
1434187704,9
1434187706,9
1434187708,9
1434187710,9
1434187712,9
1434187714,9
1434187716,9
1434187718,9
1434187720,9
1434187722,9
1434187724,9
1434187726,9
1434187728,9
1434187730,9
1434187732,9
1434187734,9
1434187736,9
1434187738,9
1434187740,9
1434187742,9
1434187744,9
1434187746,9
1434187748,9
1434187750,9
1434187752,9
1434187754,9
1434187756,9
1434187758,9
1434187760,9
1434187762,9
1434187764,9
1434187766,9
1434187768,9
1434187770,9
1434187772,9
1434187774,9
1434187776,9
1434187778,9
1434187780,9
1434187782,9
1434187784,9
1434187786,9
1434187788,9
1434187790,9
1434187792,9
1434187794,9
1434187796,9
1434187798,10
1434187800,10
1434187802,10
1434187804,10
1434187806,10
1434187808,10
1434187810,10
1434187812,10
1434187814,10
1434187816,10
1434187818,10
1434187820,10
1434187822,10
1434187824,10
1434187826,10
1434187828,10
1434187830,10
1434187832,10
1434187834,10
1434187836,10
1434187838,10
1434187840,10
1434187842,10
1434187844,10
1434187846,10
1434187848,10
1434187850,10
1434187852,10
1434187854,10
1434187856,10
1434187858,10
1434187860,10
1434187862,10
1434187864,10
1434187866,10
1434187868,10
1434187870,10
1434187872,10
1434187874,10
1434187876,10
1434187878,10
1434187880,10
1434187882,10
1434187884,10
1434187886,10
1434187888,10
1434187890,10
1434187892,10
1434187894,10
1434187896,10
1434187898,10
1434187900,10
1434187902,10
1434187904,10
1434187906,10
1434187908,10
1434187910,10
1434187912,10
1434187914,10
1434187916,10
1434187918,10
1434187920,10
1434187922,10
1434187924,10
1434187926,10
1434187928,10
1434187930,10
1434187932,10
1434187934,10
1434187936,10
1434187938,10
1434187940,10
1434187942,10
1434187944,10
1434187946,10
1434187948,10
1434187950,10
1434187952,10
1434187954,10
1434187956,10
1434187958,10
1434187960,10
1434187962,10
1434187964,10
1434187966,10
1434187968,10
1434187970,10
1434187972,10
1434187974,10
1434187976,10
1434187978,10
1434187980,10
1434187982,10
1434187984,10
1434187986,10
1434187988,10
1434187990,10
1434187992,10
1434187994,10
1434187996,10
1434187998,10
1434188000,10
1434188002,10
1434188004,10
1434188006,10
1434188008,10
1434188010,10
1434188012,10
1434188014,10
1434188016,10
1434188018,10
1434188020,10
1434188022,10
1434188024,10
1434188026,10
1434188028,10
1434188030,10
1434188032,10
1434188034,10
1434188036,10
1434188038,10
1434188040,10
1434188042,10
1434188044,10
1434188046,10
1434188048,10
1434188050,10
1434188052,10
1434188054,10
1434188056,10
1434188058,10
1434188060,10
1434188062,10
1434188064,10
1434188066,10
1434188068,10
1434188070,10
1434188072,10
1434188074,10
1434188076,10
1434188078,10
1434188080,10
1434188082,10
1434188084,10
1434188086,10
1434188088,10
1434188090,10
1434188092,10
1434188094,10
1434188096,10
1434188098,10
1434188100,10
1434188102,10
1434188104,10
1434188106,10
1434188108,10
1434188110,10
1434188112,10
1434188114,10
1434188116,10
1434188118,10
1434188120,10
1434188122,10
1434188124,10
1434188126,10
1434188128,10
1434188130,10
1434188132,10
1434188134,10
1434188136,10
1434188138,10
1434188140,10
1434188142,10
1434188144,10
1434188146,10
1434188148,10
1434188150,10
1434188152,10
1434188154,10
1434188156,10
1434188158,10
1434188160,10
1434188162,10
1434188164,10
1434188166,10
1434188168,10
1434188170,10
1434188172,10
1434188174,10
1434188176,10
1434188178,10
1434188180,10
1434188182,10
1434188184,10
1434188186,10
1434188188,10
1434188190,10
1434188192,10
1434188194,10
1434188196,10
1434188198,10
1434188200,10
1434188202,10
1434188204,10
1434188206,10
1434188208,10
1434188210,10
1434188212,10
1434188214,10
1434188216,10
1434188218,10
1434188220,10
1434188222,10
1434188224,10
1434188226,10
1434188228,10
1434188230,10
1434188232,10
1434188234,10
1434188236,10
1434188238,10
1434188240,10
1434188242,10
1434188244,10
1434188246,10
1434188248,10
1434188250,10
1434188252,10
1434188254,10
1434188256,10
1434188258,10
1434188260,10
1434188262,10
1434188264,10
1434188266,10
1434188268,10
1434188270,10
1434188272,10
1434188274,10
1434188276,10
1434188278,10
1434188280,10
1434188282,10
1434188284,10
1434188286,10
1434188288,10
1434188290,10
1434188292,10
1434188294,10
1434188296,10
1434188298,10
1434188300,10
1434188302,10
1434188304,10
1434188306,10
1434188308,10
1434188310,10
1434188312,10
1434188314,10
1434188316,10
1434188318,10
1434188320,10
1434188322,10
1434188324,10
1434188326,10
1434188328,10
1434188330,10
1434188332,10
1434188334,10
1434188336,10
1434188338,10
1434188340,10
1434188342,10
1434188344,10
1434188346,10
1434188348,10
1434188350,10
1434188352,10
1434188354,10
1434188356,10
1434188358,10
1434188360,10
1434188362,10
1434188364,10
1434188366,10
1434188368,10
1434188370,10
1434188372,10
1434188374,10
1434188376,10
1434188378,10
1434188380,10
1434188382,10
1434188384,10
1434188386,10
1434188388,10
1434188390,10
1434188392,10
1434188394,10
1434188396,10
1434188398,10
1434188400,10
1434188402,10
1434188404,10
1434188406,10
1434188408,10
1434188410,10
1434188412,10
1434188414,11
1434188416,11
1434188418,11
1434188420,11
1434188422,11
1434188424,11
1434188426,11
1434188428,11
1434188430,11
1434188432,11
1434188434,11
1434188436,11
1434188438,11
1434188440,11
1434188442,11
1434188444,11
1434188446,11
1434188448,11
1434188450,11
1434188452,11
1434188454,11
1434188456,11
1434188458,11
1434188460,11
1434188462,11
1434188464,11
1434188466,11
1434188468,11
1434188470,11
1434188472,11
1434188474,11
1434188476,11
1434188478,11
1434188480,11
1434188482,11
1434188484,11
1434188486,11
1434188488,11
1434188490,11
1434188492,11
1434188494,11
1434188496,11
1434188498,11
1434188500,11
1434188502,11
1434188504,11
1434188506,11
1434188508,11
1434188510,11
1434188512,11
1434188514,11
1434188516,11
1434188518,11
1434188520,11
1434188522,11
1434188524,11
1434188526,11
1434188528,11
1434188530,11
1434188532,11
1434188534,11
1434188536,11
1434188538,11
1434188540,11
1434188542,11
1434188544,11
1434188546,11
1434188548,11
1434188550,11
1434188552,11
1434188554,11
1434188556,11
1434188558,11
1434188560,11
1434188562,11
1434188564,11
1434188566,11
1434188568,11
1434188570,11
1434188572,11
1434188574,11
1434188576,11
1434188578,11
1434188580,11
1434188582,11
1434188584,11
1434188586,11
1434188588,11
1434188590,11
1434188592,11
1434188594,11
1434188596,11
1434188598,11
1434188600,11
1434188602,11
1434188604,11
1434188606,11
1434188608,11
1434188610,11
1434188612,11
1434188614,11
1434188616,11
1434188618,11
1434188620,11
1434188622,11
1434188624,11
1434188626,11
1434188628,11
1434188630,11
1434188632,11
1434188634,11
1434188636,11
1434188638,11
1434188640,11
1434188642,11
1434188644,11
1434188646,11
1434188648,11
1434188650,11
1434188652,11
1434188654,11
1434188656,11
1434188658,11
1434188660,11
1434188662,11
1434188664,11
1434188666,11
1434188668,11
1434188670,11
1434188672,11
1434188674,11
1434188676,11
1434188678,11
1434188680,11
1434188682,11
1434188684,11
1434188686,11
1434188688,11
1434188690,11
1434188692,11
1434188694,11
1434188696,11
1434188698,11
1434188700,11
1434188702,11
1434188704,11
1434188706,11
1434188708,11
1434188710,11
1434188712,11
1434188714,11
1434188716,11
1434188718,11
1434188720,11
1434188722,11
1434188724,11
1434188726,11
1434188728,11
1434188730,11
1434188732,11
1434188734,11
1434188736,11
1434188738,11
1434188740,11
1434188742,11
1434188744,11
1434188746,11
1434188748,11
1434188750,11
1434188752,11
1434188754,11
1434188756,11
1434188758,11
1434188760,11
1434188762,11
1434188764,11
1434188766,11
1434188768,11
1434188770,11
1434188772,11
1434188774,11
1434188776,11
1434188778,11
1434188780,11
1434188782,11
1434188784,11
1434188786,11
1434188788,11
1434188790,11
1434188792,11
1434188794,11
1434188796,11
1434188798,11
1434188800,11
1434188802,11
1434188804,11
1434188806,11
1434188808,11
1434188810,11
1434188812,11
1434188814,11
1434188816,11
1434188818,11
1434188820,11
1434188822,11
1434188824,11
1434188826,11
1434188828,11
1434188830,11
1434188832,11
1434188834,11
1434188836,11
1434188838,11
1434188840,11
1434188842,11
1434188844,11
1434188846,11
1434188848,11
1434188850,11
1434188852,11
1434188854,11
1434188856,11
1434188858,11
1434188860,11
1434188862,11
1434188864,11
1434188866,11
1434188868,11
1434188870,11
1434188872,11
1434188874,11
1434188876,11
1434188878,11
1434188880,11
1434188882,11
1434188884,11
1434188886,11
1434188888,11
1434188890,11
1434188892,11
1434188894,11
1434188896,11
1434188898,11
1434188900,11
1434188902,11
1434188904,11
1434188906,11
1434188908,11
1434188910,11
1434188912,11
1434188914,11
1434188916,11
1434188918,11
1434188920,11
1434188922,11
1434188924,11
1434188926,11
1434188928,11
1434188930,11
1434188932,11
1434188934,11
1434188936,11
1434188938,11
1434188940,11
1434188942,11
1434188944,11
1434188946,11
1434188948,11
1434188950,11
1434188952,11
1434188954,12
1434188956,12
1434188958,12
1434188960,12
1434188962,12
1434188964,12
1434188966,12
1434188968,12
1434188970,12
1434188972,12
1434188974,12
1434188976,12
1434188978,12
1434188980,12
1434188982,12
1434188984,12
1434188986,12
1434188988,12
1434188990,12
1434188992,12
1434188994,12
1434188996,12
1434188998,12
1434189000,12
1434189002,12
1434189004,12
1434189006,12
1434189008,12
1434189010,12
1434189012,12
1434189014,12
1434189016,12
