t,value
1434187606,453
1434187608,453
1434187610,453
1434187612,453
1434187614,453
1434187616,453
1434187618,453
1434187620,453
1434187622,453
1434187624,453
1434187626,453
1434187628,453
1434187630,453
1434187632,453
1434187634,453
1434187636,453
1434187638,453
1434187640,453
1434187642,453
1434187644,453
1434187646,453
1434187648,453
1434187650,453
1434187652,453
1434187654,453
1434187656,453
1434187658,453
1434187660,453
1434187662,453
1434187664,453
1434187666,453
1434187668,453
1434187670,453
1434187672,453
1434187674,453
1434187676,453
1434187678,453
1434187680,453
1434187682,453
1434187684,453
1434187686,453
1434187688,453
1434187690,453
1434187692,453
1434187694,453
1434187696,453
1434187698,453
1434187700,453
1434187702,453
1434187704,453
1434187706,453
1434187708,453
1434187710,453
1434187712,453
1434187714,453
1434187716,453
1434187718,453
1434187720,453
1434187722,453
1434187724,453
1434187726,453
1434187728,453
1434187730,453
1434187732,453
1434187734,453
1434187736,453
1434187738,453
1434187740,453
1434187742,453
1434187744,453
1434187746,453
1434187748,453
1434187750,453
1434187752,453
1434187754,453
1434187756,453
1434187758,453
1434187760,453
1434187762,453
1434187764,453
1434187766,453
1434187768,453
1434187770,453
1434187772,453
1434187774,453
1434187776,453
1434187778,453
1434187780,453
1434187782,453
1434187784,453
1434187786,453
1434187788,453
1434187790,453
1434187792,453
1434187794,453
1434187796,453
1434187798,479
1434187800,479
1434187802,479
1434187804,479
1434187806,479
1434187808,479
1434187810,479
1434187812,479
1434187814,479
1434187816,479
1434187818,479
1434187820,479
1434187822,479
1434187824,479
1434187826,479
1434187828,479
1434187830,479
1434187832,479
1434187834,479
1434187836,479
1434187838,479
1434187840,479
1434187842,479
1434187844,479
1434187846,479
1434187848,479
1434187850,479
1434187852,479
1434187854,479
1434187856,479
1434187858,479
1434187860,479
1434187862,479
1434187864,479
1434187866,479
1434187868,479
1434187870,479
1434187872,479
1434187874,479
1434187876,479
1434187878,479
1434187880,479
1434187882,479
1434187884,479
1434187886,479
1434187888,479
1434187890,479
1434187892,479
1434187894,479
1434187896,479
1434187898,479
1434187900,479
1434187902,479
1434187904,479
1434187906,479
1434187908,479
1434187910,479
1434187912,479
1434187914,479
1434187916,479
1434187918,479
1434187920,479
1434187922,479
1434187924,479
1434187926,479
1434187928,479
1434187930,479
1434187932,479
1434187934,479
1434187936,479
1434187938,479
1434187940,479
1434187942,479
1434187944,479
1434187946,479
1434187948,479
1434187950,479
1434187952,479
1434187954,479
1434187956,479
1434187958,479
1434187960,479
1434187962,479
1434187964,479
1434187966,479
1434187968,479
1434187970,479
1434187972,479
1434187974,479
1434187976,479
1434187978,479
1434187980,479
1434187982,479
1434187984,479
1434187986,479
1434187988,479
1434187990,479
1434187992,479
1434187994,479
1434187996,479
1434187998,479
1434188000,479
1434188002,479
1434188004,479
1434188006,479
1434188008,479
1434188010,479
1434188012,479
1434188014,479
1434188016,479
1434188018,479
1434188020,479
1434188022,479
1434188024,479
1434188026,479
1434188028,479
1434188030,479
1434188032,479
1434188034,479
1434188036,479
1434188038,479
1434188040,479
1434188042,479
1434188044,479
1434188046,479
1434188048,479
1434188050,479
1434188052,479
1434188054,479
1434188056,479
1434188058,479
1434188060,479
1434188062,479
1434188064,479
1434188066,479
1434188068,479
1434188070,479
1434188072,479
1434188074,479
1434188076,479
1434188078,479
1434188080,479
1434188082,479
1434188084,479
1434188086,479
1434188088,479
1434188090,479
1434188092,479
1434188094,479
1434188096,479
1434188098,479
1434188100,479
1434188102,479
1434188104,479
1434188106,479
1434188108,479
1434188110,479
1434188112,479
1434188114,479
1434188116,479
1434188118,479
1434188120,479
1434188122,479
1434188124,479
1434188126,479
1434188128,479
1434188130,479
1434188132,479
1434188134,479
1434188136,479
1434188138,479
1434188140,479
1434188142,479
1434188144,479
1434188146,479
1434188148,479
1434188150,479
1434188152,479
1434188154,479
1434188156,479
1434188158,479
1434188160,479
1434188162,479
1434188164,479
1434188166,479
1434188168,479
1434188170,479
1434188172,479
1434188174,479
1434188176,479
1434188178,479
1434188180,479
1434188182,479
1434188184,479
1434188186,479
1434188188,479
1434188190,479
1434188192,479
1434188194,479
1434188196,479
1434188198,479
1434188200,479
1434188202,479
1434188204,479
1434188206,479
1434188208,479
1434188210,479
1434188212,479
1434188214,479
1434188216,479
1434188218,479
1434188220,479
1434188222,479
1434188224,479
1434188226,479
1434188228,479
1434188230,479
1434188232,479
1434188234,479
1434188236,479
1434188238,479
1434188240,479
1434188242,479
1434188244,479
1434188246,479
1434188248,479
1434188250,479
1434188252,479
1434188254,479
1434188256,479
1434188258,479
1434188260,479
1434188262,479
1434188264,479
1434188266,479
1434188268,479
1434188270,479
1434188272,479
1434188274,479
1434188276,479
1434188278,479
1434188280,479
1434188282,479
1434188284,479
1434188286,479
1434188288,479
1434188290,479
1434188292,479
1434188294,479
1434188296,479
1434188298,479
1434188300,479
1434188302,479
1434188304,479
1434188306,479
1434188308,479
1434188310,479
1434188312,479
1434188314,479
1434188316,479
1434188318,479
1434188320,479
1434188322,479
1434188324,479
1434188326,479
1434188328,479
1434188330,479
1434188332,479
1434188334,479
1434188336,479
1434188338,479
1434188340,479
1434188342,479
1434188344,479
1434188346,479
1434188348,479
1434188350,479
1434188352,479
1434188354,479
1434188356,479
1434188358,479
1434188360,479
1434188362,479
1434188364,479
1434188366,479
1434188368,479
1434188370,479
1434188372,479
1434188374,479
1434188376,479
1434188378,479
1434188380,479
1434188382,479
1434188384,479
1434188386,479
1434188388,479
1434188390,479
1434188392,479
1434188394,479
1434188396,479
1434188398,479
1434188400,479
1434188402,479
1434188404,479
1434188406,479
1434188408,479
1434188410,479
1434188412,479
1434188414,575
1434188416,575
1434188418,575
1434188420,575
1434188422,575
1434188424,575
1434188426,575
1434188428,575
1434188430,575
1434188432,575
1434188434,575
1434188436,575
1434188438,575
1434188440,575
1434188442,575
1434188444,575
1434188446,575
1434188448,575
1434188450,575
1434188452,575
1434188454,575
1434188456,575
1434188458,575
1434188460,575
1434188462,575
1434188464,575
1434188466,575
1434188468,575
1434188470,575
1434188472,575
1434188474,575
1434188476,575
1434188478,575
1434188480,575
1434188482,575
1434188484,575
1434188486,575
1434188488,575
1434188490,575
1434188492,575
1434188494,575
1434188496,575
1434188498,575
1434188500,575
1434188502,575
1434188504,575
1434188506,575
1434188508,575
1434188510,575
1434188512,575
1434188514,575
1434188516,575
1434188518,575
1434188520,575
1434188522,575
1434188524,575
1434188526,575
1434188528,575
1434188530,575
1434188532,575
1434188534,575
1434188536,575
1434188538,575
1434188540,575
1434188542,575
1434188544,575
1434188546,575
1434188548,575
1434188550,575
1434188552,575
1434188554,575
1434188556,575
1434188558,575
1434188560,575
1434188562,575
1434188564,575
1434188566,575
1434188568,575
1434188570,575
1434188572,575
1434188574,575
1434188576,575
1434188578,575
1434188580,575
1434188582,575
